Type;Group;N.content;ea
Bacteria;B.Gpos;0,110;0,114539308010950
Bacteria;B.Gneg;0,110;0,114539308010950
Fungi;F.amf;0,032;0,110865772338926
Fungi;F.s;0,032;0,110865772338926
Nematodes;Ne.B;0,053;0,111844532437631
Nematodes;Ne.fPh;0,053;0,111844532437631
Nematodes;Ne.F;0,053;0,111844532437631
Nematodes;Ne.PhP;0,053;0,111844532437631
Nematodes;Ne.Omn;0,053;0,111844532437631
Nematodes;Ne.P;0,053;0,111844532437631
Microarthr;Cla.Epe;0,109;0,114491547836915
Microarthr;Cla.Hem;0,109;0,114491547836915
Microarthr;Me;0,105;0,114300680508358
