Numero;Bloc;Sp;mod;gf;Group;AbsorptionEff;Biomass
1;A;N.s.;P;Grass;P.FR;0,109931380775195;5,34760608788768e+00
2;A;F.o.;P;Grass;P.FR;0,110032810277412;3,10670448915380e+01
3;A;A.o.;P;Grass;P.FR;0,109843848528071;4,99958727899341e+01
4;A;D.g.;P;Grass;P.FR;0,109991306480906;1,95230063526058e+01
5;A;H.l.;P;Grass;P.FR;0,110005139555041;3,64995336157413e+01
6;A;G.v.;P;Forbs;P.FR;0,110295986484327;1,45998134462965e+01
7;A;C.r.;P;Forbs;P.FR;0,110661651120506;3,31042281631142e+00
8;A;P.l.;P;Forbs;P.FR;0,110023586025604;2,75019741662795e+01
9;A;C.n.;P;Forbs;P.FR;0,109926772291019;7,86013212283174e+01
10;A;R.a.;P;Forbs;P.FR;0,110046647925876;3,26798149815358e+01
11;A;M.a.;P;Leg;P.FR;0,110782228399827;1,96927716252372e+01
12;A;T.p.;P;Leg;P.FR;0,110782228399827;3,69239467973197e+01
13;A;L.c.;P;Leg;P.FR;0,110823993478183;3,00484532557498e+01
14;A;M.s.;P;Leg;P.FR;0,110629207645567;3,93006606141587e+01
15;A;T.r.;P;Leg;P.FR;0,110842560159024;1,75707057173452e+01
17;A;F.o.;P+L;Grass;P.FR;0,110023586025604;5,67016010588726e+01
17;A;F.o.;P+L;Grass;P.rL;0,116677401825397;1,83597998549465e+01
17;A;F.o.;P+L;Grass;P.lL;0,119225434484724;3,69711038174951e+01
18;A;A.o.;P+L;Grass;P.FR;0,109751775331099;8,83628244046203e+01
18;A;A.o.;P+L;Grass;P.rL;0,117358724089847;1,83597998549465e+01
18;A;A.o.;P+L;Grass;P.lL;0,126835854119519;3,69711038174951e+01
19;A;D.g.;P+L;Grass;P.FR;0,109830033233242;5,25423518794044e+01
19;A;D.g.;P+L;Grass;P.rL;0,115454861605444;1,83597998549465e+01
19;A;D.g.;P+L;Grass;P.lL;0,118790872472806;3,69711038174951e+01
20;A;H.l.;P+L;Grass;P.FR;0,109765581995864;6,23038550557073e+01
20;A;H.l.;P+L;Grass;P.rL;0,114912432973399;1,83597998549465e+01
20;A;H.l.;P+L;Grass;P.lL;0,119413510815491;3,69711038174951e+01
21;A;G.v.;P+L;Forbs;P.FR;0,110268257779333;7,46967199577962e+00
21;A;G.v.;P+L;Forbs;P.rL;0,124353103039362;1,83597998549465e+01
21;A;G.v.;P+L;Forbs;P.lL;0,122640082193980;3,69711038174951e+01
23;A;P.l.;P+L;Forbs;P.FR;0,109880696761995;1,28172780836673e+01
23;A;P.l.;P+L;Forbs;P.rL;0,123290255206139;1,83597998549465e+01
23;A;P.l.;P+L;Forbs;P.lL;0,122584345795230;3,69711038174951e+01
24;A;C.n.;P+L;Forbs;P.FR;0,109839243260541;7,68187858656881e+01
24;A;C.n.;P+L;Forbs;P.rL;0,114567972440733;1,83597998549465e+01
24;A;C.n.;P+L;Forbs;P.lL;0,119780500742281;3,69711038174951e+01
25;A;R.a.;P+L;Forbs;P.FR;0,109774787284971;5,39004740604552e+01
25;A;R.a.;P+L;Forbs;P.rL;0,115854699578913;1,83597998549465e+01
25;A;R.a.;P+L;Forbs;P.lL;0,128108827098581;3,69711038174951e+01
26;A;M.a.;P+L;Leg;P.FR;0,110944725579418;3,22554017999575e+01
26;A;M.a.;P+L;Leg;P.rL;0,127034204243980;1,83597998549465e+01
26;A;M.a.;P+L;Leg;P.lL;0,119324390079656;3,69711038174951e+01
27;A;T.p.;P+L;Leg;P.FR;0,110490258500351;1,92683584436588e+01
27;A;T.p.;P+L;Leg;P.rL;0,137673717183833;1,83597998549465e+01
27;A;T.p.;P+L;Leg;P.lL;0,130799887372739;3,69711038174951e+01
28;A;L.c.;P+L;Leg;P.FR;0,110541188764951;7,58001942299000e+01
28;A;L.c.;P+L;Leg;P.rL;0,121474187288172;1,83597998549465e+01
28;A;L.c.;P+L;Leg;P.lL;0,120009120410599;3,69711038174951e+01
29;A;M.s.;P+L;Leg;P.FR;0,110624573543371;3,38681718899553e+01
29;A;M.s.;P+L;Leg;P.rL;0,118889516072556;1,83597998549465e+01
29;A;M.s.;P+L;Leg;P.lL;0,116323504388638;3,69711038174951e+01
30;A;T.r.;P+L;Leg;P.FR;0,110745115453650;2,39369034410211e+01
30;A;T.r.;P+L;Leg;P.rL;0,124532718416623;1,83597998549465e+01
30;A;T.r.;P+L;Leg;P.lL;0,127867019403337;3,69711038174951e+01
1;B;N.s.;P;Grass;P.FR;0,110115859045537;4,58366236104658e+00
2;B;F.o.;P;Grass;P.FR;0,109968254745177;5,22028213341417e+01
3;B;A.o.;P;Grass;P.FR;0,109922163976178;8,28454530441012e+01
4;B;D.g.;P;Grass;P.FR;0,109912947854484;5,06749338804595e+01
5;B;H.l.;P;Grass;P.FR;0,109903732410081;4,46482667020464e+01
6;B;G.v.;P;Forbs;P.FR;0,110319098404449;2,37671381683897e+01
7;B;C.r.;P;Forbs;P.FR;0,110582874271835;7,89408517735801e+00
8;B;P.l.;P;Forbs;P.FR;0,109912947854484;3,00484532557498e+01
9;B;C.n.;P;Forbs;P.FR;0,109807011126734;1,21382169931419e+02
10;B;R.a.;P;Forbs;P.FR;0,109834638162266;5,82294885125548e+01
11;B;M.a.;P;Leg;P.FR;0,110745115453650;5,42400046057179e+01
12;B;T.p.;P;Leg;P.FR;0,110759031532740;4,18471397036290e+01
13;B;L.c.;P;Leg;P.FR;0,110643110972029;4,82982200636205e+01
14;B;M.s.;P;Leg;P.FR;0,110657015828389;4,76191589730951e+01
15;B;T.r.;P;Leg;P.FR;0,111028376761245;8,06385044998937e+00
17;B;F.o.;P+L;Grass;P.FR;0,110009750918561;3,48867635257435e+01
17;B;F.o.;P+L;Grass;P.rL;0,116677401825397;1,83597998549465e+01
17;B;F.o.;P+L;Grass;P.lL;0,119225434484724;3,69711038174951e+01
18;B;A.o.;P+L;Grass;P.FR;0,109889910513321;8,64105237693597e+01
18;B;A.o.;P+L;Grass;P.rL;0,117358724089847;1,83597998549465e+01
