Numero;Bloc;Sp;mod;gf;Group;AbsorptionEff;Biomass
1;A;N.s.;P;Grass;P.FR;0,109931380775195;5,34760608788768
2;A;F.o.;P;Grass;P.FR;0,110032810277412;31,06704489153797
3;A;A.o.;P;Grass;P.FR;0,109843848528071;49,99587278993405
4;A;D.g.;P;Grass;P.FR;0,109991306480906;19,52300635260583
5;A;H.l.;P;Grass;P.FR;0,110005139555041;36,49953361574133
6;A;G.v.;P;Forbs;P.FR;0,110295986484327;14,59981344629653
7;A;C.r.;P;Forbs;P.FR;0,110661651120506;3,31042281631142
8;A;P.l.;P;Forbs;P.FR;0,110023586025604;27,50197416627952
9;A;C.n.;P;Forbs;P.FR;0,109926772291019;78,60132122831739
10;A;R.a.;P;Forbs;P.FR;0,110046647925876;32,67981498153584
11;A;M.a.;P;Leg;P.FR;0,110782228399827;19,69277162523719
12;A;T.p.;P;Leg;P.FR;0,110782228399827;36,92394679731972
13;A;L.c.;P;Leg;P.FR;0,110823993478183;30,04845325574984
14;A;M.s.;P;Leg;P.FR;0,110629207645567;39,30066061415869
15;A;T.r.;P;Leg;P.FR;0,110842560159024;17,57070571734524
17;A;F.o.;P+L;Grass;P.FR;0,110023586025604;56,70160105887258
17;A;F.o.;P+L;Grass;P.rL;0,116677401825397;18,35979985494654
17;A;F.o.;P+L;Grass;P.lL;0,119225434484724;36,97110381749510
18;A;A.o.;P+L;Grass;P.FR;0,109751775331099;88,36282440462028
18;A;A.o.;P+L;Grass;P.rL;0,117358724089847;18,35979985494654
18;A;A.o.;P+L;Grass;P.lL;0,126835854119519;36,97110381749510
19;A;D.g.;P+L;Grass;P.FR;0,109830033233242;52,54235187940439
19;A;D.g.;P+L;Grass;P.rL;0,115454861605444;18,35979985494654
19;A;D.g.;P+L;Grass;P.lL;0,118790872472806;36,97110381749510
20;A;H.l.;P+L;Grass;P.FR;0,109765581995864;62,30385505570729
20;A;H.l.;P+L;Grass;P.rL;0,114912432973399;18,35979985494654
20;A;H.l.;P+L;Grass;P.lL;0,119413510815491;36,97110381749510
21;A;G.v.;P+L;Forbs;P.FR;0,110268257779333;7,46967199577962
21;A;G.v.;P+L;Forbs;P.rL;0,124353103039362;18,35979985494654
21;A;G.v.;P+L;Forbs;P.lL;0,122640082193980;36,97110381749510
23;A;P.l.;P+L;Forbs;P.FR;0,109880696761995;12,81727808366730
23;A;P.l.;P+L;Forbs;P.rL;0,123290255206139;18,35979985494654
23;A;P.l.;P+L;Forbs;P.lL;0,122584345795230;36,97110381749510
24;A;C.n.;P+L;Forbs;P.FR;0,109839243260541;76,81878586568814
24;A;C.n.;P+L;Forbs;P.rL;0,114567972440733;18,35979985494654
24;A;C.n.;P+L;Forbs;P.lL;0,119780500742281;36,97110381749510
25;A;R.a.;P+L;Forbs;P.FR;0,109774787284971;53,90047406045523
25;A;R.a.;P+L;Forbs;P.rL;0,115854699578913;18,35979985494654
25;A;R.a.;P+L;Forbs;P.lL;0,128108827098581;36,97110381749510
26;A;M.a.;P+L;Leg;P.FR;0,110944725579418;32,25540179995746
26;A;M.a.;P+L;Leg;P.rL;0,127034204243980;18,35979985494654
26;A;M.a.;P+L;Leg;P.lL;0,119324390079656;36,97110381749510
27;A;T.p.;P+L;Leg;P.FR;0,110490258500351;19,26835844365879
27;A;T.p.;P+L;Leg;P.rL;0,137673717183833;18,35979985494654
27;A;T.p.;P+L;Leg;P.lL;0,130799887372739;36,97110381749510
28;A;L.c.;P+L;Leg;P.FR;0,110541188764951;75,80019422990001
28;A;L.c.;P+L;Leg;P.rL;0,121474187288172;18,35979985494654
28;A;L.c.;P+L;Leg;P.lL;0,120009120410599;36,97110381749510
29;A;M.s.;P+L;Leg;P.FR;0,110624573543371;33,86817188995533
29;A;M.s.;P+L;Leg;P.rL;0,118889516072556;18,35979985494654
29;A;M.s.;P+L;Leg;P.lL;0,116323504388638;36,97110381749510
30;A;T.r.;P+L;Leg;P.FR;0,110745115453650;23,93690344102106
30;A;T.r.;P+L;Leg;P.rL;0,124532718416623;18,35979985494654
30;A;T.r.;P+L;Leg;P.lL;0,127867019403337;36,97110381749510
1;B;N.s.;P;Grass;P.FR;0,110115859045537;4,58366236104658
2;B;F.o.;P;Grass;P.FR;0,109968254745177;52,20282133414167
3;B;A.o.;P;Grass;P.FR;0,109922163976178;82,84545304410125
4;B;D.g.;P;Grass;P.FR;0,109912947854484;50,67493388045948
5;B;H.l.;P;Grass;P.FR;0,109903732410081;44,64826670204639
6;B;G.v.;P;Forbs;P.FR;0,110319098404449;23,76713816838971
7;B;C.r.;P;Forbs;P.FR;0,110582874271835;7,89408517735801
8;B;P.l.;P;Forbs;P.FR;0,109912947854484;30,04845325574984
9;B;C.n.;P;Forbs;P.FR;0,109807011126734;121,38216993141883
10;B;R.a.;P;Forbs;P.FR;0,109834638162266;58,22948851255478
11;B;M.a.;P;Leg;P.FR;0,110745115453650;54,24000460571794
12;B;T.p.;P;Leg;P.FR;0,110759031532740;41,84713970362902
13;B;L.c.;P;Leg;P.FR;0,110643110972029;48,29822006362051
14;B;M.s.;P;Leg;P.FR;0,110657015828389;47,61915897309508
15;B;T.r.;P;Leg;P.FR;0,111028376761245;8,06385044998937
17;B;F.o.;P+L;Grass;P.FR;0,110009750918561;34,88676352574345
17;B;F.o.;P+L;Grass;P.rL;0,116677401825397;18,35979985494654
17;B;F.o.;P+L;Grass;P.lL;0,119225434484724;36,97110381749510
18;B;A.o.;P+L;Grass;P.FR;0,109889910513321;86,41052376935970
18;B;A.o.;P+L;Grass;P.rL;0,117358724089847;18,35979985494654
18;B;A.o.;P+L;Grass;P.lL;0,126835854119519;36,97110381749510
19;B;D.g.;P+L;Grass;P.FR;0,109871483687841;38,28206897837056
19;B;D.g.;P+L;Grass;P.rL;0,115454861605444;18,35979985494654
19;B;D.g.;P+L;Grass;P.lL;0,118790872472806;36,97110381749510
20;B;H.l.;P+L;Grass;P.FR;0,109866877404692;20,71136326102531
20;B;H.l.;P+L;Grass;P.rL;0,114912432973399;18,35979985494654
20;B;H.l.;P+L;Grass;P.lL;0,119413510815491;36,97110381749510
21;B;G.v.;P+L;Forbs;P.FR;0,110226676172756;60,18178914781535
21;B;G.v.;P+L;Forbs;P.rL;0,124353103039362;18,35979985494654
21;B;G.v.;P+L;Forbs;P.lL;0,122640082193980;36,97110381749510
23;B;P.l.;P+L;Forbs;P.FR;0,110074327797930;53,05164769729844
23;B;P.l.;P+L;Forbs;P.rL;0,123290255206139;18,35979985494654
23;B;P.l.;P+L;Forbs;P.lL;0,122584345795230;36,97110381749510
24;B;C.n.;P+L;Forbs;P.FR;0,109899124941853;133,60526956087639
24;B;C.n.;P+L;Forbs;P.rL;0,114567972440733;18,35979985494654
24;B;C.n.;P+L;Forbs;P.lL;0,119780500742281;36,97110381749510
25;B;R.a.;P+L;Forbs;P.FR;0,109917555830668;95,57784849145287
25;B;R.a.;P+L;Forbs;P.rL;0,115854699578913;18,35979985494654
25;B;R.a.;P+L;Forbs;P.lL;0,128108827098581;36,97110381749510
26;B;M.a.;P+L;Leg;P.FR;0,110796148561425;61,96432451044458
26;B;M.a.;P+L;Leg;P.rL;0,127034204243980;18,35979985494654
26;B;M.a.;P+L;Leg;P.lL;0,119324390079656;36,97110381749510
27;B;T.p.;P+L;Leg;P.FR;0,110499517019648;48,29822006362051
27;B;T.p.;P+L;Leg;P.rL;0,137673717183833;18,35979985494654
27;B;T.p.;P+L;Leg;P.lL;0,130799887372739;36,97110381749510
28;B;L.c.;P+L;Leg;P.FR;0,110545819808297;96,93597067250371
28;B;L.c.;P+L;Leg;P.rL;0,121474187288172;18,35979985494654
28;B;L.c.;P+L;Leg;P.lL;0,120009120410599;36,97110381749510
29;B;M.s.;P+L;Leg;P.FR;0,110592139586975;33,52864134469262
29;B;M.s.;P+L;Leg;P.rL;0,118889516072556;18,35979985494654
29;B;M.s.;P+L;Leg;P.lL;0,116323504388638;36,97110381749510
30;B;T.r.;P+L;Leg;P.FR;0,110703376400317;31,15192752785364
30;B;T.r.;P+L;Leg;P.rL;0,124532718416623;18,35979985494654
30;B;T.r.;P+L;Leg;P.lL;0,127867019403337;36,97110381749510
1;C;N.s.;P;Grass;P.FR;0,110138937893465;6,49352167814933
2;C;F.o.;P;Grass;P.FR;0,110088170021749;58,39925378518613
3;C;A.o.;P;Grass;P.FR;0,109866877404692;92,39474962961498
4;C;D.g.;P;Grass;P.FR;0,110120474476089;28,13859393864710
5;C;H.l.;P;Grass;P.FR;0,109894517642934;57,97484060360775
6;C;G.v.;P;Forbs;P.FR;0,110235915342399;24,65840584970432
7;C;C.r.;P;Forbs;P.FR;0,110592139586975;14,13295894656031
8;C;P.l.;P;Forbs;P.FR;0,110148170619311;43,07793793020633
9;C;C.n.;P;Forbs;P.FR;0,109940598251570;107,29165230301639
10;C;R.a.;P;Forbs;P.FR;0,109820823882929;197,56433602473942
11;C;M.a.;P;Leg;P.FR;0,111233089818709;81,82686140831314
12;C;T.p.;P;Leg;P.FR;0,111042323989868;44,56338406573070
13;C;L.c.;P;Leg;P.FR;0,110940079909257;111,74799070958944
14;C;M.s.;P;Leg;P.FR;0,110777588686196;66,03869105359711
15;C;T.r.;P;Leg;P.FR;0,111163264205618;19,39568239813231
17;C;F.o.;P+L;Grass;P.FR;0,110157404023308;46,60056733730696
17;C;F.o.;P+L;Grass;P.rL;0,116677401825397;18,35979985494654
17;C;F.o.;P+L;Grass;P.lL;0,119225434484724;36,97110381749510
18;C;A.o.;P+L;Grass;P.FR;0,109825428473464;129,06404851798766
18;C;A.o.;P+L;Grass;P.rL;0,117358724089847;18,35979985494654
18;C;A.o.;P+L;Grass;P.lL;0,126835854119519;36,97110381749510
19;C;D.g.;P+L;Grass;P.FR;0,109949816405336;35,05652879837481
19;C;D.g.;P+L;Grass;P.rL;0,115454861605444;18,35979985494654
19;C;D.g.;P+L;Grass;P.lL;0,118790872472806;36,97110381749510
20;C;H.l.;P+L;Grass;P.FR;0,109885303553009;66,33578028070197
20;C;H.l.;P+L;Grass;P.rL;0,114912432973399;18,35979985494654
20;C;H.l.;P+L;Grass;P.lL;0,119413510815491;36,97110381749510
21;C;G.v.;P+L;Forbs;P.FR;0,110175872865891;44,47850142941502
21;C;G.v.;P+L;Forbs;P.rL;0,124353103039362;18,35979985494654
21;C;G.v.;P+L;Forbs;P.lL;0,122640082193980;36,97110381749510
23;C;P.l.;P+L;Forbs;P.FR;0,110032810277412;38,28206897837056
23;C;P.l.;P+L;Forbs;P.rL;0,123290255206139;18,35979985494654
23;C;P.l.;P+L;Forbs;P.lL;0,122584345795230;36,97110381749510
24;C;C.n.;P+L;Forbs;P.FR;0,109802407213125;122,65540947615403
24;C;C.n.;P+L;Forbs;P.rL;0,114567972440733;18,35979985494654
24;C;C.n.;P+L;Forbs;P.lL;0,119780500742281;36,97110381749510
25;C;R.a.;P+L;Forbs;P.FR;0,109931380775195;110,94160566459050
25;C;R.a.;P+L;Forbs;P.rL;0,115854699578913;18,35979985494654
25;C;R.a.;P+L;Forbs;P.lL;0,128108827098581;36,97110381749510
26;C;M.a.;P+L;Leg;P.FR;0,111251716461489;90,82442085777495
26;C;M.a.;P+L;Leg;P.rL;0,127034204243980;18,35979985494654
26;C;M.a.;P+L;Leg;P.lL;0,119324390079656;36,97110381749510
27;C;T.p.;P+L;Leg;P.FR;0,111093476946017;54,32488724203360
27;C;T.p.;P+L;Leg;P.rL;0,137673717183833;18,35979985494654
27;C;T.p.;P+L;Leg;P.lL;0,130799887372739;36,97110381749510
28;C;L.c.;P+L;Leg;P.FR;0,110930789079705;107,63118284827910
28;C;L.c.;P+L;Leg;P.rL;0,121474187288172;18,35979985494654
28;C;L.c.;P+L;Leg;P.lL;0,120009120410599;36,97110381749510
29;C;M.s.;P+L;Leg;P.FR;0,111070223046696;63,66197723675814
29;C;M.s.;P+L;Leg;P.rL;0,118889516072556;18,35979985494654
29;C;M.s.;P+L;Leg;P.lL;0,116323504388638;36,97110381749510
30;C;T.r.;P+L;Leg;P.FR;0,110884345146256;64,63812755438842
30;C;T.r.;P+L;Leg;P.rL;0,124532718416623;18,35979985494654
30;C;T.r.;P+L;Leg;P.lL;0,127867019403337;36,97110381749510
32;A;F.o.;L;Grass;P.rL;0,116677401825397;18,35979985494654
32;A;F.o.;L;Grass;P.lL;0,119225434484724;36,97110381749510
33;A;A.o.;L;Grass;P.rL;0,117358724089847;18,35979985494654
33;A;A.o.;L;Grass;P.lL;0,126835854119519;36,97110381749510
34;A;D.g.;L;Grass;P.rL;0,115454861605444;18,35979985494654
34;A;D.g.;L;Grass;P.lL;0,118790872472806;36,97110381749510
35;A;H.l.;L;Grass;P.rL;0,114912432973399;18,35979985494654
35;A;H.l.;L;Grass;P.lL;0,119413510815491;36,97110381749510
36;A;G.v.;L;Forbs;P.rL;0,124353103039362;18,35979985494654
36;A;G.v.;L;Forbs;P.lL;0,122640082193980;36,97110381749510
38;A;P.l.;L;Forbs;P.rL;0,123290255206139;18,35979985494654
38;A;P.l.;L;Forbs;P.lL;0,122584345795230;36,97110381749510
39;A;C.n.;L;Forbs;P.rL;0,114567972440733;18,35979985494654
39;A;C.n.;L;Forbs;P.lL;0,119780500742281;36,97110381749510
40;A;R.a.;L;Forbs;P.rL;0,115854699578913;18,35979985494654
40;A;R.a.;L;Forbs;P.lL;0,128108827098581;36,97110381749510
41;A;M.a.;L;Leg;P.rL;0,127034204243980;18,35979985494654
41;A;M.a.;L;Leg;P.lL;0,119324390079656;36,97110381749510
42;A;T.p.;L;Leg;P.rL;0,137673717183833;18,35979985494654
42;A;T.p.;L;Leg;P.lL;0,130799887372739;36,97110381749510
43;A;L.c.;L;Leg;P.rL;0,121474187288172;18,35979985494654
43;A;L.c.;L;Leg;P.lL;0,120009120410599;36,97110381749510
44;A;M.s.;L;Leg;P.rL;0,118889516072556;18,35979985494654
44;A;M.s.;L;Leg;P.lL;0,116323504388638;36,97110381749510
45;A;T.r.;L;Leg;P.rL;0,124532718416623;18,35979985494654
45;A;T.r.;L;Leg;P.lL;0,127867019403337;36,97110381749510
32;B;F.o.;L;Grass;P.rL;0,116677401825397;18,35979985494654
32;B;F.o.;L;Grass;P.lL;0,119225434484724;36,97110381749510
33;B;A.o.;L;Grass;P.rL;0,117358724089847;18,35979985494654
33;B;A.o.;L;Grass;P.lL;0,126835854119519;36,97110381749510
34;B;D.g.;L;Grass;P.rL;0,115454861605444;18,35979985494654
34;B;D.g.;L;Grass;P.lL;0,118790872472806;36,97110381749510
35;B;H.l.;L;Grass;P.rL;0,114912432973399;18,35979985494654
35;B;H.l.;L;Grass;P.lL;0,119413510815491;36,97110381749510
36;B;G.v.;L;Forbs;P.rL;0,124353103039362;18,35979985494654
36;B;G.v.;L;Forbs;P.lL;0,122640082193980;36,97110381749510
38;B;P.l.;L;Forbs;P.rL;0,123290255206139;18,35979985494654
38;B;P.l.;L;Forbs;P.lL;0,122584345795230;36,97110381749510
39;B;C.n.;L;Forbs;P.rL;0,114567972440733;18,35979985494654
39;B;C.n.;L;Forbs;P.lL;0,119780500742281;36,97110381749510
40;B;R.a.;L;Forbs;P.rL;0,115854699578913;18,35979985494654
40;B;R.a.;L;Forbs;P.lL;0,128108827098581;36,97110381749510
41;B;M.a.;L;Leg;P.rL;0,127034204243980;18,35979985494654
41;B;M.a.;L;Leg;P.lL;0,119324390079656;36,97110381749510
42;B;T.p.;L;Leg;P.rL;0,137673717183833;18,35979985494654
42;B;T.p.;L;Leg;P.lL;0,130799887372739;36,97110381749510
43;B;L.c.;L;Leg;P.rL;0,121474187288172;18,35979985494654
43;B;L.c.;L;Leg;P.lL;0,120009120410599;36,97110381749510
44;B;M.s.;L;Leg;P.rL;0,118889516072556;18,35979985494654
44;B;M.s.;L;Leg;P.lL;0,116323504388638;36,97110381749510
45;B;T.r.;L;Leg;P.rL;0,124532718416623;18,35979985494654
45;B;T.r.;L;Leg;P.lL;0,127867019403337;36,97110381749510
32;C;F.o.;L;Grass;P.rL;0,116677401825397;18,35979985494654
32;C;F.o.;L;Grass;P.lL;0,119225434484724;36,97110381749510
33;C;A.o.;L;Grass;P.rL;0,117358724089847;18,35979985494654
33;C;A.o.;L;Grass;P.lL;0,126835854119519;36,97110381749510
34;C;D.g.;L;Grass;P.rL;0,115454861605444;18,35979985494654
34;C;D.g.;L;Grass;P.lL;0,118790872472806;36,97110381749510
35;C;H.l.;L;Grass;P.rL;0,114912432973399;18,35979985494654
35;C;H.l.;L;Grass;P.lL;0,119413510815491;36,97110381749510
36;C;G.v.;L;Forbs;P.rL;0,124353103039362;18,35979985494654
36;C;G.v.;L;Forbs;P.lL;0,122640082193980;36,97110381749510
38;C;P.l.;L;Forbs;P.rL;0,123290255206139;18,35979985494654
38;C;P.l.;L;Forbs;P.lL;0,122584345795230;36,97110381749510
39;C;C.n.;L;Forbs;P.rL;0,114567972440733;18,35979985494654
39;C;C.n.;L;Forbs;P.lL;0,119780500742281;36,97110381749510
40;C;R.a.;L;Forbs;P.rL;0,115854699578913;18,35979985494654
40;C;R.a.;L;Forbs;P.lL;0,128108827098581;36,97110381749510
41;C;M.a.;L;Leg;P.rL;0,127034204243980;18,35979985494654
41;C;M.a.;L;Leg;P.lL;0,119324390079656;36,97110381749510
42;C;T.p.;L;Leg;P.rL;0,137673717183833;18,35979985494654
42;C;T.p.;L;Leg;P.lL;0,130799887372739;36,97110381749510
43;C;L.c.;L;Leg;P.rL;0,121474187288172;18,35979985494654
43;C;L.c.;L;Leg;P.lL;0,120009120410599;36,97110381749510
44;C;M.s.;L;Leg;P.rL;0,118889516072556;18,35979985494654
44;C;M.s.;L;Leg;P.lL;0,116323504388638;36,97110381749510
45;C;T.r.;L;Leg;P.rL;0,124532718416623;18,35979985494654
45;C;T.r.;L;Leg;P.lL;0,127867019403337;36,97110381749510
