Numero;Bloc;mod;gf;Sp;Group;MN.J.y.m2;FreshMass.g.m2
1;A;P;Grass;N.s.;Epe;115013,258967245216;0,50166351076710469
1;A;P;Grass;N.s.;Hem;29597,371739587521;0,05909990299469679
1;A;P;Grass;N.s.;Gam;3869,970368692455;0,02417340439391365
2;A;P;Grass;F.o.;Epe;178338,652280319046;0,86307153694854477
2;A;P;Grass;F.o.;Hem;153118,941555938858;0,33311242422715520
2;A;P;Grass;F.o.;Gam;6883,307131707877;0,04640848275093189
3;A;P;Grass;A.o.;Epe;151597,796581605653;0,54067047745961117
3;A;P;Grass;A.o.;Hem;49204,009124315438;0,10623467906976400
3;A;P;Grass;A.o.;Gam;18262,167537037363;0,10242986904504586
4;A;P;Grass;D.g.;Epe;383478,078915210324;1,36286949713470373
4;A;P;Grass;D.g.;Hem;58454,254750966655;0,12479629104787411
4;A;P;Grass;D.g.;Gam;13900,810987527107;0,06331715101277602
5;A;P;Grass;H.l.;Epe;65337,194214678530;0,24421753059656212
5;A;P;Grass;H.l.;Hem;32133,335524758750;0,06694369592936673
5;A;P;Grass;H.l.;Gam;1863,601964890066;0,01144631819201638
6;A;P;Forb;G.v.;Epe;353507,460697654053;1,59385857815728516
6;A;P;Forb;G.v.;Hem;108794,657869211631;0,21065200927361763
6;A;P;Forb;G.v.;Gam;4873,163095584709;0,02473858426647426
7;A;P;Forb;C.r.;Epe;33047,663233323321;0,14313860821076280
7;A;P;Forb;C.r.;Hem;9260,680686675567;0,02335712434122607
7;A;P;Forb;C.r.;Gam;3416,558423147219;0,01682776163205131
8;A;P;Forb;P.l.;Epe;171918,439715144370;0,56441384848983245
8;A;P;Forb;P.l.;Hem;111108,158120073247;0,25574306125723467
8;A;P;Forb;P.l.;Gam;41155,788344659923;0,23494397902140146
9;A;P;Forb;C.n.;Epe;17934,349844784538;0,04477321394270305
9;A;P;Forb;C.n.;Hem;277178,494628749613;0,60301529560598777
9;A;P;Forb;C.n.;Gam;12279,728276827076;0,06120620674291098
10;A;P;Forb;R.a.;Epe;43024,779046080708;0,16823874329985392
10;A;P;Forb;R.a.;Hem;79319,309729669942;0,15709126978278287
10;A;P;Forb;R.a.;Gam;5010,974884560020;0,03998134826357816
11;A;P;Legumes;M.a.;Epe;0,000000000000;0,00000000000000000
11;A;P;Legumes;M.a.;Hem;142412,774697779067;0,26103384849380107
11;A;P;Legumes;M.a.;Gam;0,000000000000;0,00000000000000000
12;A;P;Legumes;T.p.;Epe;220378,379075444216;0,79489414299033789
12;A;P;Legumes;T.p.;Hem;43945,604100343466;0,09949175410302909
12;A;P;Legumes;T.p.;Gam;6488,747724176263;0,03012653896593322
13;A;P;Legumes;L.c.;Epe;32668,597107339254;0,12210876529828105
13;A;P;Legumes;L.c.;Hem;19049,111471902746;0,03998476586735496
13;A;P;Legumes;L.c.;Gam;1863,601964890066;0,01144631819201638
14;A;P;Legumes;M.s.;Epe;62184,374579799682;0,21369033927199182
14;A;P;Legumes;M.s.;Hem;29703,027401313058;0,06808703693900499
14;A;P;Legumes;M.s.;Gam;3286,585342800281;0,01590860300188950
15;A;P;Legumes;T.r.;Epe;88330,268425811082;0,29577456483361414
15;A;P;Legumes;T.r.;Hem;143151,936296723230;0,28195170848228218
15;A;P;Legumes;T.r.;Gam;5545,411958754720;0,03393590066366332
17;A;P+L;Grass;F.o.;Epe;165518,112915241451;0,55016782587169977
17;A;P+L;Grass;F.o.;Hem;28408,351576416160;0,05284038028295931
17;A;P+L;Grass;F.o.;Gam;7235,019643474102;0,03213652653284324
18;A;P+L;Grass;A.o.;Epe;77504,471719300607;0,23404180015503870
18;A;P+L;Grass;A.o.;Hem;75801,255629629100;0,13644504901605106
18;A;P+L;Grass;A.o.;Gam;2978,980309463048;0,01882619340489660
19;A;P+L;Grass;D.g.;Epe;51991,953968472983;0,19062535027120545
19;A;P+L;Grass;D.g.;Hem;155352,899111161154;0,26090926462389691
19;A;P+L;Grass;D.g.;Gam;14192,925201536513;0,06531764974920955
20;A;P+L;Grass;H.l.;Epe;71198,954084986224;0,25235811494978083
20;A;P+L;Grass;H.l.;Hem;187265,093724839011;0,33029736422305428
20;A;P+L;Grass;H.l.;Gam;3659,236770001546;0,01271275001643369
21;A;P+L;Forb;G.v.;Epe;43898,860606510170;0,15433191169643853
21;A;P+L;Forb;G.v.;Hem;109017,297928254076;0,19509634765883846
21;A;P+L;Forb;G.v.;Gam;5689,241394128921;0,02801044911076213
23;A;P+L;Forb;P.l.;Epe;74414,362205452970;0,22488364275766759
23;A;P+L;Forb;P.l.;Hem;135338,920111709565;0,23292356989181071
23;A;P+L;Forb;P.l.;Gam;10723,521590318393;0,04421396114622528
24;A;P+L;Forb;C.n.;Epe;5978,116614928180;0,01492440464756768
24;A;P+L;Forb;C.n.;Hem;26860,963090123179;0,06117194802976574
24;A;P+L;Forb;C.n.;Gam;1892,058779572366;0,00975581957421974
25;A;P+L;Forb;R.a.;Epe;14084,077661050524;0,03256233741287495
25;A;P+L;Forb;R.a.;Hem;36343,502176683185;0,06544500112675418
25;A;P+L;Forb;R.a.;Gam;2226,208222524127;0,01480775904794832
26;A;P+L;Legumes;M.a.;Epe;151675,690605430485;0,48775667916368937
26;A;P+L;Legumes;M.a.;Hem;192117,146168108826;0,39650293278192833
26;A;P+L;Legumes;M.a.;Gam;5851,369239928107;0,02593687888168035
27;A;P+L;Legumes;T.p.;Epe;207000,897407074197;0,65870895058128287
27;A;P+L;Legumes;T.p.;Hem;423569,955004099000;0,99067602134810340
27;A;P+L;Legumes;T.p.;Gam;6917,556638909316;0,02665865726457251
28;A;P+L;Legumes;L.c.;Epe;110965,217739692584;0,53422584817997965
28;A;P+L;Legumes;L.c.;Hem;72227,281842628072;0,14498867740382734
