Numero;Bloc;Sp;gf;mod;Group;gBiomPerM2;MN.perM2
1;A;N.s.;Grass;P;AMF;40,00446931964058;404961647,727732062
1;A;N.s.;Grass;P;SaproF;55,11422898710191;768642404,907801270
1;A;N.s.;Grass;P;Gneg;19,65583847423437;463579096,408274412
1;A;N.s.;Grass;P;Gpos;22,36087208264564;599954299,307473183
2;A;F.o.;Grass;P;AMF;24,21531528289782;441652610,539580643
2;A;F.o.;Grass;P;SaproF;42,14523516491413;1337819460,046778917
2;A;F.o.;Grass;P;Gneg;9,79068522551140;402480013,053776264
2;A;F.o.;Grass;P;Gpos;15,14333812570230;962856089,431654096
3;A;A.o.;Grass;P;AMF;22,13616104503393;127654988,171827465
3;A;A.o.;Grass;P;SaproF;84,25353619844023;1849308873,735881090
3;A;A.o.;Grass;P;Gneg;20,68343682942063;495317049,197569788
3;A;A.o.;Grass;P;Gpos;29,45777907450627;1004703395,489154458
4;A;D.g.;Grass;P;AMF;44,60461756332717;257357214,548282504
4;A;D.g.;Grass;P;SaproF;71,13225480252565;654500312,433722615
4;A;D.g.;Grass;P;Gneg;15,99474977788778;198378348,108731300
4;A;D.g.;Grass;P;Gpos;24,44505577877269;463363087,505308628
5;A;H.l.;Grass;P;AMF;33,61829937415004;485121429,365808785
5;A;H.l.;Grass;P;SaproF;48,89492007222555;1026186884,415453196
5;A;H.l.;Grass;P;Gneg;12,35311966837410;361453564,383976161
5;A;H.l.;Grass;P;Gpos;18,96699005840470;852110756,814552784
6;A;G.v.;Forbs;P;AMF;46,38515899170876;51384332,566511750
6;A;G.v.;Forbs;P;SaproF;70,44528818195926;118515873,283088058
6;A;G.v.;Forbs;P;Gneg;16,58538120842508;37784455,550989941
6;A;G.v.;Forbs;P;Gpos;25,96136821837681;92580049,042433530
7;A;C.r.;Forbs;P;AMF;48,90039217203473;234969152,729179114
7;A;C.r.;Forbs;P;SaproF;60,54736660555425;360227351,306026340
7;A;C.r.;Forbs;P;Gneg;24,26883996009585;247882780,965158403
7;A;C.r.;Forbs;P;Gpos;29,25468327162573;360196198,855153620
8;A;P.l.;Forbs;P;AMF;35,35388356950621;367866432,451341093
8;A;P.l.;Forbs;P;SaproF;51,49136392487485;780341487,984663963
8;A;P.l.;Forbs;P;Gneg;13,05322224430147;279012774,984197617
8;A;P.l.;Forbs;P;Gpos;19,64117369654760;631718355,909984589
9;A;C.n.;Forbs;P;AMF;44,54169804061067;360921968,726466596
9;A;C.n.;Forbs;P;SaproF;63,08508953785874;723991098,308253288
9;A;C.n.;Forbs;P;Gneg;19,64970331321709;387764697,175661564
9;A;C.n.;Forbs;P;Gpos;21,18635942291717;450784468,372500122
10;A;R.a.;Forbs;P;AMF;28,93917376417978;223281825,648369879
