Numero,Bloc,Sp,mod,gf,µgCperGsoil,APE13Cppm,APE15Nppm,avail.rhizodep.µgCperGsoil,avail.litter.µgCperGsoil,avail.SOM.µgCperGsoil
1,A,N.s.,P,Grass,34.68,79.4162790697683,0,0.05987296865520792,0,34.62012703134479
1,B,N.s.,P,Grass,77.8,167.4962790697678,0,0.13031210511627933,0,77.66968789488372
1,C,N.s.,P,Grass,91.04,136.616279069768,0,0.1884476673713891,0,90.85155233262861
2,A,F.o.,P,Grass,80.98,59.216279069767,0,0.10424639737108111,0,80.87575360262892
2,B,F.o.,P,Grass,86.3,165.516279069768,0,0.14284054883720976,0,86.15715945116278
2,C,F.o.,P,Grass,82.78,37.8162790697667,0,0.04743078153629223,0,82.73256921846371
3,A,A.o.,P,Grass,30.44,2.21627906976885,0,0.0014665985844296479,0,30.438533401415572
3,B,A.o.,P,Grass,88.9,373.316279069769,0,0.33187817209302456,0,88.56812182790698
3,C,A.o.,P,Grass,83.92,72.4162790697669,0,0.09207839605355815,0,83.82792160394645
4,A,D.g.,P,Grass,29.18,31.0162790697688,0,0.019675109201214208,0,29.160324890798787
4,B,D.g.,P,Grass,89.12,88.9162790697684,0,0.07924218790697758,0,89.04075781209303
4,C,D.g.,P,Grass,77.1,58.3162790697678,0,0.06812401691331965,0,77.03187598308668
5,A,H.l.,P,Grass,30.64,21.016279069767702,0,0.013998669362993096,0,30.626001330637006
5,B,H.l.,P,Grass,55.18,97.516279069767,0,0.05380948279069743,0,55.1261905172093
5,C,H.l.,P,Grass,75.84,32.5162790697675,0,0.03736416067653283,0,75.80263583932347
6,A,G.v.,P,Forb,32.28,77.9162790697674,0,0.05467690192113243,0,32.22532309807887
6,B,G.v.,P,Forb,54.16,78.2162790697671,0,0.04236193674418586,0,54.11763806325581
6,C,G.v.,P,Forb,89.34,172.316279069769,0,0.23325358139535093,0,89.10674641860466
7,A,C.r.,P,Forb,42.06,7.91627906976844,0,0.007238232558140448,0,42.052761767441865
7,B,C.r.,P,Forb,67.28,48.6162790697686,0,0.03270903255814031,0,67.24729096744186
7,C,C.r.,P,Forb,74.06,38.5162790697668,0,0.0432199337561656,0,74.01678006624384
8,A,P.l.,P,Forb,22.4,29.5162790697678,0,0.014373144590495624,0,22.3856268554095
8,B,P.l.,P,Forb,51.88,94.1162790697669,0,0.048827525581395075,0,51.83117247441861
8,C,P.l.,P,Forb,74.14,69.0162790697668,0,0.07752828682170469,0,74.0624717131783
9,A,C.n.,P,Forb,25.46,26.3162790697669,0,0.014565488372092723,0,25.44543451162791
9,B,C.n.,P,Forb,63.72,53.4162790697668,0,0.034036853023255396,0,63.685963146976746
9,C,C.n.,P,Forb,79.26,45.1162790697679,0,0.054180549682875806,0,79.20581945031712
10,A,R.a.,P,Forb,29.16,47.25794573643456,0,0.02995742821031373,0,29.130042571789687
10,B,R.a.,P,Forb,76.12,163.716279069768,0,0.1246208316279074,0,75.9953791683721
10,C,R.a.,P,Forb,75.42,120.316279069768,0,0.13748869344608944,0,75.28251130655391
11,A,M.a.,P,Legumes,28.4,39.6162790697674,0,0.024458746208291176,0,28.375541253791706
11,B,M.a.,P,Legumes,76.9,340.616279069768,0,0.26193391860465154,0,76.63806608139535
11,C,M.a.,P,Legumes,92.86,144.516279069769,0,0.20333002536998107,0,92.65666997463002
12,A,T.p.,P,Legumes,22.7,113.216279069768,0,0.05586977249747247,0,22.644130227502526
12,B,T.p.,P,Legumes,63.74,126.4162790697675,0,0.0805777362790698,0,63.65942226372093
12,C,T.p.,P,Legumes,84.34,60.4162790697682,0,0.07720468146582196,0,84.26279531853419
13,A,L.c.,P,Legumes,17.4,47.25794573643456,0,0.01787583164812959,0,17.38212416835187
13,B,L.c.,P,Legumes,79.24,301.116279069769,0,0.23860453953488492,0,79.0013954604651
13,C,L.c.,P,Legumes,75.16,81.3162790697675,0,0.09260199295278372,0,75.06739800704722
14,A,M.s.,P,Legumes,34.34,47.25794573643456,0,0.03527908383889484,0,34.30472091616111
14,B,M.s.,P,Legumes,87.64,401.016279069768,0,0.35145066697674465,0,87.28854933302325
14,C,M.s.,P,Legumes,85.32,231.716279069767,0,0.2995459534883715,0,85.02045404651162
15,A,T.r.,P,Legumes,22.16,79.7162790697681,0,0.038402450960566555,0,22.121597549039432
15,B,T.r.,P,Legumes,80.94,53.5162790697674,0,0.04331607627906972,0,80.89668392372093
15,C,T.r.,P,Legumes,79.72,24.6162790697668,0,0.029733481324875896,0,79.69026651867512
17,A,F.o.,P+L,Grass,18.606,29.6162790697685,451.996111111111,0.011979141051567666,2.377788632291166,16.21623222665727
17,B,F.o.,P+L,Grass,71.42,115.716279069769,205.435,0.082644566511629,0.27272957192523273,71.06462586156313
17,C,F.o.,P+L,Grass,89.92,51.1162790697672,224.27125,0.06964205778717372,0.7671981380522515,89.08315980416057
18,A,A.o.,P+L,Grass,30.2,42.13294573643483,547.916111111111,0.027661194809572427,1.1874307751291344,28.984908030061295
