Family;TrophicGroup;FreshBodyMass
Teratocephalidae;Bacterivores;0,13
Prismatolaimidae;Bacterivores;0,49
Monhysteridae;Bacterivores;0,42
Plectidae;Bacterivores;0,89
Cephalobidae;Bacterivores;0,43
Panagrolaimidae;Bacterivores;4,08
Rhabditidae;Bacterivores;5,39
Anguinidae-Ditylenchus;Fongivores;11,05
Leptonchidae;Fongivores;0,86
Aphelenchoididae;Fongivores;0,21
Aphelenchidae;Fongivores;0,31
Hoplolaimidae;Phytoparasites ;0,74
Meloidogynidae;Phytoparasites ;0,3
Paratylenchidae;Phytoparasites ;0,06
Telotylenchidae;Phytoparasites ;0,46
Pratylenchidae;Phytoparasites ;2,73
Tylenchidae;Facultative phytophages ;0,15
Mononchidae;Predators;5,33
Aporcelaimidae;Predators;37,15
Dorylaimidae;Omnivores;8,83
Qudsianematidae;Predators;2,76
