Numero;Bloc;Sp;mod;gf
1;A;N.s.;Pl;Grass
2;A;F.o.;Pl;Grass
3;A;A.o.;Pl;Grass
4;A;D.g.;Pl;Grass
5;A;H.l.;Pl;Grass
6;A;G.v.;Pl;Forb
7;A;C.r.;Pl;Forb
8;A;P.l.;Pl;Forb
9;A;C.n.;Pl;Forb
10;A;R.a.;Pl;Forb
11;A;M.a.;Pl;Legumes
12;A;T.p.;Pl;Legumes
13;A;L.c.;Pl;Legumes
14;A;M.s.;Pl;Legumes
15;A;T.r.;Pl;Legumes
17;A;F.o.;Pl+L;Grass
18;A;A.o.;Pl+L;Grass
19;A;D.g.;Pl+L;Grass
20;A;H.l.;Pl+L;Grass
21;A;G.v.;Pl+L;Forb
23;A;P.l.;Pl+L;Forb
24;A;C.n.;Pl+L;Forb
25;A;R.a.;Pl+L;Forb
26;A;M.a.;Pl+L;Legumes
27;A;T.p.;Pl+L;Legumes
28;A;L.c.;Pl+L;Legumes
29;A;M.s.;Pl+L;Legumes
30;A;T.r.;Pl+L;Legumes
32;A;F.o.;L;Grass
33;A;A.o.;L;Grass
34;A;D.g.;L;Grass
35;A;H.l.;L;Grass
36;A;G.v.;L;Forb
38;A;P.l.;L;Forb
39;A;C.n.;L;Forb
40;A;R.a.;L;Forb
41;A;M.a.;L;Legumes
42;A;T.p.;L;Legumes
43;A;L.c.;L;Legumes
44;A;M.s.;L;Legumes
45;A;T.r.;L;Legumes
46;A;NA;C;Temoins
47;A;NA;C;Temoins
1;B;N.s.;Pl;Grass
2;B;F.o.;Pl;Grass
3;B;A.o.;Pl;Grass
4;B;D.g.;Pl;Grass
5;B;H.l.;Pl;Grass
6;B;G.v.;Pl;Forb
7;B;C.r.;Pl;Forb
8;B;P.l.;Pl;Forb
9;B;C.n.;Pl;Forb
10;B;R.a.;Pl;Forb
11;B;M.a.;Pl;Legumes
12;B;T.p.;Pl;Legumes
13;B;L.c.;Pl;Legumes
14;B;M.s.;Pl;Legumes
15;B;T.r.;Pl;Legumes
17;B;F.o.;Pl+L;Grass
18;B;A.o.;Pl+L;Grass
19;B;D.g.;Pl+L;Grass
20;B;H.l.;Pl+L;Grass
21;B;G.v.;Pl+L;Forb
23;B;P.l.;Pl+L;Forb
24;B;C.n.;Pl+L;Forb
25;B;R.a.;Pl+L;Forb
26;B;M.a.;Pl+L;Legumes
27;B;T.p.;Pl+L;Legumes
28;B;L.c.;Pl+L;Legumes
29;B;M.s.;Pl+L;Legumes
30;B;T.r.;Pl+L;Legumes
32;B;F.o.;L;Grass
33;B;A.o.;L;Grass
34;B;D.g.;L;Grass
35;B;H.l.;L;Grass
36;B;G.v.;L;Forb
38;B;P.l.;L;Forb
39;B;C.n.;L;Forb
40;B;R.a.;L;Forb
41;B;M.a.;L;Legumes
42;B;T.p.;L;Legumes
43;B;L.c.;L;Legumes
44;B;M.s.;L;Legumes
45;B;T.r.;L;Legumes
46;B;NA;C;Temoins
47;B;NA;C;Temoins
1;C;N.s.;Pl;Grass
2;C;F.o.;Pl;Grass
3;C;A.o.;Pl;Grass
4;C;D.g.;Pl;Grass
5;C;H.l.;Pl;Grass
6;C;G.v.;Pl;Forb
7;C;C.r.;Pl;Forb
8;C;P.l.;Pl;Forb
9;C;C.n.;Pl;Forb
10;C;R.a.;Pl;Forb
11;C;M.a.;Pl;Legumes
12;C;T.p.;Pl;Legumes
13;C;L.c.;Pl;Legumes
14;C;M.s.;Pl;Legumes
15;C;T.r.;Pl;Legumes
17;C;F.o.;Pl+L;Grass
18;C;A.o.;Pl+L;Grass
19;C;D.g.;Pl+L;Grass
20;C;H.l.;Pl+L;Grass
21;C;G.v.;Pl+L;Forb
23;C;P.l.;Pl+L;Forb
24;C;C.n.;Pl+L;Forb
25;C;R.a.;Pl+L;Forb
26;C;M.a.;Pl+L;Legumes
27;C;T.p.;Pl+L;Legumes
28;C;L.c.;Pl+L;Legumes
29;C;M.s.;Pl+L;Legumes
30;C;T.r.;Pl+L;Legumes
32;C;F.o.;L;Grass
33;C;A.o.;L;Grass
34;C;D.g.;L;Grass
35;C;H.l.;L;Grass
36;C;G.v.;L;Forb
38;C;P.l.;L;Forb
39;C;C.n.;L;Forb
40;C;R.a.;L;Forb
41;C;M.a.;L;Legumes
42;C;T.p.;L;Legumes
43;C;L.c.;L;Legumes
44;C;M.s.;L;Legumes
45;C;T.r.;L;Legumes
46;C;NA;C;Temoins
47;C;NA;C;Temoins
