Species;Functional Group;Family;RGR ;SLA1;SLA2;Root diameter;SRL
"""""";"""""";"""""";Grime & Hunt 1975;Grime 2007;Sweeny & al 2021;Sweeny & al 2021;Various
Nardus stricta;Graminoid;Poaceae;0,71;10,2;;0,47;23,72
Festuca ovina;Graminoid;Poaceae;1;10,9;;;
Anthoxantum odoratum;Graminoid;Poaceae;0,94;27,3;375;0,23;188 - 385,5
Dactylis glomerata;Graminoid;Poaceae;1,31;27,7;404,9;0,24;143,9 - 216,4
Holcus lanatus;Graminoid;Poaceae;2,01;33,5;;;203,6 - 528 - 593
Campanula rotundifolia;Forb;Campanulaceae;0,81;22,2;;;
Galium verum;Forb;Rubiaceae;1,2;24,1;584,5;0,21;248,2
Plantago lanceolata;Forb;Plantaginaceae;1,7;22,4;231;0,31;122
Centaurea nigra;Forb;Asteraceae;1,13;26,3;290,7;0,37;77,2
Rumex acetosa;Forb;Polygonaceae;1,71;28,1;401;0,27;31 - 127
Melilotus alba;Legume;Fabaceae;;21,97;;;171
Trifolium pratense;Legume;Fabaceae;;27,9;391;0,26;190 - 252,1
Lotus corniculatus;Legume;Fabaceae;1,05;29,3;443;0,37;109- 110,2
Medicago sativa;Legume;Fabaceae;;33;;104,9;
Trifolium repens;Legume;Fabaceae;1,26;38,8;472;0,26;215 - 247,7
