Sp,APE15NpermilG.LIT,CN_ratio.LIT
F.o.,92.83507039304675,48.31697455434158
A.o.,103.01290681029226,31.484769905040178
D.g.,102.38470478955495,54.46082844352145
H.l.,102.50038622752467,50.07897851267417
G.v.,101.58084557360289,33.81441642397374
P.l.,100.60936008629638,28.923794104009932
C.n.,99.22690183796499,48.96189722450293
R.a.,102.12174865044028,34.86677061677062
M.a.,99.36051562147871,35.14877256934556
T.p.,59.35266625041174,17.488721869432528
L.c.,99.84097923119077,36.16354140838086
M.s.,104.81202176646627,51.00127928898465
T.r.,63.0205261064975,21.34609450214546
