;;;;; (µgC/gsol); (µgN/gsol); (µgN/gsol);(µgN/gsol);ppm/h/gsol ;;µgN/gsol/h; (µgC/gsol); (µgC/gsol); (µgN/gsol); (µgN/gsol);
Numero;Bloc;Sp;gf;mod;C_micro;N_micro;DIN;TDN ;Respi_sol;pH;N_net_min;C_NF;C_F;N_NF;N_F;
1;A;N.s.;Grass;P;189,52;47,14;90,85612557;94,6202144;9,58;6,22;0,061054211;34,68;224,2;94,62;141,76;
2;A;F.o.;Grass;P;137,02;14,29;70,73772831;92,00984589;8,57;6,17;-0,099058219;80,98;218;92,01;106,30;
3;A;A.o.;Grass;P;195,16;42,06;9,729142708;24,59098275;14,46;6,41;0,163633455;30,44;225,6;24,59;66,65;
4;A;D.g.;Grass;P;221,02;50,41;8,412256267;15,74774373;7,43;6,46;0,105523343;29,18;250,2;15,75;66,15;
5;A;H.l.;Grass;P;167,14;32,20;7,854336735;15,51393785;9,45;6,53;0,102820408;30,64;197,78;15,51;47,71;
6;A;G.v.;Forbs;P;223,72;52,26;42,35286195;27,9637486;1,46;6,14;0,068959147;32,28;256;48,19;106,29;
7;A;C.r.;Forbs;P;235,94;32,80;51,41184211;28,04882271;6,18;5,87;0,072596953;42,06;278;58,54;105,99;
8;A;P.l.;Forbs;P;180,6;21,83;9,115334052;12,7425431;7,53;6,27;0,075950603;22,4;203;12,74;34,57;
9;A;C.n.;Forbs;P;215,74;45,45;8,001860053;17,64344553;8,89;6,25;0,106516563;25,46;241,2;17,64;63,10;
10;A;R.a.;Forbs;P;189,64;38,00;5,590675746;13,68415401;8,88;6,3;0,095171503;29,16;218,8;13,68;51,68;
11;A;M.a.;Leg;P;207,6;35,00;37,34460628;23,93541193;7,41;5,98;0,064364133;28,4;236;43,78;94,60;
12;A;T.p.;Leg;P;226,7;24,43;14,82508924;15,53411525;7,91;6,52;0,056722081;22,7;249,4;15,53;39,96;
13;A;L.c.;Leg;P;239,6;36,49;28,19132166;23,41074841;9,95;6,42;0,104047771;17,4;257;35,78;59,90;
14;A;M.s.;Leg;P;261,86;39,60;125,0103734;144,910529;8,06;5,5;0,002136929;34,34;296,2;144,91;184,51;
15;A;T.r.;Leg;P;238,64;46,60;8,436491847;17,99345527;7,57;6,39;0,104928867;22,16;260,8;17,99;64,59;
17;A;F.o.;Grass;P+L;294,394;36,46;10,1076661;15,64281658;10,70;6,31;0,174718228;18,606;313;15,64;52,10;
18;A;A.o.;Grass;P+L;322,6;35,32;7,090638562;15,10043397;11,49;6,43;0,055149411;30,2;352,8;15,10;50,42;
19;A;D.g.;Grass;P+L;207,612;23,39;6,205098494;13,21685979;10,59;6,59;0,07495759;15,988;223,6;13,22;36,61;
20;A;H.l.;Grass;P+L;350,8;60,29;7,449462943;18,24487111;8,78;6,33;0,057070462;22,8;373,6;18,24;78,54;
21;A;G.v.;Forbs;P+L;209,766;33,28;6,985714286;14,16547619;8,75;6,51;0,09831746;17,234;227;14,17;47,44;
23;A;P.l.;Forbs;P+L;224,712;49,93;6,84884858;15,31712934;7,06;6,52;0,083400757;16,488;241,2;15,32;65,25;
24;A;C.n.;Forbs;P+L;252,98;59,54;5,634451768;12,76237268;6,75;6,23;0,001629239;13,62;266,6;12,76;72,30;
25;A;R.a.;Forbs;P+L;207,216;35,03;5,925833333;14,45642857;8,72;6,34;0,084915238;19,784;227;14,46;49,49;
26;A;M.a.;Leg;P+L;265,1;59,36;31,08598726;39,30254777;11,49;6,39;0,096407643;30,9;296;39,30;98,67;
27;A;T.p.;Leg;P+L;164,94;26,87;78,30399778;85,35841199;8,17;5,67;-0,137496946;28,86;193,8;85,36;112,23;
28;A;L.c.;Leg;P+L;245,8;49,47;31,99558909;44,41276843;11,02;6,11;0,081992803;27,4;273,2;44,41;93,88;
29;A;M.s.;Leg;P+L;231,4;47,89;7,750472534;15,8984052;8,77;6,51;0,11075889;33,6;265;15,90;63,79;
30;A;T.r.;Leg;P+L;209,62;33,45;42,15654926;46,26110347;9,45;6,31;0,0362929;24,38;234;46,26;79,71;
32;A;F.o.;Grass;L;191,68;35,47;59,87773456;50,53417598;7,10;6,33;0,022108702;51,32;243;68,69;120,22;
33;A;A.o.;Grass;L;206;23,00;95,29456157;50,64841878;6,46;5,94;0,021581217;57;263;102,58;150,39;
