Sample;Id;Numero;Bloc;Group;Type;Burnt;Weight;Delta15N;AtomPer15N;N_amount;NperMS;Delta13C;AtomPer13C;C_amount;CperMS;Delta13C_cor;N;perJuv
2B-epi-mixte;2B;2;B;epi;mix;not burnt;0,001;39,149500000;0,380588885;0,141660811;14,166081080;-23,408019380;1,079930847;4,949232141;494,923214100;-23,181426750;5;0,800000000
2B-hem-mixte;2B;2;B;hem;mix;burnt;-0,475;13,553500000;0,371249144;0,523377593;-0,110184756;-24,113087380;1,079191296;7,580538596;-1,595902862;-24,044333940;6;0,666666667
2B-gam;2B;2;B;gam;NA;not burnt;0,005;54,031000000;0,386018201;0,093501598;1,870031964;-27,625485600;1,075476223;3,633182937;72,663658730;-27,910270590;2;NA
3B-epi-mixte;3B;3;B;epi;mix;not burnt;0,082;18,567500000;0,373078843;0,110344723;0,134566735;-18,080375380;1,085518698;4,741737239;5,782606389;-17,316328830;3;0,333333333
3B-epi;3B;3;B;epi;NA;not burnt;-0,001;13,383500000;0,371187106;0,278519528;-27,851952850;-19,717885380;1,083801278;4,005419192;-400,541919200;-18,925365600;4;NA
3B-hem-mixte;3B;3;B;hem;mix;burnt;-0,044;9,185500000;0,369655126;0,881488206;-2,003382286;-21,837261380;1,081578388;6,173843047;-14,031461470;-21,588385800;12;0,250000000
3B-hem-mixte;3B;3;B;hem;mix;not burnt;0,010;111,022000000;0,406805130;0,965365848;9,653658483;-21,666203600;1,081855516;6,317721366;63,177213660;-21,319266270;13;0,615384615
3B-hem-mixte;3B;3;B;hem;mix;not burnt;0,008;18,061000000;0,372894015;0,801400081;10,017501010;-21,191995600;1,082363111;6,960242984;87,003037300;-20,856401850;7;NA
3B-hem-mixte;3B;3;B;hem;mix;not burnt;0,004;12,784000000;0,370968333;0,507256299;12,681407480;-22,206841600;1,081276808;5,464696025;136,617400600;-21,835562800;7;0,714285714
4B-epi-mixte;4B;4;B;epi;mix;burnt;0,019;5,520500000;0,368317616;2,493780958;13,125162930;-19,103558380;1,084445591;11,560730380;60,845949350;-19,034623090;6;0,666666667
