Numero;Bloc;IncubTime;XCO2
47;A;1461;6685,385757
46;A;1459;7709,124629
45;A;1457;8517,72997
44;A;1456;7378,264095
43;A;1449;8296,661721
42;A;1460;7942,062315
41;A;1451;7140,875371
40;A;1448;8311,498516
39;A;1447;7704,673591
38;A;1446;10597,84866
36;A;1445;7829,302671
35;A;1443;7802,596439
34;A;1442;8617,136499
33;A;1440;7746,216617
32;A;1439;8513,278932
30;A;1436;11308,53116
29;A;1433;10477,67062
28;A;1430;13133,45697
27;A;1428;9723,961424
26;A;1426;13648,29377
25;A;1425;10354,52522
24;A;1423;8008,827893
23;A;1420;8357,492582
21;A;1417;10329,30267
20;A;1414;10350,07418
19;A;1409;12437,61128
18;A;1406;13459,86647
17;A;1404;12520,69733
15;A;1402;8847,106825
14;A;1400;9407,937685
13;A;1397;11581,52819
12;A;1395;9192,804154
11;A;1393;8605,267062
10;A;1391;10298,1454
9;A;1389;10292,21068
8;A;1387;8700,222552
7;A;1385;7137,908012
6;A;1383;1685,385757
5;A;1381;10876,78042
4;A;1377;8525,148368
3;A;1375;16572,62611
2;A;1373;9808,531157
1;A;1371;10945,02967
;;;0,0695
;;;9,4638
2;B;1439;8655,197122
4;B;1441;11532,89496
5;B;1439;12381,81583
8;B;1437;10122,82302
9;B;1440;10112,75108
11;B;1439;15475,34101
12;B;1438;11633,61439
14;B;1437;14065,26906
15;B;1434;7058,07482
17;B;1435;8453,758273
18;B;1435;12022,1036
19;B;1435;9763,110791
20;B;1432;14755,91655
21;B;1437;10453,75827
23;B;1438;12353,03885
24;B;1439;15878,21871
25;B;1440;11964,54964
26;B;1439;19086,8518
27;B;1440;13345,8446
28;B;1436;13892,60719
29;B;1437;11273,90216
30;B;1438;13374,62158
10;B;1438;11964,54964
3;B;1436;16683,9741
13;B;1437;12237,93094
36;B;1437;8108,434532
42;B;1438;6957,355396
46;B;1438;6194,765468
46b;B;1438;6223,542446
1;B;1436;9374,621583
7;B;1439;8914,189928
33;B;1438;6957,355396
38;B;1439;8338,65036
39;B;1439;6986,132374
43;B;1439;9935,772662
45;B;1439;8957,355396
34;B;1439;7403,398561
44;B;1440;8583,254676
32;B;1440;9072,463309
35;B;1440;8727,139568
6;B;1439;8856,635971
40;B;1433;7230,736691
41;B;1437;6583,254676
47;B;1437;7648,002878
;;;0,0694
;;;17,699
2;C;1439;7547,564841
3;C;1440;10933,73199
4;C;1439;8801,167147
5;C;1439;10963,99135
7;C;1440;6609,524496
8;C;1440;11899,14986
10;C;1440;9093,674352
11;C;1440;14206,06628
12;C;1441;10036,03746
13;C;1441;11396,26801
18;C;1440;12440,9366
20;C;1440;8553,32853
21;C;1440;8247,853026
23;C;1441;10806,93084
24;C;1440;10087,91066
25;C;1440;9766,585014
26;C;1440;13791,08069
27;C;1440;12240,64841
28;C;1440;9978,400576
29;C;1439;14515,86455
36;C;1440;5926,527378
38;C;1441;5073,501441
40;C;1441;8229,121037
46;C;1440;5527,391931
33;C;1380;7370,331412
14;C;1441;12063,41499
15;C;1441;8047,564841
30;C;1440;10524,51009
34;C;1441;10583,5879
6;C;1440;
9;C;1441;11005,7781
35;C;1444;10868,89049
32;C;1444;8443,818444
43;C;1444;10567,73775
17;C;1442;8724,798271
42;C;1442;11093,67435
39;C;1440;9799,726225
45;C;1441;7770,907781
44;C;1441;7276,67147
41;C;1441;7292,521614
47;C;1441;7324,221902
19;C;1442;7425,086455
1;C;1441;9557,651297
