Numero,Sp,mod,gf,unsp_microb,firmicutes,Gneg,AMF,Zygomycota,AscoBasio,PLFA_tot
1,N.s.,P,Grass,5.67550040669852,0.7777088134388501,-0.0512773644703974,0.28506609807748656,4.5048569886645105,0.1984256460752549,0.11390280588484224
2,F.o.,P,Grass,5.029800012872753,0.7590942093103569,2.095300492293572,3.998737739870937,3.6687263896408453,NA,0.15551658843988464
3,A.o.,P,Grass,7.502791880432128,0.6848281063642305,7.065907658871871,11.523991471214257,4.717714516999358,NA,0.3149523363388185
4,D.g.,P,Grass,4.622452807403311,0.6154866555068381,2.202499238227226,6.065842217480546,2.9032649757149835,NA,0.16409545894332905
5,H.l.,P,Grass,5.37272330781728,0.3669882965181787,2.991075021482109,12.264528784649482,2.513005936316951,NA,0.23508321346784
6,G.v.,P,Forb,6.365276901198064,0.3144425870470357,2.5360336623406012,8.685304904052465,4.082784673502385,NA,0.2198384272814055
7,C.r.,P,Forb,3.1581698294483287,0.1976096547340863,1.0187762877006508,1.9366481876345338,2.206772800863428,NA,0.08517976760381028
8,P.l.,P,Forb,6.825525655455089,0.4649888988340553,2.7119413600351523,NA,3.699568267673984,NA,0.13702024181998282
9,C.n.,P,Forb,4.272488064717631,0.3596705087958234,0.5141359624522024,2.533424307037576,2.001322180248122,-7.142214826638349,0.02538826196613006
10,R.a.,P,Forb,5.2076230488633675,0.7511134425947495,1.8821083717340659,1.0081705756942567,5.652806260118617,NA,0.14501821699005057
11,M.a.,P,Legumes,5.108837025399132,0.6142209752435516,0,NA,NA,NA,0.057230580006426834
12,T.p.,P,Legumes,5.133791581237178,0.6609809642446068,3.1499093291234668,8.845304904050147,3.076659471127806,NA,0.20866646249783202
13,L.c.,P,Legumes,8.398485111750642,0.6594286988138032,2.696778925117467,8.305364605540227,4.525013491635164,0.2220939314718792,0.24807164764329184
14,M.s.,P,Legumes,12.065797476007102,1.0786246056718125,1.5581816319430477,8.10978251598799,4.9169724770641405,1.1788501375344176,0.2890820884420851
15,T.r.,P,Legumes,NA,NA,NA,NA,NA,NA,0
17,F.o.,P+L,Grass,5.995677146078643,0.5120907567893356,2.9353221689933973,6.1967078891247205,3.197112790067647,NA,0.18836910751053743
18,A.o.,P+L,Grass,6.458089453257332,0.6506228172683056,5.134145883921123,13.412707889122247,NA,NA,0.2565556604356901
19,D.g.,P+L,Grass,4.627270299800939,0.22354755807729573,2.716698479006108,NA,1.7837290879629089,NA,0.09351245424847252
20,H.l.,P+L,Grass,6.660293623139113,0.17734660242659397,2.157453556523233,10.06751385927403,2.608688613062338,NA,0.21671296254425307
21,G.v.,P+L,Forb,4.011235521718885,0.3643781219222269,1.6337790558038774,5.631692963749125,2.2546141392361183,NA,0.13895699802430234
23,P.l.,P+L,Forb,3.7646536907661345,0.19114041635010026,2.214171535767216,7.225125799572393,1.7604155423613201,NA,0.15155506984817163
24,C.n.,P+L,Forb,NA,NA,NA,NA,NA,NA,0
25,R.a.,P+L,Forb,4.98320024426148,0.7003678058916022,1.9481456636125183,2.1210063965873696,5.968996222342075,NA,0.15721716332695046
26,M.a.,P+L,Legumes,9.51168802745482,0.7000061935330009,2.972772559299474,9.434916844348656,4.233594171613606,NA,0.26852977796249555
27,T.p.,P+L,Legumes,3.071117985978469,0.4029275626601173,3.6595588889397948,NA,3.403777657852139,NA,0.1053738209543052
28,L.c.,P+L,Legumes,8.69895276058417,-0.8385090669319013,4.3436883799153785,21.542379530915753,4.457744198599253,NA,0.38204255803082654
29,M.s.,P+L,Legumes,9.955091822594639,-2.15489210630745,3.8585509975523986,13.91969296375157,3.312709120345284,NA,0.2889115279793644
30,T.r.,P+L,Legumes,3.4699175481032873,-2.543232549689366,0.7912271072018876,2.322558635390966,7.872450080952093,NA,0.11912920821958867
32,F.o.,L,Grass,0,-0.5334438839482089,0,NA,NA,NA,-0.005334438839482088
33,A.o.,L,Grass,-0.032414051675308156,0.016190831693910664,0.41438457618222274,-1.041501066096788,0.27684835402037977,0.7223554182106561,0.0035586406233507305
34,D.g.,L,Grass,-0.4264729168691464,-1.0494347570989988,-0.4268386714829325,-2.4331428571415357,0.6570291419295284,-1.3852956158553884,-0.050641556765184725
35,H.l.,L,Grass,-0.0700404204401001,-0.057981656182374885,0.1992989406138726,1.6751556503211367,0.10321100917676738,NA,0.018496435234893017
36,G.v.,L,Forb,-0.00327912309443823,0.33993296178745186,0,NA,NA,NA,0.0033665383869301365
38,P.l.,L,Forb,NA,NA,NA,NA,NA,NA,0
39,C.n.,L,Forb,0.11655853115617792,-0.051943671442303815,0.31814194594538464,-0.7550533049051894,0.1468024824608495,NA,-0.002254940167850812
40,R.a.,L,Forb,-0.0054526889537743995,0.3628518671407843,0,NA,NA,NA,0.0035739917818700994
41,M.a.,L,Legumes,NA,NA,NA,NA,NA,NA,0
42,T.p.,L,Legumes,0.15305862445505275,0.39495302098820423,0,NA,NA,NA,0.00548011645443257
43,L.c.,L,Legumes,0.1717984945240269,-0.12610588275524343,-0.15339035217069777,0.8773049040500849,-0.5704533189422398,NA,0.0019915384470593077
44,M.s.,L,Legumes,NA,NA,NA,NA,NA,NA,0
45,T.r.,L,Legumes,0.20783728508630053,0.3154467812285318,0.18527421517080084,0.6857825159927233,0.13308148947894943,NA,0.01527422286957306
46,NA,témoin,Temoins,NA,NA,NA,NA,NA,NA,0
47,NA,témoin,Temoins,-0.11024136537165542,0.38984003721674404,-0.29812585384369095,0.9914541577790901,-0.7465191581243928,0.6629401976448951,0.008893480153009899
