Numero,Bloc,Sp,N_ep,N_hem,N_gam
1,A,N.s.,3,9,4
2,A,F.o.,9,14,3
3,A,A.o.,10,9,9
4,A,D.g.,15,8,11
5,A,H.l.,6,10,1
6,A,G.v.,8,11,5
7,A,C.r.,2,2,3
8,A,P.l.,9,10,8
9,A,C.n.,8,12,6
10,A,R.a.,4,18,1
11,A,M.a.,4,15,NA
12,A,T.p.,7,3,5
13,A,L.c.,3,7,NA
14,A,M.s.,6,7,4
15,A,T.r.,5,19,4
17,A,F.o.,5,9,6
18,A,A.o.,4,17,2
19,A,D.g.,2,27,7
20,A,H.l.,6,17,11
21,A,G.v.,6,10,8
23,A,P.l.,7,17,29
24,A,C.n.,1,2,2
25,A,R.a.,2,10,2
26,A,M.a.,11,14,6
27,A,T.p.,7,12,15
28,A,L.c.,6,10,5
29,A,M.s.,3,9,7
30,A,T.r.,6,14,1
32,A,F.o.,1,5,3
33,A,A.o.,0,2,5
34,A,D.g.,4,22,6
35,A,H.l.,2,20,5
36,A,G.v.,4,18,9
38,A,P.l.,0,12,2
39,A,C.n.,0,12,6
40,A,R.a.,1,1,4
41,A,M.a.,0,1,0
42,A,T.p.,0,10,2
43,A,L.c.,4,9,7
44,A,M.s.,2,31,8
45,A,T.r.,3,17,4
46,A,T,9,21,3
47,A,T,1,6,1
