"Type","Sp","gf","Numero","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","baseline.15N","APE15Npermil"
"PS","F.o.","Grass","2",23095.588,8.137825,15.44,0.8,-25.78,1.07746,820.35,42.37,0.369490333333333,77.6833466666667
"PS","A.o.","Grass","3",27368.2,9.444534,16.84,0.8,-30.51,1.07229,850.92,40.56,0.369939666666667,90.7459433333333
"PS","D.g.","Grass","4",27408.444,9.456666,12.91,0.62,-25.18,1.07812,898.17,43.31,0.369053,90.87613
"PS","H.l.","Grass","5",27924.196,9.611848,11.78,0.56,-28.97,1.07398,929.87,43.86,0.369690333333333,92.4215766666667
"PS","G.v.","Forb","6",27274.801,9.416367,30.82,1.41,-26.71,1.07644,922.63,42.24,0.371415333333333,90.4495166666667
"PS","P.l.","Forb","8",27354.536,9.440415,28.74,1.39,-28.66,1.07432,799.53,38.76,0.372873,90.67542
"PS","C.n.","Forb","9",26811.618,9.276423,11.06,0.62,-29.53,1.07336,725.45,40.48,0.371944666666667,89.0447833333333
"PS","R.a.","Forb","10",28274.373,9.716909,13.74,0.65,-30.55,1.07224,916.98,43.09,0.369542,93.47367
"PS","M.a.","Legumes","11",27450.013,9.469193,36,1.81,-25.68,1.07757,838.87,42.13,0.366741,91.02452
"PS","T.p.","Legumes","12",16716.559,6.115175,55.68,2.86,-25.96,1.07727,744.17,38.16,0.366841,57.48334
"PS","L.c.","Legumes","13",27344.068,9.437258,25.15,1.28,-30.45,1.07235,842.7,43.04,0.366890666666667,90.7036733333333
"PS","M.s.","Legumes","14",30179.002,10.284088,19.96,0.94,-30.2,1.07263,890.21,41.81,0.366797333333333,99.1729066666667
"PS","T.r.","Legumes","15",21935.847,7.776604,31.17,1.57,-29.96,1.07289,778.93,39.3,0.367453666666667,74.0915033333333
"PA","F.o.","Grass","2",27795.391,9.573142,20.64,0.94,-26.24,1.07696,951.94,43.19,0.36927,92.03872
"PA","A.o.","Grass","3",30435.341,10.35988,35.62,1.85,-30.6,1.07219,772.09,40.11,0.369254,99.90626
"PA","D.g.","Grass","4",30109.079,10.263392,19.76,0.89,-25.89,1.07734,924.27,41.48,0.369225,98.94167
"PA","H.l.","Grass","5",29899.035,10.201164,21.02,1.15,-32.46,1.07016,747.02,41.02,0.369388333333333,98.3177566666667
"PA","G.v.","Forb","6",29800.085,10.171819,27.46,1.24,-27.74,1.07532,981.12,44.37,0.370767333333333,98.0105166666667
"PA","P.l.","Forb","8",29291.084,10.020564,27.35,1.3,-31.14,1.0716,808.02,38.29,0.369891333333333,96.5067266666667
"PA","C.n.","Forb","9",28906.805,9.906034,21.76,1.03,-30,1.07285,884.69,41.85,0.369634333333333,95.3639966666667
"PA","R.a.","Forb","10",29541.11,10.094926,38.05,1.86,-29.68,1.07319,714.67,35.03,0.370983333333333,97.2394266666667
"PA","M.a.","Legumes","11",28630.053,9.823371,20.84,0.97,-25.86,1.07737,858.19,39.97,0.368959333333333,94.5441166666667
"PA","T.p.","Legumes","12",15853.429,5.834633,43.12,1.97,-26.42,1.07676,843.89,38.62,0.368303666666667,54.6632933333333
"PA","L.c.","Legumes","13",28911.71,9.907498,22.22,1.09,-30.66,1.07212,834.09,40.83,0.368062666666667,95.3943533333333
"PA","M.s.","Legumes","14",29846.949,10.185719,14.71,0.79,-30.16,1.07267,803.81,42.92,0.368099,98.1762
"PA","T.r.","Legumes","15",14862.54,5.510492,37.59,1.89,-27.62,1.07544,732.56,36.79,0.369064666666667,51.4142733333333
