"Numero","Bloc","Sp","mod","Type","gf","Weight","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","baseline.13C","baseline.15N","APE15Nppm","APE13Cppm"
"1","A","N.s.","P","PA","Grass",2.11,21.691,0.374218,67.24,3.19,2.81,1.10873,856.98,40.62,1.07441884615385,0.374218,0,343.111538461538
"2","A","F.o.","P","PA","Grass",2.062,12.275,0.370782,65.55,3.18,17.42,1.12471,858.51,41.63,1.07696,0.370782,0,477.500000000002
"3","A","A.o.","P","PA","Grass",1.794,11.37,0.370452,39.04,2.18,-10.76,1.09389,746.98,41.64,1.07219,0.370452,0,217
"4","A","D.g.","P","PA","Grass",2.115,12.972,0.371037,56.31,2.66,21.93,1.12963,844.9,39.95,1.07734,0.371037,0,522.9
"5","A","H.l.","P","PA","Grass",2.012,9.838,0.369893,43.51,2.16,-3.43,1.10191,793.95,39.46,1.07016,0.369893,0,317.5
"6","A","G.v.","P","PA","Forb",2.108,22.528,0.374524,63.19,3,10.56,1.1172,869.86,41.26,1.07532,0.374524,0,418.799999999999
"7","A","C.r.","P","PA","Forb",2.095,9.154,0.369643,97.88,4.67,47.58,1.15766,795.25,37.96,1.07441884615385,0.369643,0,832.411538461537
"8","A","P.l.","P","PA","Forb",2.09,15.6,0.371996,37.64,1.8,-15.94,1.08823,844.06,40.39,1.0716,0.371996,0,166.299999999999
"9","A","C.n.","P","PA","Forb",1.882,15.477,0.371951,44.17,2.35,-3.5,1.10183,747.05,39.69,1.07285,0.371951,0,289.8
"10","A","R.a.","P","PA","Forb",2.149,16.051,0.37216,36.04,1.68,-16.69,1.08741,828.64,38.56,1.07319,0.37216,0,142.199999999999
"11","A","M.a.","P","PA","Legumes",1.029,17.549,0.372707,67.13,6.52,-0.27,1.10536,756.49,73.52,1.07737,0.372707,0,279.9
"12","A","T.p.","P","PA","Legumes",1.815,9.714,0.369848,46.33,2.55,-3.01,1.10237,710.29,39.13,1.07676,0.369848,0,256.100000000001
"13","A","L.c.","P","PA","Legumes",2.199,9.986,0.369947,51.91,2.36,-12.13,1.0924,896.18,40.75,1.07212,0.369947,0,202.800000000001
"14","A","M.s.","P","PA","Legumes",2.172,9.234,0.369673,72.58,3.34,15.62,1.12273,875.96,40.33,1.07267,0.369673,0,500.6
"15","A","T.r.","P","PA","Legumes",2.272,12.845,0.37099,65.55,2.88,0.87,1.10661,767.67,33.79,1.07544,0.37099,0,311.700000000001
"17","A","F.o.","P+L","PA","Grass",1.946,115.398,0.408401,55.43,2.85,-11.63,1.09294,800.46,41.13,1.07696,0.370782,376.19,159.800000000001
"18","A","A.o.","P+L","PA","Grass",2.028,245.163,0.455697,38.85,1.92,-2.53,1.1029,835.8,41.21,1.07219,0.370452,852.45,307.1
"19","A","D.g.","P+L","PA","Grass",2.112,126.942,0.41261,43.26,2.05,2.65,1.10855,849.29,40.21,1.07734,0.371037,415.73,312.1
"20","A","H.l.","P+L","PA","Grass",2.153,184.372,0.433546,36.89,1.71,-12.15,1.09237,814.18,37.82,1.07016,0.369893,636.53,222.100000000001
"21","A","G.v.","P+L","PA","Forb",2.107,135.9,0.415876,64.38,3.06,2.9,1.10883,833.99,39.58,1.07532,0.374524,413.52,335.099999999999
"23","A","P.l.","P+L","PA","Forb",2.179,125.748,0.412175,35.37,1.62,-17.06,1.08701,867.19,39.8,1.0716,0.371996,401.79,154.099999999999
"24","A","C.n.","P+L","PA","Forb",2.059,110.546,0.406631,46.26,2.25,-5.1,1.10008,747.61,36.31,1.07285,0.371951,346.8,272.299999999999
"25","A","R.a.","P+L","PA","Forb",2.248,171.711,0.428931,35.86,1.6,-13.79,1.09058,798.42,35.52,1.07319,0.37216,567.71,173.9
"26","A","M.a.","P+L","PA","Legumes",1.88,64.093,0.389689,55.79,2.97,-5.92,1.09918,739.78,39.35,1.07737,0.372707,169.82,218.100000000001
"27","A","T.p.","P+L","PA","Legumes",2.138,82.712,0.39648,44.01,2.06,11.78,1.11853,930.43,43.52,1.07676,0.369848,266.32,417.700000000001
"28","A","L.c.","P+L","PA","Legumes",2.25,61.532,0.388754,54.38,2.42,-10.77,1.09388,988.42,43.93,1.07212,0.369947,188.07,217.6
"29","A","M.s.","P+L","PA","Legumes",2.251,91.237,0.39959,65.09,2.89,-3.61,1.10171,974.3,43.28,1.07267,0.369673,299.17,290.4
"30","A","T.r.","P+L","PA","Legumes",2.08,76.016,0.394038,56.11,2.7,-17.22,1.08683,871.85,41.92,1.07544,0.37099,230.48,113.9
"1","B","N.s.","P","PA","Grass",2.033,14.243,0.371501,66.7,3.28,28.46,1.13676,765.26,37.64,1.07441884615385,0.371501,0,623.411538461538
"2","B","F.o.","P","PA","Grass",1.851,8.027,0.369232,37.62,2.03,22.42,1.13017,766.71,41.42,1.07696,0.369232,0,532.1
"3","B","A.o.","P","PA","Grass",2.118,10.048,0.36997,41.4,1.95,41.22,1.15071,852.16,40.23,1.07219,0.36997,0,785.199999999999
