Numero;Bloc;Type;Sp;mod;gf;APE13C;C13CPerGSoil;n13CRhizoPerGSoil
1;A;F;N.s.;P;Grass;79,4162790697682937;61,22106710711645;4,86194935032777e-03
1;A;NF;N.s.;P;Grass;10,4729166666684002;15,96967870853165;1,67249114307921e-04
2;A;F;F.o.;P;Grass;-8,9837209302312502;7,84305804838733;0,00000000000000e+00
2;A;F;F.o.;P;Grass;59,2162790697669976;58,86598885981410;3,48582482404055e-03
2;A;NF;F.o.;P;Grass;4,4729166666668299;27,67137263836542;1,23771743863693e-04
3;A;F;A.o.;P;Grass;2,2162790697688499;16,18146857397531;3,58626501186239e-05
3;A;NF;A.o.;P;Grass;16,4729166666677003;15,51253983742895;2,55536776030330e-04
4;A;F;D.g.;P;Grass;31,0162790697687996;64,27876225251990;1,99368802828348e-03
4;A;NF;D.g.;P;Grass;14,5729166666686005;15,67988928619522;2,28501719910313e-04
5;A;F;H.l.;P;Grass;21,0162790697677018;54,15045078354878;1,13804098542078e-03
5;A;NF;H.l.;P;Grass;0,5729166666679220;13,97382910906548;8,00583959375297e-06
6;A;F;G.v.;P;Forb;77,9162790697673984;65,13795062052459;5,07530673858152e-03
6;A;NF;G.v.;P;Forb;7,2729166666674097;14,18487801500158;1,03165435729949e-04
7;A;F;C.r.;P;Forb;7,9162790697684402;69,50718152012551;5,50238246266365e-04
7;A;NF;C.r.;P;Forb;-1,3270833333334200;14,13844190867365;0,00000000000000e+00
8;A;F;P.l.;P;Forb;29,5162790697678012;51,16547228529890;1,51021435870935e-03
8;A;NF;P.l.;P;Forb;2,1729166666672999;12,67957009291950;2,75516491810810e-05
9;A;F;C.n.;P;Forb;26,3162790697668996;68,18067233819565;1,79426160041629e-03
9;A;NF;C.n.;P;Forb;2,0729166666666501;14,82898595007414;3,07392521256743e-05
10;A;F;R.a.;P;Forb;-8,9837209302312502;16,03159724337259;0,00000000000000e+00
10;A;NF;R.a.;P;Forb;2,2729166666679599;16,11210035060869;3,66214614219252e-05
11;A;F;M.a.;P;Legumes;39,6162790697674012;62,58652259013596;2,47944514493713e-03
11;A;NF;M.a.;P;Legumes;3,8729166666673400;15,22160147432586;5,89519940432848e-05
12;A;F;T.p.;P;Legumes;113,2162790697680066;66,72034362064994;7,55382904298632e-03
12;A;NF;T.p.;P;Legumes;19,6729166666687014;15,17997312234416;2,98634346238147e-04
13;A;NF;L.c.;P;Legumes;22,8729166666674999;17,19602698995615;3,93323292339032e-04
13;A;NF;L.c.;P;Legumes;23,9729166666679987;18,43052394071769;4,41833414553855e-04
14;A;NF;M.s.;P;Legumes;14,4729166666678992;21,45880252919471;3,10571460771517e-04
15;A;F;T.r.;P;Legumes;79,7162790697681061;63,09737903860987;5,02988827601276e-03
15;A;NF;T.r.;P;Legumes;9,5729166666669308;12,37049759375658;1,18421742590236e-04
17;A;F;F.o.;P+L;Grass;29,6162790697684990;67,35731863440523;1,99487314606786e-03
17;A;NF;F.o.;P+L;Grass;5,0729166666685401;13,46495412035495;6,83065901730758e-05
18;A;F;A.o.;P+L;Grass;-6,4837209302326402;19,57555534120900;0,00000000000000e+00
18;A;NF;A.o.;P+L;Grass;10,0729166666680001;18,77005000053294;1,89069149484560e-04
19;A;F;D.g.;P+L;Grass;31,3162790697684983;51,84398707328669;1,62356076727652e-03
19;A;NF;D.g.;P+L;Grass;13,1729166666683000;14,68376569384395;1,93428021837889e-04
20;A;F;H.l.;P+L;Grass;20,4162790697682013;80,50951861024241;1,64370479971941e-03
20;A;NF;H.l.;P+L;Grass;-3,2270833333325499;13,68619255581377;0,00000000000000e+00
21;A;F;G.v.;P+L;Forb;29,3162790697687008;18,45559454906801;5,41049360198980e-04
21;A;NF;G.v.;P+L;Forb;35,3729166666672015;16,74957613453895;5,92481360809044e-04
23;A;F;P.l.;P+L;Forb;21,4162790697680983;61,47179690376778;1,31649715741120e-03
23;A;NF;P.l.;P+L;Forb;9,7729166666682392;15,14381204386919;1,47999213120420e-04
24;A;F;C.n.;P+L;Forb;22,1162790697682006;66,10663578658234;1,46203280541958e-03
24;A;NF;C.n.;P+L;Forb;0,2729166666681770;12,91639620270180;3,52509979700687e-06
25;A;F;R.a.;P+L;Forb;90,7162790697668981;53,81344434443027;4,88175543485470e-03
25;A;NF;R.a.;P+L;Forb;29,9729166666672988;15,67106522194090;4,69707531975143e-04
26;A;F;M.a.;P+L;Legumes;56,7162790697683974;73,92621726532627;4,19281996899258e-03
26;A;NF;M.a.;P+L;Legumes;13,1729166666683000;19,76298592109884;2,60336166623174e-04
27;A;F;T.p.;P+L;Legumes;50,0162790697667035;56,46896353977245;2,82436743918574e-03
27;A;NF;T.p.;P+L;Legumes;5,8729166666671198;20,22547494134943;1,18782528874309e-04
28;A;F;L.c.;P+L;Legumes;89,6162790697685949;74,51101766340631;6,67740015269628e-03
28;A;NF;L.c.;P+L;Legumes;23,2729166666678999;17,85613409819100;4,15564320856046e-04
29;A;F;M.s.;P+L;Legumes;27,2162790697683015;67,25782836525798;1,83050782641544e-03
29;A;NF;M.s.;P+L;Legumes;4,7729166666665703;18,10725514917760;8,64244198890939e-05
30;A;F;T.r.;P+L;Legumes;37,1162790697688010;53,60694740991391;1,98969042014478e-03
30;A;NF;T.r.;P+L;Legumes;8,3729166666679493;17,38680013408382;1,45578228622695e-04
30;A;NF;T.r.;P+L;Legumes;12,1729166666683994;18,90334569120396;2,30108851820251e-04
1;B;NF;N.s.;P;Grass;6,9729166666676603;22,43827909479141;1,56460250271412e-04
2;B;F;F.o.;P;Grass;165,5162790697679895;48,39250132216477;8,00974675372354e-03
2;B;NF;F.o.;P;Grass;6,8729166666670096;23,12138211979625;1,58911332527524e-04
3;B;F;A.o.;P;Grass;373,3162790697689957;72,11717386401436;2,69225150039414e-02
3;B;NF;A.o.;P;Grass;15,3729166666671997;25,02514344871180;3,84709444808439e-04
4;B;F;D.g.;P;Grass;88,9162790697683931;75,77639599158765;6,73775517288929e-03
4;B;NF;D.g.;P;Grass;3,7729166666666800;25,45963024270626;9,60570632698775e-05
5;B;F;H.l.;P;Grass;97,5162790697669948;69,62569607271168;6,78963880865333e-03
5;B;NF;H.l.;P;Grass;6,3729166666681696;14,95110854110398;9,52821688067664e-05
6;B;F;G.v.;P;Forb;78,2162790697670971;81,08597145653431;6,34224297208746e-03
6;B;NF;G.v.;P;Forb;1,9729166666682101;16,92844598238810;3,33984132194460e-05
6;B;NF;G.v.;P;Forb;0,0729166666668668;NA;NA
7;B;F;C.r.;P;Forb;48,6162790697686020;66,79773547770628;3,24745734921275e-03
7;B;NF;C.r.;P;Forb;4,9729166666678797;25,45526835876572;1,26586928275810e-04
8;B;F;P.l.;P;Forb;94,1162790697670033;63,99995701648842;6,02343781501692e-03
8;B;NF;P.l.;P;Forb;7,5729166666671501;17,60392984957091;1,33313093756655e-04
9;B;F;C.n.;P;Forb;53,4162790697668015;66,85426963384901;3,57110632376712e-03
9;B;NF;C.n.;P;Forb;2,3729166666686101;17,63354150433341;4,18429245280254e-05
10;B;F;R.a.;P;Forb;163,7162790697680066;81,84352105615936;1,33991167332826e-02
10;B;NF;R.a.;P;Forb;11,2729166666669993;22,32669809424729;2,51687007058283e-04
11;B;F;M.a.;P;Legumes;340,6162790697679839;81,43983647280879;2,77397340674185e-02
11;B;NF;M.a.;P;Legumes;41,8729166666675994;18,77109855822500;7,86000645670359e-04
12;B;F;T.p.;P;Legumes;125,4162790697679952;59,22049423922700;7,42721403215648e-03
12;B;F;T.p.;P;Legumes;127,4162790697670005;62,44580011604416;7,95661149432077e-03
12;B;NF;T.p.;P;Legumes;1,5729166666678100;18,51002206569067;2,91147222075138e-05
13;B;F;L.c.;P;Legumes;301,1162790697690070;71,59763054537450;2,15592121000352e-02
13;B;NF;L.c.;P;Legumes;30,4729166666684002;27,60045220009853;8,41066279855967e-04
14;B;F;M.s.;P;Legumes;401,0162790697680180;65,68017928110542;2,63388211039442e-02
14;B;NF;M.s.;P;Legumes;51,8729166666664980;22,48342654467671;1,16628091153313e-03
15;B;F;T.r.;P;Legumes;53,5162790697673998;63,59492104813556;3,40336354223185e-03
15;B;NF;T.r.;P;Legumes;11,1729166666685007;24,95899304401462;2,78864749364734e-04
17;B;F;F.o.;P+L;Grass;115,7162790697690014;54,98019963553553;6,36210412433724e-03
17;B;NF;F.o.;P+L;Grass;7,5729166666671501;21,39163274329890;1,61997052128951e-04
18;B;F;A.o.;P+L;Grass;71,4162790697670005;78,98717886634067;5,64097040885219e-03
18;B;NF;A.o.;P+L;Grass;9,9729166666673308;19,80464068683040;1,97510031183049e-04
19;B;F;D.g.;P+L;Grass;63,7162790697676016;63,46020506095642;4,04344813548858e-03
