"Numero","Bloc","Type","Sp","mod","gf","AtomPer15N","AtomPer13C","baseline.13C","baseline.15N","APE15Nppm","APE13Cppm"
"1","A","F","N.s.","P","Grass",0.368934,1.08437,1.07642837209302,0.36976428,NA,79.4162790697683
"10","A","F","R.a.","P","Forb",0.368489,1.07553,1.07642837209302,0.36976428,NA,NA
"11","A","F","M.a.","P","Legumes",0.369892,1.08039,1.07642837209302,0.36976428,1.27719999999998,39.6162790697674
"12","A","F","T.p.","P","Legumes",0.370512,1.08775,1.07642837209302,0.36976428,7.47720000000007,113.216279069768
"15","A","F","T.r.","P","Legumes",0.370724,1.0844,1.07642837209302,0.36976428,9.59719999999997,79.7162790697681
"17","A","F","F.o.","P+L","Grass",0.411898,1.07939,1.07642837209302,0.36976428,421.3372,29.6162790697685
"18","A","F","A.o.","P+L","Grass",0.422557,1.07578,1.07642837209302,0.36976428,527.9272,NA
"19","A","F","D.g.","P+L","Grass",0.409566,1.07956,1.07642837209302,0.36976428,398.0172,31.3162790697685
"2","A","F","F.o.","P","Grass",0.367995,1.07553,1.07642837209302,0.36976428,NA,NA
"2","A","F","F.o.","P","Grass",0.369426,1.08235,1.07642837209302,0.36976428,NA,59.216279069767
"20","A","F","H.l.","P+L","Grass",0.43928,1.07847,1.07642837209302,0.36976428,695.1572,20.4162790697682
"21","A","F","G.v.","P+L","Forb",0.403288,1.07936,1.07642837209302,0.36976428,335.2372,29.3162790697687
"23","A","F","P.l.","P+L","Forb",0.413771,1.07857,1.07642837209302,0.36976428,440.0672,21.4162790697681
"24","A","F","C.n.","P+L","Forb",0.404058,1.07864,1.07642837209302,0.36976428,342.9372,22.1162790697682
"25","A","F","R.a.","P+L","Forb",0.43398,1.0855,1.07642837209302,0.36976428,642.1572,90.7162790697669
"26","A","F","M.a.","P+L","Legumes",0.44077,1.0821,1.07642837209302,0.36976428,710.0572,56.7162790697684
"27","A","F","T.p.","P+L","Legumes",0.444004,1.08143,1.07642837209302,0.36976428,742.3972,50.0162790697667
"28","A","F","L.c.","P+L","Legumes",0.439156,1.08539,1.07642837209302,0.36976428,693.9172,89.6162790697686
"29","A","F","M.s.","P+L","Legumes",0.40781,1.07915,1.07642837209302,0.36976428,380.4572,27.2162790697683
"3","A","F","A.o.","P","Grass",0.368978,1.07665,1.07642837209302,0.36976428,NA,2.21627906976885
"30","A","F","T.r.","P+L","Legumes",0.44793,1.08014,1.07642837209302,0.36976428,781.6572,37.1162790697688
"32","A","F","F.o.","L","Grass",0.411208,1.07652,1.07642837209302,0.36976428,414.4372,0.91627906976699
"34","A","F","D.g.","L","Grass",0.420736,1.07643,1.07642837209302,0.36976428,509.7172,0.0162790697677551
"36","A","F","G.v.","L","Forb",0.417874,1.07663,1.07642837209302,0.36976428,481.0972,2.01627906976753
"38","A","F","P.l.","L","Forb",0.424763,1.07654,1.07642837209302,0.36976428,549.9872,1.1162790697683
"39","A","F","C.n.","L","Forb",0.398249,1.07627,1.07642837209302,0.36976428,284.8472,NA
"4","A","F","D.g.","P","Grass",0.370788,1.07953,1.07642837209302,0.36976428,10.2372000000001,31.0162790697688
"40","A","F","R.a.","L","Forb",0.408101,1.07655,1.07642837209302,0.36976428,383.3672,1.21627906976673
"41","A","F","M.a.","L","Legumes",0.456075,1.07671,1.07642837209302,0.36976428,863.1072,2.81627906976834
"42","A","F","T.p.","L","Legumes",0.431069,1.07632,1.07642837209302,0.36976428,613.0472,NA
"43","A","F","L.c.","L","Legumes",0.449178,1.07648,1.07642837209302,0.36976428,794.1372,0.51627906976881
"44","A","F","M.s.","L","Legumes",0.418786,1.07651,1.07642837209302,0.36976428,490.2172,0.816279069768555
"45","A","F","T.r.","L","Legumes",0.431166,1.0764,1.07642837209302,0.36976428,614.0172,NA
"46","A","F",NA,"T","Temoins",0.369,1.07614,1.07642837209302,0.36976428,NA,NA
