"Numero","Bloc","Sp","mod","gf","AtomPer15N","AtomPer13C","baseline.15N","APE15Nppm","APE13Cppm"
"1","A","N.s.","P","Grass",0.36737,1.07468,0.367375,-0.0500000000003276,2.56666666666794
"2","A","F.o.","P","Grass",0.367234,1.07432,0.367375,-1.41000000000002,-1.03333333333344
"3","A","A.o.","P","Grass",0.367349,1.07425,0.367375,-0.26000000000026,-1.73333333333359
"4","A","D.g.","P","Grass",0.367385,1.07435,0.367375,0.1000000000001,-0.733333333333697
"5","A","H.l.","P","Grass",0.367537,1.07469,0.367375,1.61999999999995,2.66666666666637
"6","A","G.v.","P","Forb",0.367329,1.07434,0.367172,1.57000000000018,-0.833333333332131
"7","A","C.r.","P","Forb",0.367082,1.07398,0.367172,-0.89999999999979,-4.43333333333351
"8","A","P.l.","P","Forb",0.367186,1.07446,0.367172,0.14000000000014,0.366666666666848
"9","A","C.n.","P","Forb",0.367089,1.07423,0.367172,-0.829999999999997,-1.93333333333268
"10","A","R.a.","P","Forb",0.367174,1.07417,0.367172,0.02000000000002,-2.53333333333217
"11","A","M.a.","P","Legumes",0.375391,1.07476,0.3672705,81.2049999999997,3.36666666666652
"12","A","T.p.","P","Legumes",0.367417,1.07489,0.3672705,1.46499999999994,4.66666666666615
"13","A","L.c.","P","Legumes",0.367341,1.07464,0.3672705,0.704999999999734,2.16666666666754
"14","A","M.s.","P","Legumes",0.367183,1.07427,0.3672705,-0.875000000000181,-1.53333333333228
"15","A","T.r.","P","Legumes",0.367141,1.07445,0.3672705,-1.29500000000005,0.266666666666193
"17","A","F.o.","P+L","Grass",0.373197,1.07448,0.367375,58.2199999999999,0.566666666668159
"18","A","A.o.","P+L","Grass",0.381741,1.0749,0.367375,143.66,4.76666666666681
"19","A","D.g.","P+L","Grass",0.380072,1.07448,0.367375,126.97,0.566666666668159
"20","A","H.l.","P+L","Grass",0.3892,1.07406,0.367375,218.25,-3.63333333333271
"21","A","G.v.","P+L","Forb",0.377253,1.07447,0.367172,100.81,0.466666666667503
"23","A","P.l.","P+L","Forb",0.374031,1.07497,0.367172,68.59,5.46666666666695
"24","A","C.n.","P+L","Forb",0.377003,1.07456,0.367172,98.3099999999998,1.36666666666674
"25","A","R.a.","P+L","Forb",0.378799,1.07492,0.367172,116.27,4.96666666666812
"26","A","M.a.","P+L","Legumes",0.376457,1.07449,0.3672705,91.8649999999999,0.666666666666593
