"Numero","Bloc","Sp","mod","gf","Group","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","Delta13C_cor","Type","APE15N","APE13C"
"1","A","N.s.","P","Grass","epi",44.17966667,0.38242414,1.242200802,11.29273456,-10.81562717,1.092427475,12.21319523,111.0290475,-9.751289089,"epi",35.3471766666669,142.155386666667
"1","A","N.s.","P","Grass","epi",44.17966667,0.38242414,1.242200802,11.29273456,-10.81562717,1.092427475,12.21319523,111.0290475,-9.751289089,"epi",35.3471766666669,142.155386666667
"1","A","N.s.","P","Grass","epi",44.17966667,0.38242414,1.242200802,11.29273456,-10.81562717,1.092427475,12.21319523,111.0290475,-9.751289089,"epi",35.3471766666669,142.155386666667
"2","A","F.o.","P","Grass","epi",72.46166667,0.392741562,1.22432796,8.162186402,-14.12135717,1.089113373,11.15926426,74.39509505,-13.2040223,"epi",138.521396666667,109.014366666667
"2","A","F.o.","P","Grass","epi",72.46166667,0.392741562,1.22432796,8.162186402,-14.12135717,1.089113373,11.15926426,74.39509505,-13.2040223,"epi",138.521396666667,109.014366666667
"2","A","F.o.","P","Grass","epi",72.46166667,0.392741562,1.22432796,8.162186402,-14.12135717,1.089113373,11.15926426,74.39509505,-13.2040223,"epi",138.521396666667,109.014366666667
"3","A","A.o.","P","Grass","epi",10.83866667,0.370258424,0.836376509,10.45470636,-25.75687217,1.077446624,8.779300998,109.7412625,-25.73249631,"epi",-86.3099833333336,-7.65312333333323
"3","A","A.o.","P","Grass","epi",10.83866667,0.370258424,0.836376509,10.45470636,-25.75687217,1.077446624,8.779300998,109.7412625,-25.73249631,"epi",-86.3099833333336,-7.65312333333323
"3","A","A.o.","P","Grass","epi",10.83866667,0.370258424,0.836376509,10.45470636,-25.75687217,1.077446624,8.779300998,109.7412625,-25.73249631,"epi",-86.3099833333336,-7.65312333333323
"4","A","D.g.","P","Grass","epi",35.81366667,0.37937177,4.470975034,12.41937509,-8.351058167,1.094898141,27.97056786,77.69602184,-7.831409349,"epi",4.8234766666666,166.862046666667
"4","A","D.g.","P","Grass","epi",35.81366667,0.37937177,4.470975034,12.41937509,-8.351058167,1.094898141,27.97056786,77.69602184,-7.831409349,"epi",4.8234766666666,166.862046666667
"4","A","D.g.","P","Grass","epi",35.81366667,0.37937177,4.470975034,12.41937509,-8.351058167,1.094898141,27.97056786,77.69602184,-7.831409349,"epi",4.8234766666666,166.862046666667
"5","A","H.l.","P","Grass","epi",27.48666667,0.376333443,1.171380489,8.367003491,-13.08927117,1.090148096,11.40840018,81.48857275,-12.11564811,"epi",-25.5597933333335,119.361596666667
"5","A","H.l.","P","Grass","epi",27.48666667,0.376333443,1.171380489,8.367003491,-13.08927117,1.090148096,11.40840018,81.48857275,-12.11564811,"epi",-25.5597933333335,119.361596666667
"5","A","H.l.","P","Grass","epi",27.48666667,0.376333443,1.171380489,8.367003491,-13.08927117,1.090148096,11.40840018,81.48857275,-12.11564811,"epi",-25.5597933333335,119.361596666667
"6","A","G.v.","P","Forb","epi",35.99766667,0.379438905,1.46374823,13.30680209,-22.27003617,1.080943109,12.60632356,114.6029415,-22.01729271,"epi",5.49482666666656,27.3117266666656
"6","A","G.v.","P","Forb","epi",35.99766667,0.379438905,1.46374823,13.30680209,-22.27003617,1.080943109,12.60632356,114.6029415,-22.01729271,"epi",5.49482666666656,27.3117266666656
"6","A","G.v.","P","Forb","epi",35.99766667,0.379438905,1.46374823,13.30680209,-22.27003617,1.080943109,12.60632356,114.6029415,-22.01729271,"epi",5.49482666666656,27.3117266666656
"7","A","C.r.","P","Forb","epi",10.42766667,0.370108436,1.827222849,36.54445698,-16.56847017,1.086659919,10.1168952,202.3379039,-15.758627,"epi",-87.8098633333335,84.4798266666658
"7","A","C.r.","P","Forb","epi",10.42766667,0.370108436,1.827222849,36.54445698,-16.56847017,1.086659919,10.1168952,202.3379039,-15.758627,"epi",-87.8098633333335,84.4798266666658
"7","A","C.r.","P","Forb","epi",10.42766667,0.370108436,1.827222849,36.54445698,-16.56847017,1.086659919,10.1168952,202.3379039,-15.758627,"epi",-87.8098633333335,84.4798266666658
"8","A","P.l.","P","Forb","epi",44.96666667,0.382711271,2.144865606,11.28876635,-12.03100117,1.091209048,18.3769501,96.72079002,-11.39521401,"epi",38.2184866666668,129.971116666667
"8","A","P.l.","P","Forb","epi",44.96666667,0.382711271,2.144865606,11.28876635,-12.03100117,1.091209048,18.3769501,96.72079002,-11.39521401,"epi",38.2184866666668,129.971116666667
"8","A","P.l.","P","Forb","epi",44.96666667,0.382711271,2.144865606,11.28876635,-12.03100117,1.091209048,18.3769501,96.72079002,-11.39521401,"epi",38.2184866666668,129.971116666667
"9","A","C.n.","P","Forb","epi",26.46,0.375958824,0.545171883,13.62929707,-23.67633517,1.079532948,11.17306985,279.3267464,-23.49712767,"epi",-29.3059833333331,13.2101166666665
"9","A","C.n.","P","Forb","epi",26.46,0.375958824,0.545171883,13.62929707,-23.67633517,1.079532948,11.17306985,279.3267464,-23.49712767,"epi",-29.3059833333331,13.2101166666665
"9","A","C.n.","P","Forb","epi",26.46,0.375958824,0.545171883,13.62929707,-23.67633517,1.079532948,11.17306985,279.3267464,-23.49712767,"epi",-29.3059833333331,13.2101166666665
"10","A","R.a.","P","Forb","epi",46.724,0.383352414,1.483752094,0.862646566,-19.93420517,1.083285265,10.20432611,5.93274774,-19.41820478,"epi",44.6299166666664,50.7332866666665
"10","A","R.a.","P","Forb","epi",46.724,0.383352414,1.483752094,0.862646566,-19.93420517,1.083285265,10.20432611,5.93274774,-19.41820478,"epi",44.6299166666664,50.7332866666665
"10","A","R.a.","P","Forb","epi",46.724,0.383352414,1.483752094,0.862646566,-19.93420517,1.083285265,10.20432611,5.93274774,-19.41820478,"epi",44.6299166666664,50.7332866666665
"11","A","M.a.","P","Legumes","epi",2.163,0.367092294,0.280141943,14.00709714,-27.63666517,1.075561527,4.144206358,207.2103179,-28.0281877,"epi",-117.971283333334,-26.5040933333327
"11","A","M.a.","P","Legumes","epi",2.163,0.367092294,0.280141943,14.00709714,-27.63666517,1.075561527,4.144206358,207.2103179,-28.0281877,"epi",-117.971283333334,-26.5040933333327
"11","A","M.a.","P","Legumes","epi",2.163,0.367092294,0.280141943,14.00709714,-27.63666517,1.075561527,4.144206358,207.2103179,-28.0281877,"epi",-117.971283333334,-26.5040933333327
"12","A","T.p.","P","Legumes","epi",41.949,0.38161029,0.700994728,-7.788830314,-13.33692817,1.089899808,8.638155526,-95.97950584,-12.04447391,"epi",27.2086766666668,116.878716666666
"12","A","T.p.","P","Legumes","epi",41.949,0.38161029,0.700994728,-7.788830314,-13.33692817,1.089899808,8.638155526,-95.97950584,-12.04447391,"epi",27.2086766666668,116.878716666666
"12","A","T.p.","P","Legumes","epi",41.949,0.38161029,0.700994728,-7.788830314,-13.33692817,1.089899808,8.638155526,-95.97950584,-12.04447391,"epi",27.2086766666668,116.878716666666
"13","A","L.c.","P","Legumes","epi",177.179,0.430924393,1.098440853,54.92204265,-5.659561167,1.097596155,9.144606714,457.2303357,-3.709517069,"epi",520.349706666667,193.842186666666
"13","A","L.c.","P","Legumes","epi",177.179,0.430924393,1.098440853,54.92204265,-5.659561167,1.097596155,9.144606714,457.2303357,-3.709517069,"epi",520.349706666667,193.842186666666
"13","A","L.c.","P","Legumes","epi",177.179,0.430924393,1.098440853,54.92204265,-5.659561167,1.097596155,9.144606714,457.2303357,-3.709517069,"epi",520.349706666667,193.842186666666
"14","A","M.s.","P","Legumes","epi",9.529,0.369780482,1.16460052,16.63715029,-23.46468117,1.079745186,10.86653523,155.2362176,-23.26319624,"epi",-91.0894033333332,15.3324966666668
"14","A","M.s.","P","Legumes","epi",9.529,0.369780482,1.16460052,16.63715029,-23.46468117,1.079745186,10.86653523,155.2362176,-23.26319624,"epi",-91.0894033333332,15.3324966666668
"14","A","M.s.","P","Legumes","epi",9.529,0.369780482,1.16460052,16.63715029,-23.46468117,1.079745186,10.86653523,155.2362176,-23.26319624,"epi",-91.0894033333332,15.3324966666668
"15","A","T.r.","P","Legumes","epi",20.15,0.373656313,0.79056359,39.52817951,-16.35354317,1.086875408,10.65658769,532.8293846,-15.57059823,"epi",-52.3310933333332,86.634716666667
"15","A","T.r.","P","Legumes","epi",20.15,0.373656313,0.79056359,39.52817951,-16.35354317,1.086875408,10.65658769,532.8293846,-15.57059823,"epi",-52.3310933333332,86.634716666667
"15","A","T.r.","P","Legumes","epi",20.15,0.373656313,0.79056359,39.52817951,-16.35354317,1.086875408,10.65658769,532.8293846,-15.57059823,"epi",-52.3310933333332,86.634716666667
"17","A","F.o.","P+L","Grass","epi",65.6,0.390238586,4.615610415,153.8536805,8.810371833,1.112098604,18.33769728,611.2565759,10.39828255,"epi",113.491636666667,338.866676666667
"17","A","F.o.","P+L","Grass","epi",65.6,0.390238586,4.615610415,153.8536805,8.810371833,1.112098604,18.33769728,611.2565759,10.39828255,"epi",113.491636666667,338.866676666667
"17","A","F.o.","P+L","Grass","epi",65.6,0.390238586,4.615610415,153.8536805,8.810371833,1.112098604,18.33769728,611.2565759,10.39828255,"epi",113.491636666667,338.866676666667
"18","A","A.o.","P+L","Grass","epi",137.442,0.416438633,1.694896262,56.49654207,9.193312833,1.112482348,11.1459071,371.5302368,11.91464505,"epi",375.492106666667,342.704116666666
"18","A","A.o.","P+L","Grass","epi",137.442,0.416438633,1.694896262,56.49654207,9.193312833,1.112482348,11.1459071,371.5302368,11.91464505,"epi",375.492106666667,342.704116666666
"18","A","A.o.","P+L","Grass","epi",137.442,0.416438633,1.694896262,56.49654207,9.193312833,1.112482348,11.1459071,371.5302368,11.91464505,"epi",375.492106666667,342.704116666666
"19","A","D.g.","P+L","Grass","epi",6.312,0.36860647,0.279849657,9.328321898,-27.81449817,1.075383188,4.845075924,161.5025308,-28.17335386,"epi",-102.829523333333,-28.2874833333335
"19","A","D.g.","P+L","Grass","epi",6.312,0.36860647,0.279849657,9.328321898,-27.81449817,1.075383188,4.845075924,161.5025308,-28.17335386,"epi",-102.829523333333,-28.2874833333335
"19","A","D.g.","P+L","Grass","epi",6.312,0.36860647,0.279849657,9.328321898,-27.81449817,1.075383188,4.845075924,161.5025308,-28.17335386,"epi",-102.829523333333,-28.2874833333335
"20","A","H.l.","P+L","Grass","epi",101.622,0.403377166,1.518155384,0.151512513,-7.471712167,1.095779632,11.36620983,1.134352278,-6.068878936,"epi",244.877436666667,175.676956666666
"20","A","H.l.","P+L","Grass","epi",101.622,0.403377166,1.518155384,0.151512513,-7.471712167,1.095779632,11.36620983,1.134352278,-6.068878936,"epi",244.877436666667,175.676956666666
"20","A","H.l.","P+L","Grass","epi",101.622,0.403377166,1.518155384,0.151512513,-7.471712167,1.095779632,11.36620983,1.134352278,-6.068878936,"epi",244.877436666667,175.676956666666
"21","A","G.v.","P+L","Forb","epi",96.699,0.401581767,1.494792507,1.322825228,2.3842,1.105658517,11.24108375,9.947861722,4.559008722,"epi",226.923446666666,274.465806666666
"21","A","G.v.","P+L","Forb","epi",96.699,0.401581767,1.494792507,1.322825228,2.3842,1.105658517,11.24108375,9.947861722,4.559008722,"epi",226.923446666666,274.465806666666
"21","A","G.v.","P+L","Forb","epi",96.699,0.401581767,1.494792507,1.322825228,2.3842,1.105658517,11.24108375,9.947861722,4.559008722,"epi",226.923446666666,274.465806666666
"23","A","P.l.","P+L","Forb","epi",235.922,0.4523309,1.45182203,-7.259110151,-17.82312017,1.085401971,10.80576528,-54.02882641,-17.1693467,"epi",734.414776666667,71.9003466666668
"23","A","P.l.","P+L","Forb","epi",235.922,0.4523309,1.45182203,-7.259110151,-17.82312017,1.085401971,10.80576528,-54.02882641,-17.1693467,"epi",734.414776666667,71.9003466666668
"23","A","P.l.","P+L","Forb","epi",235.922,0.4523309,1.45182203,-7.259110151,-17.82312017,1.085401971,10.80576528,-54.02882641,-17.1693467,"epi",734.414776666667,71.9003466666668
