Numero;Bloc;Sp;mod;gf;d13C;AtomPer13C;APE13Cppm
32;A;F.o.;L;Grass;-15,086904779841245;1,09465130890735;9,035943120054846
33;A;A.o.;L;Grass;-12,545561481013053;1,09744480930023;36,970947048886593
34;A;D.g.;L;Grass;-16,130988987175641;1,09350358287127;-2,441317240768903
35;A;H.l.;L;Grass;-15,607929892067506;1,09407856716280;3,308525674530216
38;A;P.l.;L;Forb;-18,366172177151721;1,09104643293380;-27,012816615474833
39;A;C.n.;L;Forb;-14,830687813882284;1,09493295537884;11,852407834958001
40;A;R.a.;L;Forb;-15,884503719855717;1,09377453809178;0,268234964326819
41;A;M.a.;L;Legumes;-14,954959519801204;1,09479634992018;10,486353248371215
42;A;T.p.;L;Legumes;-14,374482001758668;1,09543443559663;16,867210012896372
43;A;L.c.;L;Legumes;-17,648708829182265;1,09183515788780;-19,125567075441996
44;A;M.s.;L;Legumes;-16,120392066502006;1,09351523183730;-2,324827580477695
45;A;T.r.;L;Legumes;-16,854916757689857;1,09270777821147;-10,399363838704543
32;B;F.o.;L;Grass;-4,480380363620408;1,10630918863479;125,614740394461862
33;B;A.o.;L;Grass;-12,098853687269417;1,09793582401576;41,881094204212488
34;B;D.g.;L;Grass;-16,241048587817886;1,09338259656706;-3,651180282879807
35;B;H.l.;L;Grass;-17,680209191350340;1,09180052903554;-19,471855598049981
36;B;G.v.;L;Forb;-16,943118609033245;1,09261081815450;-11,368964408440263
38;B;P.l.;L;Forb;-4,996198912260852;1,10574230394727;119,945893519279878
39;B;C.n.;L;Forb;-12,841912614973158;1,09711906175012;33,713471547802691
41;B;M.a.;L;Legumes;-15,715934118668397;1,09395984167303;2,121270776902495
42;B;T.p.;L;Legumes;-15,714746582699950;1,09396114709377;2,134324984248703
43;B;L.c.;L;Legumes;-3,745754627115071;1,10711653124635;133,688166510050877
44;B;M.s.;L;Legumes;-17,394083355055020;1,09211507085635;-16,326437389948545
45;B;T.r.;L;Legumes;-17,713133346441762;1,09176433495901;-19,833796363291079
32;C;F.o.;L;Grass;-17,215121877820593;1,09231180449863;-14,359100967109573
33;C;A.o.;L;Grass;-15,896649947373238;1,09376118607598;0,134714806327985
34;C;D.g.;L;Grass;-17,980532441988487;1,09147037766215;-22,773369331980930
35;C;H.l.;L;Grass;-17,812937963239278;1,09165461790608;-20,930966892587222
36;C;G.v.;L;Forb;-12,637216880265081;1,09734406241447;35,963478191283208
38;C;P.l.;L;Forb;-12,641729132988656;1,09733910257687;35,913879815274719
40;C;R.a.;L;Forb;-16,188805738712020;1,09344002611668;-3,076884786665790
41;C;M.a.;L;Legumes;-15,951265728320404;1,09370114839677;-0,465661985706856
42;C;T.p.;L;Legumes;-16,854291911403987;1,09270846510263;-10,392494927140561
43;C;L.c.;L;Legumes;-19,247100719436450;1,09007798950080;-36,697250945407767
1;A;N.s.;P;Grass;-12,507018800659184;1,09748717504658;37,394604512317464
2;A;F.o.;P;Grass;-7,460768114163227;1,10303365219191;92,859375965632651
4;A;D.g.;P;Grass;-9,405371684843946;1,10089635697073;71,486423753850403
5;A;H.l.;P;Grass;-10,788827446572551;1,09937575770940;56,280431140520726
6;A;G.v.;P;Forb;7,605458422450042;1,11958966804508;258,419534497384973
7;A;C.r.;P;Forb;-13,592349418777117;1,09629417611176;25,464615164114690
8;A;P.l.;P;Forb;-6,387884006586169;1,10421280932988;104,650947345332753
9;A;C.n.;P;Forb;-10,423403184231873;1,09977741142724;60,296968318993557
10;A;R.a.;P;Forb;-7,413628247715132;1,10308546202230;93,377474269529245
11;A;M.a.;P;Legumes;-7,558891876297260;1,10292580751471;91,780929193627799
12;A;T.p.;P;Legumes;0,723937380511796;1,11202837131588;182,806567205375785
13;A;L.c.;P;Legumes;-5,326322144252324;1,10537949503896;116,317804436172338
14;A;M.s.;P;Legumes;2,982047172677405;1,11450967091133;207,619563159868733
15;A;T.r.;P;Legumes;-3,715987349376832;1,10714924475802;134,015301626748681
17;A;F.o.;P+L;Grass;-9,510670629363885;1,10078062126942;70,329066740721927
18;A;A.o.;P+L;Grass;-6,293975659790888;1,10431601829795;105,683037026038662
19;A;D.g.;P+L;Grass;-7,441139998732747;1,10305522479529;93,075101999426920
20;A;H.l.;P+L;Grass;-11,166873394715996;1,09896022751374;52,125129183950847
21;A;G.v.;P+L;Forb;-8,557876191313783;1,10182784253448;80,801279391358179
23;A;P.l.;P+L;Forb;-10,460880357890504;1,09973621878400;59,885041886544869
24;A;C.n.;P+L;Forb;-9,235974098218357;1,10108254391426;73,348293189146048
25;A;R.a.;P+L;Forb;2,084705981258357;1,11352365212913;197,759375337880329
26;A;M.a.;P+L;Legumes;-7,611222432431217;1,10286829258410;91,205779887533211
27;A;T.p.;P+L;Legumes;-6,702674758151349;1,10386684033670;101,191257413613130
28;A;L.c.;P+L;Legumes;-4,006160087895017;1,10683035107814;130,826364828013908
29;A;M.s.;P+L;Legumes;-7,689275363150555;1,10278250684569;90,347922503504222
30;A;T.r.;P+L;Legumes;-7,231210185502663;1,10328595102374;95,382364283977950
1;B;N.s.;P;Grass;69,364765584365074;1,18739800939864;936,502948032928998
2;B;F.o.;P;Grass;13,467591426766203;1,12602996675190;322,822521565520049
3;B;A.o.;P;Grass;22,935130644774389;1,13642949136195;426,817767666072257
4;B;D.g.;P;Grass;-0,612150102691160;1,11056016735430;168,124527589541543
5;B;H.l.;P;Grass;13,310303939429597;1,12585717739465;321,094627993043787
6;B;G.v.;P;Forb;1,232201447831696;1,11258688266535;188,391680700095179
7;B;C.r.;P;Forb;11,339676681265599;1,12369227875180;299,445641564541916
8;B;P.l.;P;Forb;5,838762684797623;1,11764856354151;239,008489461682842
9;B;C.n.;P;Forb;-4,085280592207526;1,10674339896663;129,956843712832892
10;B;R.a.;P;Forb;9,532215643695851;1,12170654847569;279,588338803462591
11;B;M.a.;P;Legumes;20,942074634415928;1,13424042053754;404,927059421984438
12;B;T.p.;P;Legumes;6,796604193741151;1,11870097292782;249,532583324729728
13;B;L.c.;P;Legumes;20,847628303603077;1,13413668311067;403,889685153295829
14;B;M.s.;P;Legumes;55,681406492359102;1,17238245069366;786,347360983161821
15;B;T.r.;P;Legumes;4,499483823000298;1,11617701985845;224,293052631066018
17;B;F.o.;P+L;Grass;14,110919736436642;1,12673669363910;329,889790437585248
18;B;A.o.;P+L;Grass;-1,098107808058281;1,11002614582998;162,784312346324640
19;B;D.g.;P+L;Grass;0,983312195048434;1,11231338886414;185,656742687991823
20;B;H.l.;P+L;Grass;21,867192514991583;1,13525653477525;415,088201799049784
21;B;G.v.;P+L;Forb;0,127970629451862;1,11137347890840;176,257643130599547
23;B;P.l.;P+L;Forb;-1,330342877217861;1,10977093943229;160,232248369462923
24;B;C.n.;P+L;Forb;-3,311502779693576;1,10759376128225;138,460466869070331
25;B;R.a.;P+L;Forb;16,048168111877157;1,12886479252699;351,170779316456446
27;B;T.p.;P+L;Legumes;9,294167168988691;1,12144501542069;276,973008253476053
28;B;L.c.;P+L;Legumes;48,591135050064366;1,16460008163511;708,523670397665001
29;B;M.s.;P+L;Legumes;16,017498066624196;1,12883110169651;350,833871011631004
30;B;T.r.;P+L;Legumes;3,713085257721065;1,11531293754674;215,652229513940711
1;C;N.s.;P;Grass;-2,825604021099740;1,10812774429759;143,800297022429476
2;C;F.o.;P;Grass;-6,209796845190955;1,10440853394422;106,608193488728631
3;C;A.o.;P;Grass;-0,908871129257439;1,11023409971520;164,863851198526760
4;C;D.g.;P;Grass;-1,924996543568168;1,10911746011453;153,697455191814669
5;C;H.l.;P;Grass;-5,802400028126772;1,10485627574360;111,085611482535370
6;C;G.v.;P;Forb;21,452400000000001;1,13480094506129;410,532304659416695
7;C;C.r.;P;Forb;-5,685142339696303;1,10498514484640;112,374302510591662
8;C;P.l.;P;Forb;1,332392924191733;1,11269697838511;189,492637897707965
9;C;C.n.;P;Forb;-11,348215349944583;1,09876090378876;50,131891934130927
10;C;R.a.;P;Forb;1,572306777663288;1,11296060748326;192,128928879125027
11;C;M.a.;P;Legumes;-0,417187585256993;1,11077441108745;170,266964921039772
12;C;T.p.;P;Legumes;-6,288672612429418;1,10432184654923;105,741319538834603
13;C;L.c.;P;Legumes;-5,130294540632979;1,10559493176064;118,472171653005717
14;C;M.s.;P;Legumes;12,267758486226182;1,12471186594433;309,641513489835631
15;C;T.r.;P;Legumes;-11,173053896003475;1,09895343417053;52,057195751824551
17;C;F.o.;P+L;Grass;-5,889508786830758;1,10476054084360;110,128262482578336
18;C;A.o.;P+L;Grass;6,537495840047316;1,11841628496660;246,685703712556943
19;C;D.g.;P+L;Grass;-6,570378955744487;1,10401223958417;102,645249888242418
20;C;H.l.;P+L;Grass;-6,204773946960516;1,10441405429061;106,663396952628716
21;C;G.v.;P+L;Forb;-7,966446429976378;1,10247787486995;87,301602746054925
23;C;P.l.;P+L;Forb;-5,438852447320727;1,10525582244252;115,081078471799273
24;C;C.n.;P+L;Forb;4,824401225439624;1,11653402955514;227,863149597948848
25;C;R.a.;P+L;Forb;-2,739202948837764;1,10822269496552;144,749803701744725
26;C;M.a.;P+L;Legumes;28,388224931757332;1,14241839589978;486,706813044384091
27;C;T.p.;P+L;Legumes;6,630170663001060;1,11851810899048;247,703943951371741
28;C;L.c.;P+L;Legumes;13,169975365865485;1,12570301787046;319,553032751149772
29;C;M.s.;P+L;Legumes;32,808164563955856;1,14727209767589;535,243830805491939
30;C;T.r.;P+L;Legumes;-9,194045394077031;1,10112862815366;73,809135583149398
