"","Numero","Bloc","Type","Sp","mod","gf","Weight","AtomPer13C","APE13C","C amount","C concentration"
"1","1","A","F","N.s.","P","Grass",28.268,1.08437,7.94162790697683,154.48,0.55
"2","10","A","F","R.a.","P","Forb",27.237,1.07553,-0.898372093023125,42.06,0.15
"3","11","A","F","M.a.","P","Legumes",27.018,1.08039,3.96162790697674,155.92,0.58
"4","12","A","F","T.p.","P","Legumes",24.774,1.08775,11.3216279069768,157.36,0.64
"5","15","A","F","T.r.","P","Legumes",24.095,1.0844,7.97162790697681,142.09,0.59
"6","17","A","F","F.o.","P+L","Grass",29.003,1.07939,2.96162790697685,200.46,0.69
"7","18","A","F","A.o.","P+L","Grass",26.99,1.07578,-0.648372093023264,50.34,0.19
"8","19","A","F","D.g.","P+L","Grass",28.061,1.07956,3.13162790697685,145.22,0.52
"9","2","A","F","F.o.","P","Grass",31.026,1.07553,-0.898372093023125,24.03,0.08
"10","2","A","F","F.o.","P","Grass",28.682,1.08235,5.9216279069767,164.14,0.57
"11","20","A","F","H.l.","P+L","Grass",26.405,1.07847,2.04162790697682,207.63,0.79
"12","21","A","F","G.v.","P+L","Forb",27.189,1.07936,2.93162790697687,48.39,0.18
"13","23","A","F","P.l.","P+L","Forb",28.428,1.07857,2.14162790697681,160.42,0.56
"14","24","A","F","C.n.","P+L","Forb",27.831,1.07864,2.21162790697682,167.73,0.6
"15","25","A","F","R.a.","P+L","Forb",29.894,1.0855,9.07162790697669,152.28,0.51
"16","26","A","F","M.a.","P+L","Legumes",28.98,1.0821,5.67162790697684,192.8,0.67
"17","27","A","F","T.p.","P+L","Legumes",29.753,1.08143,5.00162790697667,161.95,0.54
"18","28","A","F","L.c.","P+L","Legumes",29.131,1.08539,8.96162790697685,202.89,0.7
"19","29","A","F","M.s.","P+L","Legumes",28.647,1.07915,2.72162790697683,179.82,0.63
"20","3","A","F","A.o.","P","Grass",26.522,1.07665,0.221627906976885,35.06,0.13
"21","30","A","F","T.r.","P+L","Legumes",26.829,1.08014,3.71162790697688,144.2,0.54
"22","32","A","F","F.o.","L","Grass",25.978,1.07652,0.091627906976699,149.16,0.57
"23","34","A","F","D.g.","L","Grass",30.669,1.07643,0.00162790697677551,164.13,0.54
"24","36","A","F","G.v.","L","Forb",29.675,1.07663,0.201627906976753,175.37,0.59
"25","38","A","F","P.l.","L","Forb",27.951,1.07654,0.11162790697683,161.71,0.58
"26","39","A","F","C.n.","L","Forb",29.396,1.07627,-0.158372093023162,147.86,0.5
"27","4","A","F","D.g.","P","Grass",28.802,1.07953,3.10162790697688,170.16,0.59
"28","40","A","F","R.a.","L","Forb",28.276,1.07655,0.121627906976673,197.09,0.7
"29","41","A","F","M.a.","L","Legumes",31.624,1.07671,0.281627906976833,161.82,0.51
"30","42","A","F","T.p.","L","Legumes",25.661,1.07632,-0.108372093023279,157.58,0.61
"31","43","A","F","L.c.","L","Legumes",31.565,1.07648,0.051627906976881,197.39,0.63
"32","44","A","F","M.s.","L","Legumes",26.495,1.07651,0.0816279069768555,165.03,0.62
"33","45","A","F","T.r.","L","Legumes",29.57,1.0764,-0.028372093023199,182.59,0.62
"34","46","A","F",NA,"T","Temoins",28.822,1.07614,-0.288372093023126,159.22,0.55
"35","47","A","F",NA,"T","Temoins",29.131,1.07676,0.331627906976717,142.36,0.49
"36","5","A","F","H.l.","P","Grass",25.891,1.07853,2.10162790697677,133.9,0.52
"37","6","A","F","G.v.","P","Forb",27.257,1.08422,7.79162790697674,161.16,0.59
"38","7","A","F","C.r.","P","Forb",28.609,1.07722,0.791627906976844,186.51,0.65
"39","8","A","F","P.l.","P","Forb",27.658,1.07938,2.95162790697678,139.03,0.5
"40","9","A","F","C.n.","P","Forb",29.641,1.07906,2.63162790697669,190.47,0.64
"41","1","A","NF","N.s.","P","Grass",34.931,1.0759,1.04729166666684,50.57,0.14
"42","10","A","NF","R.a.","P","Forb",33.667,1.07508,0.227291666666796,52.26,0.16
"43","11","A","NF","M.a.","P","Legumes",35.352,1.07524,0.387291666666734,50.28,0.14
"44","12","A","NF","T.p.","P","Legumes",30.949,1.07682,1.96729166666687,45.59,0.15
"45","13","A","NF","L.c.","P","Legumes",32.755,1.07714,2.28729166666675,50.1,0.15
"46","13","A","NF","L.c.","P","Legumes",25.054,1.07725,2.3972916666668,41.06,0.16
"47","14","A","NF","M.s.","P","Legumes",29.216,1.0763,1.44729166666679,58.69,0.2
"48","15","A","NF","T.r.","P","Legumes",34.55,1.07581,0.957291666666693,40.62,0.12
"49","17","A","NF","F.o.","P+L","Grass",35.117,1.07536,0.507291666666854,49.23,0.14
"50","18","A","NF","A.o.","P+L","Grass",35.955,1.07586,1.0072916666668,64.31,0.18
"51","19","A","NF","D.g.","P+L","Grass",32.107,1.07617,1.31729166666683,47.55,0.15
"52","2","A","NF","F.o.","P","Grass",31.722,1.0753,0.447291666666683,86.37,0.27
"53","20","A","NF","H.l.","P+L","Grass",32.246,1.07453,-0.322708333333255,43.82,0.14
"54","21","A","NF","G.v.","P+L","Forb",34.553,1.07839,3.53729166666672,55.88,0.16
"55","23","A","NF","P.l.","P+L","Forb",31.937,1.07583,0.977291666666824,44.88,0.14
"56","24","A","NF","C.n.","P+L","Forb",29.46,1.07488,0.0272916666668177,35.14,0.12
"57","25","A","NF","R.a.","P+L","Forb",28.033,1.07785,2.99729166666673,42.16,0.15
"58","26","A","NF","M.a.","P+L","Legumes",35.158,1.07617,1.31729166666683,63.47,0.18
"59","27","A","NF","T.p.","P+L","Legumes",33.259,1.07544,0.587291666666712,65.62,0.2
"60","28","A","NF","L.c.","P+L","Legumes",33.618,1.07718,2.32729166666679,57.11,0.17
"61","29","A","NF","M.s.","P+L","Legumes",33.321,1.07533,0.477291666666657,57.02,0.17
"62","3","A","NF","A.o.","P","Grass",33.264,1.0765,1.64729166666677,42.16,0.13
"63","30","A","NF","T.r.","P+L","Legumes",29.882,1.07569,0.837291666666795,52.67,0.18
"64","30","A","NF","T.r.","P+L","Legumes",27.473,1.07607,1.21729166666684,52.62,0.19
"65","32","A","NF","F.o.","L","Grass",29.589,1.07499,0.13729166666665,48.21,0.16
"66","33","A","NF","A.o.","L","Grass",35.49,1.07457,-0.282708333333215,60.09,0.17
"67","33","A","NF","A.o.","L","Grass",27.636,1.07481,-0.0427083333331968,51.93,0.19
"68","34","A","NF","D.g.","L","Grass",33.885,1.0748,-0.0527083333332623,59.52,0.18
"69","35","A","NF","H.l.","L","Grass",34.289,1.07495,0.0972916666668322,66.32,0.19
"70","35","A","NF","H.l.","L","Grass",27.501,1.07479,-0.0627083333333278,56.59,0.21
"71","36","A","NF","G.v.","L","Forb",28.361,1.07543,0.577291666666868,88.44,0.31
"72","38","A","NF","P.l.","L","Forb",34.453,1.07471,-0.142708333333186,61.1,0.18
"73","38","A","NF","P.l.","L","Forb",27.701,1.07449,-0.362708333333295,49.54,0.18
"74","39","A","NF","C.n.","L","Forb",28.616,1.07489,0.0372916666666612,48.53,0.17
"75","4","A","NF","D.g.","P","Grass",30.412,1.07631,1.45729166666686,44.34,0.15
"76","40","A","NF","R.a.","L","Forb",30.427,1.07468,-0.17270833333316,51.72,0.17
"77","41","A","NF","M.a.","L","Legumes",35.255,1.07488,0.0272916666668177,65.32,0.19
"78","42","A","NF","T.p.","L","Legumes",34.306,1.07543,0.577291666666868,121.01,0.35
"79","43","A","NF","L.c.","L","Legumes",29.204,1.07465,-0.202708333333135,54.48,0.19
"80","44","A","NF","M.s.","L","Legumes",32.714,1.07397,-0.882708333333149,52.81,0.16
"81","45","A","NF","T.r.","L","Legumes",32.802,1.07485,-0.00270833333315679,64.08,0.2
"82","46","A","NF",NA,"T","Temoins",28.678,1.07555,0.697291666666766,105.2,0.37
"83","47","A","NF",NA,"T","Temoins",31.692,1.07517,0.317291666666719,58.22,0.18
"84","5","A","NF","H.l.","P","Grass",33.663,1.07491,0.0572916666667922,45.42,0.13
"85","6","A","NF","G.v.","P","Forb",32.197,1.07558,0.727291666666741,42.15,0.13
"86","7","A","NF","C.r.","P","Forb",35.058,1.07472,-0.132708333333342,47.08,0.13
