"Numero","Bloc","Sp","mod","gf","Weight","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","APE15N","APE13C"
"1","A","N.s.","P","Grass",2.244,2.924,0.36737,13.12,0.58,-28.32,1.07468,151.4,6.75,-3.33833333333367,2.23333333333464
"2","A","F.o.","P","Grass",1.919,2.551,0.367234,12,0.63,-28.65,1.07432,133.53,6.96,-4.69833333333336,-1.36666666666674
"3","A","A.o.","P","Grass",2.327,2.868,0.367349,12.96,0.56,-28.72,1.07425,149.91,6.44,-3.5483333333336,-2.06666666666688
"4","A","D.g.","P","Grass",1.212,2.966,0.367385,12.68,1.05,-28.63,1.07435,141.96,11.71,-3.18833333333324,-1.06666666666699
"5","A","H.l.","P","Grass",1.84,3.383,0.367537,10.23,0.56,-28.31,1.07469,113.71,6.18,-1.66833333333338,2.33333333333308
"6","A","G.v.","P","Forb",1.937,2.812,0.367329,11.22,0.58,-28.63,1.07434,125.72,6.49,-3.74833333333324,-1.16666666666543
"7","A","C.r.","P","Forb",2.107,2.136,0.367082,14.49,0.69,-28.97,1.07398,161.19,7.65,-6.21833333333321,-4.76666666666681
"8","A","P.l.","P","Forb",1.798,2.419,0.367186,11.01,0.61,-28.52,1.07446,124.64,6.93,-5.17833333333328,0.0333333333335517
"9","A","C.n.","P","Forb",1.902,2.155,0.367089,12.08,0.64,-28.73,1.07423,131.26,6.9,-6.14833333333342,-2.26666666666597
"10","A","R.a.","P","Forb",2.208,2.386,0.367174,15.07,0.68,-28.78,1.07417,167.11,7.57,-5.2983333333334,-2.86666666666546
"11","A","M.a.","P","Legumes",1.999,24.904,0.375391,13.33,0.67,-28.25,1.07476,147.46,7.38,76.8716666666663,3.03333333333322
"12","A","T.p.","P","Legumes",1.802,3.052,0.367417,10.8,0.6,-28.13,1.07489,119.25,6.62,-2.86833333333347,4.33333333333286
"13","A","L.c.","P","Legumes",2.093,2.846,0.367341,12.4,0.59,-28.36,1.07464,141.02,6.74,-3.62833333333368,1.83333333333424
"14","A","M.s.","P","Legumes",1.996,2.413,0.367183,12.4,0.62,-28.7,1.07427,131.34,6.58,-5.20833333333359,-1.86666666666557
"15","A","T.r.","P","Legumes",2.228,2.296,0.367141,11.05,0.5,-28.53,1.07445,122.17,5.48,-5.62833333333346,-0.0666666666671034
"17","A","F.o.","P+L","Grass",1.916,18.893,0.373197,11.84,0.62,-28.51,1.07448,133.73,6.98,54.9316666666666,0.233333333334862
"18","A","A.o.","P+L","Grass",1.919,42.309,0.381741,13.94,0.73,-28.12,1.0749,155.22,8.09,140.371666666667,4.43333333333351
"19","A","D.g.","P+L","Grass",2.113,37.734,0.380072,16.05,0.76,-28.5,1.07448,181.17,8.57,123.681666666667,0.233333333334862
"20","A","H.l.","P+L","Grass",2.087,62.754,0.3892,16.92,0.81,-28.89,1.07406,193.86,9.29,214.961666666667,-3.96666666666601
"21","A","G.v.","P+L","Forb",2.159,30.008,0.377253,13.72,0.64,-28.52,1.07447,158.01,7.32,95.4916666666666,0.133333333334207
"23","A","P.l.","P+L","Forb",1.826,21.176,0.374031,12.24,0.67,-28.06,1.07497,152.94,8.38,63.2716666666666,5.13333333333366
"24","A","C.n.","P+L","Forb",2.192,29.321,0.377003,11.77,0.54,-28.43,1.07456,135.78,6.19,92.9916666666664,1.03333333333344
"25","A","R.a.","P+L","Forb",1.815,34.245,0.378799,8.87,0.49,-28.1,1.07492,99.03,5.46,110.951666666667,4.63333333333482
"26","A","M.a.","P+L","Legumes",2.109,27.826,0.376457,12.31,0.58,-28.49,1.07449,140.73,6.67,87.5316666666665,0.333333333333297
"27","A","T.p.","P+L","Legumes",2.228,26.487,0.375969,12.13,0.54,-28.51,1.07448,141.69,6.36,82.6516666666666,0.233333333334862
"28","A","L.c.","P+L","Legumes",2.061,37.133,0.379853,12.27,0.6,-28.42,1.07458,137.76,6.68,121.491666666667,1.23333333333475
"29","A","M.s.","P+L","Legumes",1.971,14.688,0.371663,13.08,0.66,-28.71,1.07426,146.41,7.43,39.5916666666668,-1.96666666666623
"30","A","T.r.","P+L","Legumes",2.136,38.826,0.380471,12,0.56,-28.23,1.07478,139.97,6.55,127.671666666667,3.23333333333453
