Sp;Type;gf;soluble;hemi.cellulose;cellulose;lignines;NperMS;CperMS;cendres;Ca;Mg;P;Mn;K
F.o.;PA;Grass;0,291912588819838;0,3472538263047918;0,3453138607947089;0,01475893031916991;0,0094;0,4319;0,000760793761491185;6,898;1,118;2,253;0,0098;22,432
F.o.;PA;Grass;0,298199660717820;0,3415289484934050;0,3456939356701536;0,01381666135712977;0,0094;0,4319;0,000760793761491185;6,898;1,118;2,253;0,0098;22,432
D.g.;PA;Grass;0,394123362786848;0,2784906648242910;0,3146306747633210;0,01123279037208577;0,0089;0,4148;0,001522507253454289;10,353;1,560;2,668;0,0088;35,458
D.g.;PA;Grass;0,405640411269199;0,2684204594268136;0,3110268815580539;0,01338974049247981;0,0089;0,4148;0,001522507253454290;10,353;1,560;2,668;0,0088;35,458
A.o.;PA;Grass;0,564593323052645;0,2205804751054884;0,2109900196661194;0,00206495070376099;0,0185;0,4011;0,001771231471986643;13,903;1,801;4,342;0,0178;47,583
A.o.;PA;Grass;0,576792382371522;0,2083814157866110;0,2083814157866110;0,00467355458326938;0,0185;0,4011;0,001771231471986643;13,903;1,801;4,342;0,0178;47,583
D.g.;PS;Grass;0,227392191704802;0,3665201462532477;0,3644376454222631;0,04085651115670725;0,0062;0,4331;0,000793505462980021;8,228;0,454;2,010;0,0098;6,649
D.g.;PS;Grass;0,167928978321907;0,3622199721235478;0,3663596289478169;0,10269791514374776;0,0062;0,4331;0,000793505462980021;8,228;0,454;2,010;0,0098;6,649
T.r.;PA;Legumes;0,738551186143617;0,0546310954326771;0,1755999496050334;0,02834375182723149;0,0189;0,3679;0,002874016991441148;40,444;2,255;6,164;0,0101;36,127
T.r.;PA;Legumes;0,755361078127646;0,0506909477753527;0,1652965688326718;0,02577738827288867;0,0189;0,3679;0,002874016991441148;40,444;2,255;6,164;0,0101;36,127
T.p.;PA;Legumes;0,705115386527969;0,0721300493384824;0,1951754276217758;0,02480368766965515;0,0197;0,3862;0,002775448842117541;34,884;2,573;5,600;0,0087;37,943
T.p.;PA;Legumes;0,719072439418542;0,0743631778009741;0,1797110130190206;0,02407792091934534;0,0197;0,3862;0,002775448842117541;34,884;2,573;5,600;0,0087;37,943
P.l.;PS;Forb;0,601052494895360;0,1022428279413899;0,2125047012115168;0,08236437144672391;0,0139;0,3876;0,001835604505008944;12,922;2,216;4,323;0,0146;46,177
H.l.;PA;Grass;0,418400737784325;0,2918494492706815;0,2666538133624212;0,02172215876076543;0,0115;0,4102;0,001373840821806505;10,728;1,942;6,025;0,0101;30,640
G.v.;PA;Forb;0,704225488198237;0,1204224798050037;0,0992957289620206;0,07547890908895236;0,0124;0,4437;0,000577393945786553;9,490;0,841;1,859;0,0144;18,785
G.v.;PA;Forb;0,704614665187450;0,0888221636149627;0,1280691661425042;0,07791661110929679;0,0124;0,4437;0,000577393945786553;9,490;0,841;1,859;0,0144;18,785
L.c.;PS;Legumes;0,614135978978508;0,1108804658107734;0,2106728850404697;0,06263673927516940;0,0128;0,4304;0,001673930895079301;5,563;1,112;6,457;0,0728;32,940
C.n.;PA;Forb;0,816173075204996;0,0487704086190827;0,1144228817601554;0,01868154923386705;0,0103;0,4185;0,001952085181898710;23,703;1,578;1,531;0,0377;28,107
C.n.;PA;Forb;0,813612040406662;0,0470676665639742;0,1204932264037738;0,01687498144369098;0,0103;0,4185;0,001952085181898710;23,703;1,578;1,531;0,0377;28,107
M.a.;PA;Legumes;0,704196112807355;0,0655136125997133;0,1866145328597892;0,04163087678578984;0,0097;0,3997;0,002044864947352363;24,467;3,173;5,904;0,0122;26,231
M.a.;PA;Legumes;0,732031473801147;0,0600249498685430;0,1714998567672656;0,03439885461569162;0,0097;0,3997;0,002044864947352363;24,467;3,173;5,904;0,0122;26,231
L.c.;PA;Legumes;0,683668518371367;0,0693888411314422;0,1938805855143236;0,05159823231452777;0,0109;0,4083;0,001463822668339804;16,825;2,465;5,495;0,0094;37,477
L.c.;PA;Legumes;0,639502670705942;0,0787972304467886;0,2206322452510084;0,05960403092792150;0,0109;0,4083;0,001463822668339804;16,825;2,465;5,495;0,0094;37,477
R.a.;PA;Forb;0,748685433221895;0,0498296123784175;0,1711538859954341;0,02743355667978632;0,0186;0,3503;0,002897511724467584;23,064;3,566;6,750;0,0193;68,200
