Numero,Bloc,mod,gf,Sp,N_tot_ep,N_tot_hem,N_tot_gam,NbJuv_Ep,NbJuv_Hem,PerJuv_Ep,PerJuv_Hem,Lcya Ad,Lcya Juv,Dorn Ad,Dorn Juv,Bhor Ad,Bhor Juv,Isp Ad,Isp Juv,Sele Ad,Sele Juv,Eniv Ad,Eniv Juv,Svir Ad,Svir Juv,Afus Ad,Afus Juv
1,A,P,Grass,N.s.,8,20,4,2,NA,0.25,NA,2,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,A,P,Grass,F.o.,10,79,6,3,NA,0.3,NA,1,2,1,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
3,A,P,Grass,A.o.,23,26,24,15,NA,0.652,NA,7,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4,A,P,Grass,D.g.,59,32,31,39,NA,0.661,NA,18,39,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
5,A,P,Grass,H.l.,8,19,2,4,NA,0.5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,A,P,Forb,G.v.,36,81,8,13,NA,0.464,NA,10,6,NA,NA,3,5,NA,NA,NA,NA,NA,NA,2,2,NA,NA
7,A,P,Forb,C.r.,2,3,6,0,NA,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,A,P,Forb,P.l.,27,48,52,27,NA,0.771,NA,6,17,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA,NA
9,A,P,Forb,C.n.,6,143,21,6,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,A,P,Forb,R.a.,4,55,3,1,NA,0.25,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,A,P,Legumes,M.a.,17,126,0,NA,79,0,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,A,P,Legumes,T.p.,26,20,13,26,NA,0.765,NA,4,16,NA,NA,2,NA,NA,6,2,1,NA,NA,NA,3,NA,NA
13,A,P,Legumes,L.c.,4,11,2,2,NA,0.5,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,A,P,Legumes,M.s.,10,13,6,6,NA,0.6,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
15,A,P,Legumes,T.r.,17,101,6,12,62,0.706,0.614,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA,NA,NA
17,A,P+L,Grass,F.o.,25,24,16,24,NA,0.75,NA,6,18,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA
18,A,P+L,Grass,A.o.,17,71,3,15,NA,0.882,NA,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,A,P+L,Grass,D.g.,7,181,29,4,189,0.625,0.791,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,A,P+L,Grass,H.l.,10,187,14,4,121,0.4,0.647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
21,A,P+L,Forb,G.v.,5,104,10,0,59,0,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
23,A,P+L,Forb,P.l.,18,146,28,13,90,0.722,0.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,NA,NA,NA
24,A,P+L,Forb,C.n.,2,12,3,2,NA,1,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,A,P+L,Forb,R.a.,7,34,2,6,NA,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA
26,A,P+L,Legumes,M.a.,37,117,13,25,72,0.676,0.615,4,7,NA,NA,NA,NA,NA,NA,NA,NA,4,18,NA,NA,NA,NA
27,A,P+L,Legumes,T.p.,31,174,21,38,96,0.844,0.552,7,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,A,P+L,Legumes,L.c.,11,48,5,5,NA,0.455,NA,2,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
29,A,P+L,Legumes,M.s.,7,39,11,3,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,A,P+L,Legumes,T.r.,6,66,4,3,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
32,A,L,Grass,F.o.,2,10,8,2,NA,1,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,A,L,Grass,A.o.,0,3,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,A,L,Grass,D.g.,4,206,7,1,281,0.25,0.904,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
35,A,L,Grass,H.l.,5,172,6,5,115,1,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
