Numero,Bloc,mod,gf,Sp,N_tot_ep,N_tot_hem,N_tot_gam,NbJuv_Ep,NbJuv_Hem,PerJuv_Ep,PerJuv_Hem,Lcya.Ad,Lcya.Juv,Dorn.Ad,Dorn.Juv,Bhor.Ad,Bhor.Juv,Isp.Ad,Isp.Juv,Sele.Ad,Sele.Juv,Eniv.Ad,Eniv.Juv,Svir.Ad,Svir.Juv,Afus.Ad,Afus.Juv
1,A,P,Grass,N.s.,4074.3665431525205,10185.9163578813,2037.1832715762603,1018.5916357881301,NA,127.32395447351627,NA,1018.5916357881301,1018.5916357881301,509.29581789406507,NA,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,A,P,Grass,F.o.,5092.95817894065,40234.36961363114,3055.7749073643904,1527.8874536821952,NA,152.7887453682195,NA,509.29581789406507,1018.5916357881301,509.29581789406507,NA,1527.8874536821952,NA,1018.5916357881301,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA
3,A,P,Grass,A.o.,11713.803811563495,13241.69126524569,12223.099629457562,7639.437268410976,NA,332.0608732669304,NA,3565.0707252584552,7639.437268410976,NA,NA,NA,NA,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA
4,A,P,Grass,D.g.,30048.45325574984,16297.466172610082,15788.170354716016,19862.536897868536,NA,336.644535627977,NA,9167.324722093172,19862.536897868536,NA,NA,NA,NA,NA,NA,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA
5,A,P,Grass,H.l.,4074.3665431525205,9676.620539987236,1018.5916357881301,2037.1832715762603,NA,254.64790894703253,NA,2037.1832715762603,2037.1832715762603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,A,P,Forb,G.v.,18334.649444186343,41252.96124941927,4074.3665431525205,6620.845632622845,NA,236.3132595028462,NA,5092.95817894065,3055.7749073643904,NA,NA,1527.8874536821952,2546.479089470325,NA,NA,NA,NA,NA,NA,1018.5916357881301,1018.5916357881301,NA,NA
7,A,P,Forb,C.r.,1018.5916357881301,1527.8874536821952,3055.7749073643904,0,NA,0,NA,509.29581789406507,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,A,P,Forb,P.l.,13750.987083139757,24446.199258915123,26483.38253049138,13750.987083139757,NA,392.66707559632414,NA,3055.7749073643904,8658.028904199105,NA,NA,NA,NA,NA,NA,NA,NA,1018.5916357881301,5092.95817894065,NA,NA,NA,NA
9,A,P,Forb,C.n.,3055.7749073643904,72829.3019588513,10695.212175775367,3055.7749073643904,NA,509.29581789406507,NA,NA,3055.7749073643904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,A,P,Forb,R.a.,2037.1832715762603,28011.269984173578,1527.8874536821952,509.29581789406507,NA,127.32395447351627,NA,1527.8874536821952,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,A,P,Legumes,M.a.,8658.028904199105,64171.2730546522,0,NA,40234.36961363114,0,319.3284778195788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,A,P,Legumes,T.p.,13241.69126524569,10185.9163578813,6620.845632622845,13241.69126524569,NA,389.6113006889598,NA,2037.1832715762603,8148.733086305041,NA,NA,1018.5916357881301,NA,NA,3055.7749073643904,1018.5916357881301,509.29581789406507,NA,NA,NA,1527.8874536821952,NA,NA
13,A,P,Legumes,L.c.,2037.1832715762603,5602.2539968347155,1018.5916357881301,1018.5916357881301,NA,254.64790894703253,NA,1018.5916357881301,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,A,P,Legumes,M.s.,5092.95817894065,6620.845632622845,3055.7749073643904,3055.7749073643904,NA,305.577490736439,NA,1018.5916357881301,3055.7749073643904,NA,NA,NA,NA,NA,NA,NA,NA,1018.5916357881301,NA,NA,NA,NA,NA
