Id;Numero;Bloc;Sp;mod;gf;NemPerGSoil;Anguinidae-Ditylenchus;Aphelenchidae;Aphelenchoididae;Aporcelaimidae;Cephalobidae;Dorylaimidae;Hoplolaimidae;Leptonchidae;Meloidogynidae;Monhysteridae;Mononchidae;Panagrolaimidae;Paratylenchidae;Plectidae;Pratylenchidae;Prismatolaimidae;Qudsianematidae;Rhabditidae;Telotylenchidae;Teratocephalidae;Tylenchidae
1A;1;A;N.s.;P;Grass;3,798286730240827;0,0000;0,0200;0,0000;0,0000;0,6770;0,0000;0,010;0,000;0,0000;0,0000;0,0000;0,0000;0,0200;0,0810;0,0610;0,0000;0,0100;0,0200;0,0000;0,0000;0,1010
2A;2;A;F.o.;P;Grass;1,516326354785905;0,0000;0,0710;0,0000;0,0000;0,7260;0,0120;0,000;0,024;0,0000;0,0000;0,0000;0,0000;0,0120;0,0000;0,0600;0,0000;0,0000;0,0000;0,0360;0,0000;0,0600
3A;3;A;A.o.;P;Grass;3,675999145116478;0,0000;0,0000;0,0000;0,0000;0,9040;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0120;0,0480;0,0000;0,0000;0,0000;0,0000;0,0360;0,0000;0,0000;0,0000
4A;4;A;D.g.;P;Grass;6,137249950902000;0,0000;0,0000;0,0000;0,0000;0,9390;0,0100;0,000;0,000;0,0000;0,0000;0,0000;0,0100;0,0000;0,0000;0,0000;0,0000;0,0100;0,0000;0,0300;0,0000;0,0000
5A;5;A;H.l.;P;Grass;4,360216585921916;0,0000;0,0000;0,0000;0,0000;0,9780;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0220
6A;6;A;G.v.;P;Forb;10,116731517509727;0,0000;0,0000;0,0000;0,0000;0,8400;0,0000;0,011;0,021;0,0000;0,0210;0,0000;0,0110;0,0000;0,0000;0,0000;0,0000;0,0000;0,0430;0,0000;0,0320;0,0210
7A;7;A;C.r.;P;Forb;2,749595647698868;0,0000;0,0400;0,0200;0,0000;0,8320;0,0000;0,000;0,000;0,0000;0,0200;0,0000;0,0000;0,0000;0,0200;0,0200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0500
8A;8;A;P.l.;P;Forb;4,660222839971076;0,0000;0,0410;0,0000;0,0000;0,7960;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0310;0,0100;0,0000;0,0100;0,0000;0,0610;0,0000;0,0510
9A;9;A;C.n.;P;Forb;3,385643708224354;0,0000;0,0820;0,0000;0,0000;0,7450;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0100;0,0000;0,0000;0,0000;0,0100;0,0200;0,0410;0,0000;0,0920
10A;10;A;R.a.;P;Forb;2,743641040297228;0,0000;0,0480;0,0000;0,0000;0,6870;0,0120;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0120;0,0000;0,0240;0,0000;0,2170
11A;11;A;M.a.;P;Legumes;2,321347291761493;0,0000;0,0430;0,0110;0,0000;0,7420;0,0110;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0540;0,0220;0,0220;0,0000;0,0000;0,0000;0,0000;0,0000;0,0970
12A;12;A;T.p.;P;Legumes;2,435788059645142;0,0000;0,0530;0,0110;0,0000;0,8620;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0210;0,0210;0,0320;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
13A;13;A;L.c.;P;Legumes;1,986866475837683;0,0000;0,1380;0,0530;0,0000;0,7130;0,0110;0,011;0,011;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0210;0,0000;0,0000;0,0000;0,0000;0,0000;0,0430
14A;14;A;M.s.;P;Legumes;1,640577965081276;0,0000;0,0650;0,0000;0,0000;0,8790;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0090;0,0000;0,0090;0,0000;0,0000;0,0000;0,0090;0,0000;0,0280
15A;15;A;T.r.;P;Legumes;3,006746846582576;0,0000;0,0580;0,0190;0,0000;0,6440;0,0000;0,000;0,000;0,0380;0,0100;0,0000;0,0000;0,0000;0,0770;0,0290;0,0000;0,0000;0,0000;0,0380;0,0000;0,0870
17A;17;A;F.o.;P+L;Grass;5,711058114723233;0,0000;0,0220;0,0110;0,0000;0,8760;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0450;0,0000;0,0000;0,0000;0,0220;0,0220;0,0000
18A;18;A;A.o.;P+L;Grass;1,631383974495720;0,0000;0,0500;0,0000;0,0000;0,8250;0,0130;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0250;0,0130;0,0000;0,0000;0,0000;0,0380;0,0000;0,0380
19A;19;A;D.g.;P+L;Grass;3,336085219297638;0,0000;0,0570;0,0110;0,0000;0,8520;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0110;0,0000;0,0680
20A;20;A;H.l.;P+L;Grass;6,943314347708163;0,0000;0,0860;0,0740;0,0000;0,6910;0,0000;0,000;0,000;0,0000;0,0120;0,0000;0,0000;0,0120;0,0000;0,0250;0,0000;0,0000;0,0000;0,0490;0,0000;0,0490
21A;21;A;G.v.;P+L;Forb;1,514936995610930;0,0000;0,1040;0,0000;0,0000;0,8750;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0210;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
23A;23;A;P.l.;P+L;Forb;3,704842428900845;0,0000;0,0990;0,0000;0,0000;0,7920;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0100;0,0200;0,0300;0,0000;0,0000;0,0200;0,0000;0,0000;0,0300
24A;24;A;C.n.;P+L;Forb;2,895843063988790;0,0000;0,2000;0,0570;0,0000;0,7430;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
25A;25;A;R.a.;P+L;Forb;1,548165137614679;0,0000;0,1090;0,0200;0,0000;0,7230;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0100;0,0000;0,0200;0,0000;0,0000;0,0000;0,0000;0,0000;0,1190
26A;26;A;M.a.;P+L;Legumes;2,886140183951792;0,0000;0,4530;0,0000;0,0000;0,3260;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,1980;0,0120;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0120
27A;27;A;T.p.;P+L;Legumes;4,279342068580986;0,0000;0,0680;0,0000;0,0000;0,8410;0,0000;0,000;0,000;0,0000;0,0110;0,0000;0,0110;0,0000;0,0000;0,0230;0,0000;0,0000;0,0000;0,0110;0,0000;0,0340
28A;28;A;L.c.;P+L;Legumes;2,230320699708455;0,0000;0,0950;0,0000;0,0000;0,7710;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0100;0,0190;0,0000;0,0000;0,0000;0,0000;0,0000;0,1050
