Numero;Bloc;Sp;gf;mod;PS;L_resp;R_resp;sr_ratio;AGR;agGR;bgGR;RGR;SLA;LDMC;RDMC_aver;SRL;RMD;RTD;PerColAMF;CF;Leaf_C;Leaf_N;Root_C;Root_N;Leaf_C:N;Root_C:N;BG_Delta15N;BG_NperMS;BG_APE15N;BG_Delta13C;BG_CperMS;BG_APE13C;AG_Delta15N;AG_NperMS;AG_APE15N;AG_Delta13C;AG_CperMS;AG_APE13C
1;A;N.s.;Grass;P;3,1453592384000;1,642969605600000;0,00979759419211612;1,411428571428571;2,24468085106383;1,31382978723404;0,930851063829787;2,22659574787234;169,352380952381;0,2957746478873240;0,1320754716981132;6187,52380952381;0,3679;0,1521739130434783;0,1400000000000000;0,582000000000000;47,09;3,56;35,69;1,18;13,22752808988764;30,2457627118644;5,037;1,14;-25,883333333332999;-26,44;38,83;-7,20000000000054;21,691;3,19;31,970000000000098;2,81;40,62;317,700000000001
2;A;F.o.;Grass;P;15,0224749440000;1,925230402600000;0,02838893071240203;1,294948397609995;13,48404255319149;7,60851063829787;5,875531914893617;13,46319148936170;162,598717948718;0,2356495468277945;0,1289260732409820;24361,98297872340;0,1671;0,1872509960159363;0,2448979591836735;0,395000000000000;47,08;3,62;47,19;1,40;13,00552486187845;33,7071428571429;3,305;1,23;-19,813333333333400;-11,51;43,36;207,90000000000100;12,275;3,18;15,120000000000100;17,42;41,63;525,200000000001
3;A;A.o.;Grass;P;18,5551926400000;0,784005533500000;0,02218181978809311;1,420255560814008;16,32127659574468;9,57765957446808;6,743617021276596;16,29454255319149;267,579098360656;0,2291079812206573;0,1282916948008103;25827,44210526316;0,1654;0,1800947867298578;0,2365591397849464;0,373000000000000;47,34;2,47;46,21;0,99;19,16599190283401;46,6767676767677;4,294;1,05;-20,696666666666900;-23,24;44,23;21,20000000000120;11,370;2,18;11,979999999999800;-10,76;41,64;165,500000000001
4;A;D.g.;Grass;P;20,9722920620000;1,128135506600000;0,02460048106933504;1,296875000000000;11,57234042553192;6,53404255319149;5,038297872340427;11,54627659574468;346,893410852713;0,1936936936936937;0,1096282173498570;33559,97391304348;0,1827;0,1138613861386139;0,0600000000000000;0,382000000000000;47,24;3,97;44,84;1,31;11,89924433249370;34,2290076335878;3,933;0,87;-13,150000000000100;-20,73;32,63;90,00000000000119;12,972;2,66;18,120000000000399;21,93;39,95;594,699999999999
5;A;H.l.;Grass;P;14,6444873720000;0,603709346400000;0,03349410107537371;1,967707212055974;11,73191489361702;7,77872340425532;3,953191489361703;11,71531915212766;367,721830985916;0,2057971014492753;0,0896191187453323;38834,83055555556;0,1584;0,1304347826086956;0,0760869565217391;0,453000000000000;45,49;3,19;45,48;1,34;14,26018808777430;33,9402985074627;2,241;0,74;-25,693333333333701;-27,10;45,82;-4,20000000000087;9,838;2,16;5,046666666667090;-3,43;39,46;265,899999999999
6;A;G.v.;Forbs;P;15,8088455200000;3,686520308600000;0,05562413214303134;1,868752919196637;6,53404255319149;4,25638297872340;2,277659574468085;6,52488297872340;268,575000000000;0,1818181818181818;0,1314142678347935;28451,64523809524;0,1555;0,1850220264317181;0,0263157894736842;0,715555555555556;46,63;3,54;45,92;1,97;13,17231638418079;23,3096446700508;4,115;1,30;-36,103333333333303;-9,08;42,83;214,10000000000201;22,528;3,00;37,566666666666897;10,56;41,26;455,999999999999
7;A;C.r.;Forbs;P;18,2976244390000;2,771285078400000;0,02901595203049773;3,521897810218979;2,63617021276596;2,05319148936170;0,582978723404255;2,62738297872340;387,606410256410;0,1578947368421053;0,0748991741885923;41609,95384615385;0,1658;0,1114285714285714;0,0952380952380952;0,501428571428571;46,32;5,51;44,13;2,76;8,40653357531760;15,9891304347826;1,941;2,83;-60,666666666666600;18,93;43,40;529,89999999999895;9,154;4,67;6,880000000000220;47,58;37,96;848,099999999998
8;A;P.l.;Forbs;P;17,3926496016667;2,658125536000000;0,01587573132981778;2,886479309581766;18,68404255319149;13,87659574468085;4,807446808510639;18,63191489361702;217,728000000000;0,1346153846153846;0,1077586206896552;18825,19200000000;0,2190;0,1410437235543018;NA;NA;45,99;3,01;46,27;1,38;15,27906976744186;33,5289855072464;4,816;1,00;-48,119999999999798;-23,11;42,76;81,39999999999810;15,600;1,80;21,046666666666400;-15,94;40,39;150,399999999999
9;A;C.n.;Forbs;P;26,3242337280000;2,706078312000000;0,01655327874035169;0,684923488586002;21,43617021276595;8,71382978723404;12,722340425531916;21,35403191489361;183,374010791367;0,1659701492537314;0,1455238859895624;8116,89517241379;0,2885;0,1885565669700910;NA;NA;41,67;2,38;41,40;1,17;17,50840336134454;35,3846153846154;3,450;1,33;-43,826666666666497;-26,61;42,78;-10,09999999999960;15,477;2,35;23,166666666666298;-3,50;39,69;244,600000000002
10;A;R.a.;Forbs;P;14,5278041520000;1,635280197166667;0,00801621342991319;1,242276238073603;21,00106382978723;11,63510638297872;9,365957446808510;20,95370212765958;251,160938628159;0,1069085295252798;0,2449841605068638;6238,12758620690;0,2279;0,3932203389830509;0,0746268656716418;0,717500000000000;43,55;3,31;46,79;1,43;13,15709969788520;32,7202797202797;3,946;1,03;-17,989999999999998;-24,87;44,43;11,90000000000020;16,051;1,68;11,766666666666600;-16,69;38,56;106,500000000000
11;A;M.a.;Leg;P;26,4046755840000;2,270907254400000;0,01818044956769823;1,231245301929341;9,47329787234043;5,22755319148936;4,245744680851065;9,38489361382979;254,759895833333;0,1729729729729730;0,1469237832874196;4068,66597222222;0,4022;0,1935483870967742;0,1351351351351352;0,581250000000000;43,06;4,23;44,46;3,02;10,17966903073286;14,7218543046358;0,826;3,09;-1,369999999999980;-12,71;41,41;194,10000000000201;17,549;6,52;37,476666666666503;-0,27;73,52;332,399999999999
12;A;T.p.;Leg;P;23,4886831020000;1,601516752400000;0,02152092241509644;2,044926993635343;17,30425531914894;11,62127659574468;5,682978723404255;17,25861702446809;316,656575682382;0,2102243088158581;0,1665470208183776;7250,74741379310;0,2885;0,2109090909090909;0,0869565217391305;0,504444444444444;47,07;4,12;57,70;3,02;11,42475728155340;19,1059602649007;1,001;2,36;-1,730000000000340;-25,56;43,86;50,70000000000130;9,714;2,55;15,443333333333101;-3,01;39,13;297,000000000001
13;A;L.c.;Leg;P;13,4506510060000;2,096012724200000;0,01830821626577631;1,909347908028647;16,42234042553191;10,77765957446809;5,644680851063829;16,39828723404255;200,866666666667;0,1897810218978102;0,1461527439461241;4939,33137254902;0,3795;0,1789473684210526;0,0800000000000000;0,443750000000000;42,85;2,96;46,75;3,11;14,47635135135135;15,0321543408360;2,715;2,52;4,033333333333670;-12,08;38,18;195,59999999999999;9,986;2,36;18,843333333333199;-12,13;40,75;169,600000000001
