Numero;Sp;mod;gf;12:0;14:0;i15:0;a15:0;15:0;3-OH 14:0;i16:0;16:3w3;16:1w7;16:1w5;16:0;i17:0;17:01:0;cy17:0;17:0;18:2w6,9;18:1w9, 18:3w3, 18:2w6t;18:1w7, 18:1w9t;18:0;cy19:0;20:4w6;20:5w3;20:0;21:0;22:0;24:0
1;N.s.;P;Grass;0,30;2,36;15,79;11,59;1,30;0,17;8,84;2,51;8,58;7,20;27,80;4,12;1,12;4,55;0,81;2,44;13,65;13,15;4,70;9,18;1,30;0,33;0,60;0,59;0,65;0,50
2;F.o.;P;Grass;0,39;2,32;15,43;11,30;1,35;0,20;8,51;2,17;7,79;6,26;27,12;4,00;0,69;4,08;0,77;2,68;11,64;12,37;4,55;1,13;0,76;0,33;0,65;0,08;0,87;0,71
3;A.o.;P;Grass;0,39;2,44;15,49;11,60;1,43;0,18;8,67;2,46;9,16;2,98;27,70;3,99;1,32;4,76;0,85;2,79;12,27;13,91;4,65;0,08;1,24;0,43;0,70;0,08;0,85;0,68
4;D.g.;P;Grass;0,38;2,18;14,83;10,35;1,22;0,16;8,05;2,15;8,15;6,73;25,03;3,74;1,14;4,29;0,73;2,64;11,59;11,54;4,16;0,21;0,95;0,36;0,59;0,07;0,68;0,52
5;H.l.;P;Grass;0,27;1,57;10,42;7,40;0,88;0,11;5,81;1,50;5,77;4,64;18,67;2,61;0,47;2,76;0,52;1,66;8,01;8,42;3,16;0,14;0,56;0,25;0,47;0,06;0,61;0,49
6;G.v.;P;Forbs;0,36;2,02;13,51;9,67;1,15;0,14;7,72;2,01;7,22;6,13;23,65;3,49;1,03;3,90;0,67;2,29;10,54;10,70;3,95;0,15;1,04;0,36;0,54;0,07;0,64;0,50
7;C.r.;P;Forbs;0,28;2,06;13,95;10,25;1,15;0,16;7,57;2,01;7,01;5,91;23,13;3,67;0,50;3,41;0,67;1,80;10,44;11,25;4,09;7,73;0,79;0,00;0,52;0,06;0,59;0,53
8;P.l.;P;Forbs;0,33;1,93;12,54;9,41;1,11;0,13;6,82;1,84;6,78;5,75;23,42;3,25;0,51;3,41;0,62;2,06;9,72;10,91;3,78;0,18;0,78;0,32;0,56;0,08;0,85;0,68
9;C.n.;P;Forbs;0,28;2,18;15,00;10,52;1,18;0,17;7,59;2,29;8,32;7,75;26,81;3,84;0,98;4,46;0,73;2,70;11,50;13,34;4,32;8,15;1,24;0,38;0,55;0,06;0,63;0,48
10;R.a.;P;Forbs;0,31;1,91;12,58;9,05;1,13;0,14;7,28;1,80;6,91;5,37;22,49;3,25;0,72;3,68;0,66;3,29;10,12;10,32;3,74;0,23;0,63;0,24;0,50;0,07;0,70;0,60
