Numero;Bloc;Sp;mod;gf;nlabel.recovered;Type;Label13CPerG_Soil;prop.label.recovered
1;A;N.s.;P;Grass;28,5510493761919;Shoot;2,85461874268416e+01;9,99829710309899e-01
1;A;N.s.;P;Grass;28,5510493761919;Root;0,00000000000000e+00;0,00000000000000e+00
1;A;N.s.;P;Grass;28,5510493761919;Soil.F;4,86194935032777e-03;1,70289690100919e-04
1;A;N.s.;P;Grass;28,5510493761919;Soil.NF;1,67249114307921e-04;5,85789727390496e-06
1;B;N.s.;P;Grass;NA;Shoot;1,49906595517655e+02;NA
1;B;N.s.;P;Grass;NA;Root;2,74323163226178e+00;NA
1;B;N.s.;P;Grass;NA;Soil.F;NA;NA
1;B;N.s.;P;Grass;NA;Soil.NF;1,56460250271412e-04;NA
1;C;N.s.;P;Grass;227,3294144263854;Shoot;2,19761972987448e+02;9,66711560586948e-01
1;C;N.s.;P;Grass;227,3294144263854;Root;7,55778069795317e+00;3,32459427523866e-02
1;C;N.s.;P;Grass;227,3294144263854;Soil.F;9,66074098421701e-03;4,24966606657292e-05
1;C;N.s.;P;Grass;227,3294144263854;Soil.NF;2,84985773421795e-04;1,25362471962061e-06
2;A;F.o.;P;Grass;327,3416723422297;Shoot;2,85597556057365e+02;8,72475398606683e-01
2;A;F.o.;P;Grass;327,3416723422297;Root;4,17423733724527e+01;1,27519276949291e-01
2;A;F.o.;P;Grass;327,3416723422297;Soil.F;1,74291241202027e-03;5,32444402678462e-06
2;A;F.o.;P;Grass;327,3416723422297;Soil.NF;1,23771743863693e-04;3,78111784479099e-07
2;B;F.o.;P;Grass;702,3156939030498;Shoot;5,86835737992136e+02;8,35572582367987e-01
2;B;F.o.;P;Grass;702,3156939030498;Root;1,15471946164160e+02;1,64416012865149e-01
2;B;F.o.;P;Grass;702,3156939030498;Soil.F;8,00974675372354e-03;1,14047668637592e-05
2;B;F.o.;P;Grass;702,3156939030498;Soil.NF;1,58911332527524e-04;2,26267665534270e-07
2;C;F.o.;P;Grass;285,1951455374671;Shoot;1,98704437708555e+02;6,96731486554880e-01
2;C;F.o.;P;Grass;285,1951455374671;Root;8,64886199357454e+01;3,03261192516978e-01
