Numero;Bloc;Sp;gf;mod;PS;L_resp;R_resp;sr_ratio;AGR;agGR;bgGR;RGR
1;A;N.s.;Grass;P;3,1453592384000;1,642969605600000;0,00979759419211612;1,411428571428571;2,24468085106383;1,31382978723404;0,930851063829787;2,22659574787234
2;A;F.o.;Grass;P;15,0224749440000;1,925230402600000;0,02838893071240203;1,294948397609995;13,48404255319149;7,60851063829787;5,875531914893617;13,46319148936170
3;A;A.o.;Grass;P;18,5551926400000;0,784005533500000;0,02218181978809311;1,420255560814008;16,32127659574468;9,57765957446808;6,743617021276596;16,29454255319149
4;A;D.g.;Grass;P;20,9722920620000;1,128135506600000;0,02460048106933504;1,296875000000000;11,57234042553192;6,53404255319149;5,038297872340427;11,54627659574468
5;A;H.l.;Grass;P;14,6444873720000;0,603709346400000;0,03349410107537371;1,967707212055974;11,73191489361702;7,77872340425532;3,953191489361703;11,71531915212766
6;A;G.v.;Forbs;P;15,8088455200000;3,686520308600000;0,05562413214303134;1,868752919196637;6,53404255319149;4,25638297872340;2,277659574468085;6,52488297872340
7;A;C.r.;Forbs;P;18,2976244390000;2,771285078400000;0,02901595203049773;3,521897810218979;2,63617021276596;2,05319148936170;0,582978723404255;2,62738297872340
8;A;P.l.;Forbs;P;17,3926496016667;2,658125536000000;0,01587573132981778;2,886479309581766;18,68404255319149;13,87659574468085;4,807446808510639;18,63191489361702
9;A;C.n.;Forbs;P;26,3242337280000;2,706078312000000;0,01655327874035169;0,684923488586002;21,43617021276595;8,71382978723404;12,722340425531915;21,35403191489361
10;A;R.a.;Forbs;P;14,5278041520000;1,635280197166667;0,00801621342991319;1,242276238073603;21,00106382978723;11,63510638297872;9,365957446808510;20,95370212765958
11;A;M.a.;Leg;P;26,4046755840000;2,270907254400000;0,01818044956769823;1,231245301929341;9,47329787234043;5,22755319148936;4,245744680851065;9,38489361382979
12;A;T.p.;Leg;P;23,4886831020000;1,601516752400000;0,02152092241509644;2,044926993635343;17,30425531914894;11,62127659574468;5,682978723404255;17,25861702446809
13;A;L.c.;Leg;P;13,4506510060000;2,096012724200000;0,01830821626577631;1,909347908028647;16,42234042553191;10,77765957446809;5,644680851063829;16,39828723404255
14;A;M.s.;Leg;P;18,0677164260000;2,444837599300000;0,01955286616309999;1,684428492545555;20,68723404255319;12,98085106382979;7,706382978723404;20,62973403936170
15;A;T.r.;Leg;P;20,3939857933333;2,048522062600000;0,03578251791903279;3,778793418647167;11,12340425531915;8,79574468085106;2,327659574468085;11,11835531914894
17;A;F.o.;Grass;P+L;16,6310879718182;NA;0,03696098407804285;0,737052678372972;16,62765957446808;7,05531914893617;9,572340425531914;16,60680851063830
18;A;A.o.;Grass;P+L;10,8362856800000;0,816226313333333;0,02747279293639477;1,103019385829473;26,08191489361703;13,67978723404255;12,402127659574468;26,05518085106383
19;A;D.g.;Grass;P+L;19,5824134783333;2,237571336000000;0,02792076923246015;1,199253895106430;21,32340425531915;11,62765957446809;9,695744680851066;21,29734042553192
20;A;H.l.;Grass;P+L;14,0170123580000;2,204393673600000;0,03489892372654986;1,466841951504528;26,94893617021277;16,02446808510638;10,924468085106383;26,93234042872341
21;A;G.v.;Forbs;P+L;11,4091347783333;2,413434717800000;0,02454965362910914;1,801896207584830;5,97340425531915;3,84148936170213;2,131914893617021;5,96424468085106
23;A;P.l.;Forbs;P+L;24,5634378580000;1,870802646200000;0,01498837257204519;5,666666666666666;13,68085106382978;11,62872340425532;2,052127659574468;13,62872340425532
24;A;C.n.;Forbs;P+L;20,2959018610000;1,874815926400000;0,02228005397499997;0,903405635515913;19,97765957446809;9,48191489361702;10,495744680851066;19,89552127659575
25;A;R.a.;Forbs;P+L;16,4657103560000;1,562230214000000;0,01879286571023218;0,523514261184775;33,98085106382979;11,67659574468085;22,304255319148940;33,93348936170213
26;A;M.a.;Leg;P+L;23,6810746260000;2,072670394800000;0,01678482583965156;1,221591780401779;15,41170212765958;8,47446808510638;6,937234042553192;15,32329786914894
27;A;T.p.;Leg;P+L;13,2762170820000;1,018406642200000;0,03489583658293340;3,696073558648111;20,10319148936170;15,82234042553191;4,280851063829787;20,05755319468085
28;A;L.c.;Leg;P+L;23,0355201540000;3,365787660000000;0,02419226785399333;1,504795834475199;19,44680851063830;11,68297872340426;7,763829787234042;19,42275531914894
29;A;M.s.;Leg;P+L;28,5701301400000;1,078352522400000;0,05569158803939689;0,922564529558701;17,19468085106383;8,25106382978723;8,943617021276594;17,13718084787234
30;A;T.r.;Leg;P+L;14,5969408100000;0,869127598571429;0,02772510696917965;1,651340161255175;12,94361702127660;8,06170212765957;4,881914893617021;12,93856808510638
1;B;N.s.;Grass;P;20,1873836580000;3,372416997800000;0,00571526327873440;2,391217564870259;5,04653465346535;3,55841584158416;1,488118811881188;5,02970297326733
2;B;F.o.;Grass;P;22,0501085740000;0,585758430700000;0,01957129181303195;1,199223336042626;24,11089108910891;13,14752475247525;10,963366336633662;24,09148514851485
3;B;A.o.;Grass;P;13,4090384270000;0,804661411000000;0,03098890704002302;1,724208929345470;24,89009900990099;15,75346534653465;9,136633663366336;24,86521782178218
4;B;D.g.;Grass;P;17,3153039480000;1,446925367200000;0,00999453075879182;1,720645520311631;19,36237623762376;12,24554455445545;7,116831683168316;19,33811881188119
5;B;H.l.;Grass;P;12,1335393860000;0,915100365900000;0,05710917070917874;1,417842031029619;20,36732673267327;11,94356435643564;8,423762376237624;20,35188119108911
