Numero;Bloc;Sp;gf;mod;SLA;LDMC;RDMC_aver;SRL;RMD;RTD;PerColAMF;CF;Leaf_C;Leaf_N;Root_C;Root_N;Leaf_C:N;Root_C:N
1;A;N.s.;Grass;P;169,352380952381;0,2957746478873240;0,1320754716981132;6187,52380952381;0,3679;0,1521739130434783;0,1400000000000000;0,582000000000000;47,09;3,56;35,69;1,18;13,22752808988764;30,2457627118644
2;A;F.o.;Grass;P;162,598717948718;0,2356495468277945;0,1289260732409820;24361,98297872340;0,1671;0,1872509960159363;0,2448979591836735;0,395000000000000;47,08;3,62;47,19;1,40;13,00552486187845;33,7071428571429
3;A;A.o.;Grass;P;267,579098360656;0,2291079812206573;0,1282916948008103;25827,44210526316;0,1654;0,1800947867298578;0,2365591397849464;0,373000000000000;47,34;2,47;46,21;0,99;19,16599190283401;46,6767676767677
4;A;D.g.;Grass;P;346,893410852713;0,1936936936936937;0,1096282173498570;33559,97391304348;0,1827;0,1138613861386139;0,0600000000000000;0,382000000000000;47,24;3,97;44,84;1,31;11,89924433249370;34,2290076335878
5;A;H.l.;Grass;P;367,721830985916;0,2057971014492753;0,0896191187453323;38834,83055555556;0,1584;0,1304347826086956;0,0760869565217391;0,453000000000000;45,49;3,19;45,48;1,34;14,26018808777430;33,9402985074627
6;A;G.v.;Forbs;P;268,575000000000;0,1818181818181818;0,1314142678347935;28451,64523809524;0,1555;0,1850220264317181;0,0263157894736842;0,715555555555556;46,63;3,54;45,92;1,97;13,17231638418079;23,3096446700508
7;A;C.r.;Forbs;P;387,606410256410;0,1578947368421053;0,0748991741885923;41609,95384615385;0,1658;0,1114285714285714;0,0952380952380952;0,501428571428571;46,32;5,51;44,13;2,76;8,40653357531760;15,9891304347826
8;A;P.l.;Forbs;P;217,728000000000;0,1346153846153846;0,1077586206896552;18825,19200000000;0,2190;0,1410437235543018;NA;NA;45,99;3,01;46,27;1,38;15,27906976744186;33,5289855072464
9;A;C.n.;Forbs;P;183,374010791367;0,1659701492537314;0,1455238859895624;8116,89517241379;0,2885;0,1885565669700910;NA;NA;41,67;2,38;41,40;1,17;17,50840336134454;35,3846153846154
10;A;R.a.;Forbs;P;251,160938628159;0,1069085295252798;0,2449841605068638;6238,12758620690;0,2279;0,3932203389830509;0,0746268656716418;0,717500000000000;43,55;3,31;46,79;1,43;13,15709969788520;32,7202797202797
11;A;M.a.;Leg;P;254,759895833333;0,1729729729729730;0,1469237832874196;4068,66597222222;0,4022;0,1935483870967742;0,1351351351351352;0,581250000000000;43,06;4,23;44,46;3,02;10,17966903073286;14,7218543046358
12;A;T.p.;Leg;P;316,656575682382;0,2102243088158581;0,1665470208183776;7250,74741379310;0,2885;0,2109090909090909;0,0869565217391305;0,504444444444444;47,07;4,12;57,70;3,02;11,42475728155340;19,1059602649007
13;A;L.c.;Leg;P;200,866666666667;0,1897810218978102;0,1461527439461241;4939,33137254902;0,3795;0,1789473684210526;0,0800000000000000;0,443750000000000;42,85;2,96;46,75;3,11;14,47635135135135;15,0321543408360
14;A;M.s.;Leg;P;265,383088235294;0,2082695252679939;0,2049806706823699;3476,66754385965;0,3450;0,3076923076923077;0,0200000000000000;0,487777777777778;44,62;4,21;45,09;2,69;10,59857482185273;16,7620817843866
15;A;T.r.;Leg;P;310,928846153846;0,1626694473409802;0,1122504047490556;8145,59615384616;0,3156;0,1568627450980392;0,1199999999999999;0,598750000000000;46,34;4,64;44,06;3,15;9,98706896551724;13,9873015873016
17;A;F.o.;Grass;P+L;186,018461538462;0,2569169960474308;0,1865918097754293;18084,62477876106;0,1624;0,2671394799054373;0,1538461538461539;0,402000000000000;46,16;3,32;46,56;1,38;13,90361445783132;33,7391304347826
18;A;A.o.;Grass;P+L;259,685559566787;0,2289256198347108;0,1522956326987682;26163,69705882353;0,1475;0,2236842105263158;NA;NA;47,89;2,00;43,16;0,79;23,94500000000000;54,6329113924051
19;A;D.g.;Grass;P+L;281,326208651399;0,2299590403744880;0,1654996817313813;17285,33589743590;0,1785;0,2307692307692308;NA;NA;46,98;3,26;44,38;0,96;14,41104294478528;46,2291666666667
20;A;H.l.;Grass;P+L;341,493582887701;0,2080088987764182;0,1687471104946833;23273,46438356164;0,1458;0,2570422535211268;0,1752577319587629;0,502000000000000;45,98;2,50;47,12;0,82;18,39200000000000;57,4634146341463
21;A;G.v.;Forbs;P+L;306,623333333333;0,1704545454545455;0,1273516642547033;26986,56818181819;0,1644;0,1746031746031746;NA;NA;44,31;3,37;43,34;1,91;13,14836795252226;22,6910994764398
23;A;P.l.;Forbs;P+L;322,550537634409;0,1088992974238876;0,1464557703573521;10946,42200000000;0,2578;0,1748251748251748;NA;NA;44,73;3,88;45,25;1,07;11,52835051546392;42,2897196261682
24;A;C.n.;Forbs;P+L;227,654857142857;0,1528384279475983;0,1449991761410447;7969,39545454545;0,2983;0,1795918367346939;0,3012048192771083;0,742857142857143;45,73;2,82;45,00;0,98;16,21631205673759;45,9183673469388
25;A;R.a.;Forbs;P+L;251,582410651717;0,1050423260949577;0,2638522427440633;5267,00687500000;0,2376;0,4278074866310160;NA;NA;43,28;2,54;48,21;0,84;17,03937007874016;57,3928571428571
26;A;M.a.;Leg;P+L;211,476785714286;0,1854304635761589;0,2125933138591367;3392,69694656489;0,3773;0,2635814889336016;NA;NA;42,56;3,79;44,02;3,37;11,22955145118734;13,0623145400593
27;A;T.p.;Leg;P+L;322,539403973510;0,1973856209150327;0,1563954570843418;10003,26309523810;0,2742;0,1693548387096774;0,2428571428571429;0,536666666666667;48,26;4,85;45,80;2,39;9,95051546391753;19,1631799163180
