Numero;Bloc;Sp;gf;mod;C_micro;N_micro;DIN;TDN;Respi_sol;pH;N_net_min;C_NF;C_F;N_NF;N_F;DON
1;A;N.s.;Grass;P;534,265306122449;87,2962962962963;168,25208438888887;175,2226192592592;9,58;6,22;0,061054211;97,7551020408163;632,020408163265;175,2226192592592;262,5185185185185;6,970534870370358
2;A;F.o.;Grass;P;355,122448979592;26,4629629629630;130,99579316666666;170,3886035000000;8,57;6,17;-0,099058219;209,8775510204082;565,020408163265;170,3886035000000;196,8518518518518;39,392810333333330
3;A;A.o.;Grass;P;610,224489795918;77,8888888888889;18,01693094074074;45,5388569444444;14,46;6,41;0,163633455;95,1836734693878;705,408163265306;45,5388569444444;123,4259259259259;27,521926003703701
4;A;D.g.;Grass;P;607,102040816327;93,3518518518518;15,57825234629630;29,1624883888889;7,43;6,46;0,105523343;80,1632653061225;687,265306122449;29,1624883888889;122,5000000000000;13,584236042592590
5;A;H.l.;Grass;P;442,836734693878;59,6296296296296;14,54506802777778;28,7295145370370;9,45;6,53;0,102820408;81,1836734693878;524,020408163265;28,7295145370370;88,3518518518518;14,184446509259256
6;A;G.v.;Forbs;P;619,775510204082;107,5925925925926;78,43122583333333;89,2406576111111;1,46;6,14;0,068959147;89,4285714285714;709,204081632653;89,2406576111111;196,8333333333333;10,809431777777775
7;A;C.r.;Forbs;P;635,571428571429;87,8703703703704;95,20711501851852;108,4065610000000;6,18;5,87;0,072596953;113,3061224489796;748,857142857143;108,4065610000000;196,2777777777777;13,199445981481460
8;A;P.l.;Forbs;P;465,000000000000;40,4259259259259;16,88024824444444;23,5973020370370;7,53;6,27;0,075950603;57,6734693877551;522,673469387755;23,5973020370370;64,0185185185185;6,717053792592594
9;A;C.n.;Forbs;P;577,551020408163;84,1666666666667;14,81825935740741;32,6730472777778;8,89;6,25;0,106516563;68,1632653061224;645,714285714286;32,6730472777778;116,8518518518518;17,854787920370370
10;A;R.a.;Forbs;P;503,183673469388;70,3703703703704;10,35310323333333;25,3410259444444;8,88;6,30;0,095171503;77,3673469387755;580,551020408163;25,3410259444444;95,7037037037037;14,987922711111111
11;A;M.a.;Leg;P;568,102040816327;94,1111111111111;69,15667829629629;81,0759621666667;7,41;5,98;0,064364133;77,7142857142857;645,836734693877;81,0759621666667;175,1851851851852;11,919283870370364
12;A;T.p.;Leg;P;596,428571428571;45,2407407407407;27,45386896296296;28,7668800925926;7,91;6,52;0,056722081;59,7142857142857;656,142857142857;28,7668800925926;74,0000000000000;1,313011129629629
13;A;L.c.;Leg;P;687,530612244898;44,6481481481481;52,20615122222222;66,2666607777778;9,95;6,42;0,104047771;49,9387755102041;737,469387755102;66,2666607777778;110,9259259259259;14,060509555555555
14;A;M.s.;Leg;P;713,755102040816;73,3333333333333;231,50069148148148;268,3528314814815;8,06;5,50;0,002136929;93,5918367346939;807,346938775510;268,3528314814815;341,6851851851852;36,852139999999991
15;A;T.r.;Leg;P;642,000000000000;86,2962962962963;15,62313305000000;33,3212134629630;7,57;6,39;0,104928867;59,6122448979592;701,612244897959;33,3212134629630;119,6111111111111;17,698080412962959
17;A;F.o.;Grass;P+L;722,938775510204;67,5185185185185;18,71790018518518;28,9681788518518;10,70;6,31;0,174718228;45,6938775510204;768,632653061224;28,9681788518518;96,4814814814815;10,250278666666667
18;A;A.o.;Grass;P+L;864,489795918367;65,4074074074074;13,13081215185185;27,9637666111111;11,49;6,43;0,055149411;80,9387755102041;945,428571428571;27,9637666111111;93,3703703703704;14,832954459259257
19;A;D.g.;Grass;P+L;525,816326530612;43,3148148148148;11,49092313703704;24,4756662777778;10,59;6,59;0,074957590;40,4897959183673;566,306122448980;24,4756662777778;67,7962962962963;12,984743140740740
20;A;H.l.;Grass;P+L;903,938775510204;111,6481481481481;13,79530174629630;33,7867983518518;8,78;6,33;0,057070462;58,7551020408163;962,693877551020;33,7867983518518;145,4444444444445;19,991496605555554
21;A;G.v.;Forbs;P+L;553,795918367347;61,6296296296296;12,93650793703704;26,2323633148148;8,75;6,51;0,098317460;45,4897959183673;599,306122448980;26,2323633148148;87,8518518518518;13,295855377777775
23;A;P.l.;Forbs;P+L;618,877551020408;92,4629629629630;12,68305292592593;28,3650543333333;7,06;6,52;0,083400757;45,4081632653061;664,306122448980;28,3650543333333;120,8333333333333;15,682001407407403
24;A;C.n.;Forbs;P+L;700,959183673470;110,2592592592593;10,43416994074074;23,6340234814815;6,75;6,23;0,001629239;37,7346938775510;738,693877551020;23,6340234814815;133,8888888888889;13,199853540740742
25;A;R.a.;Forbs;P+L;550,755102040816;64,8703703703704;10,97376543148148;26,7711640185185;8,72;6,34;0,084915238;52,5918367346939;603,346938775510;26,7711640185185;91,6481481481482;15,797398587037035
26;A;M.a.;Leg;P+L;740,897959183673;109,9259259259259;57,56664307407407;72,7824958703704;11,49;6,39;0,096407643;86,3673469387755;827,244897959184;72,7824958703704;182,7222222222222;15,215852796296282
27;A;T.p.;Leg;P+L;431,755102040816;49,7592592592593;145,00740329629630;158,0711333148148;8,17;5,67;-0,137496946;75,5510204081633;507,285714285714;158,0711333148148;207,8333333333333;13,063730018518498
28;A;L.c.;Leg;P+L;659,142857142857;91,6111111111111;59,25109090740740;82,2458674629630;11,02;6,11;0,081992803;73,4693877551020;732,612244897959;82,2458674629630;173,8518518518518;22,994776555555561
29;A;M.s.;Leg;P+L;625,653061224490;88,6851851851852;14,35272691481481;29,4414911111111;8,77;6,51;0,110758890;90,8571428571429;716,510204081633;29,4414911111111;118,1296296296296;15,088764196296294
30;A;T.r.;Leg;P+L;528,102040816327;61,9444444444444;78,06768381481481;85,6687101296296;9,45;6,31;0,036292900;61,4285714285714;589,510204081633;85,6687101296296;147,6111111111111;7,601026314814817
32;A;F.o.;Grass;L;514,795918367347;95,4074074074074;110,88469362962962;127,2127694074074;7,10;6,33;0,022108702;137,8367346938776;652,632653061225;127,2127694074074;222,6296296296296;16,328075777777769
33;A;A.o.;Grass;L;567,061224489796;88,5555555555556;176,47141031481479;189,9596709259259;6,46;5,94;0,021581217;156,8979591836735;723,959183673469;189,9596709259259;278,4999999999999;13,488260611111116
34;A;D.g.;Grass;L;476,224489795918;118,0740740740741;177,60765090740739;148,7062668148148;7,17;6,02;0,078433910;150,9795918367347;627,204081632653;148,7062668148148;266,7777777777778;-28,901384092592565
35;A;H.l.;Grass;L;383,265306122449;65,8333333333333;158,40500331481482;170,9787856851852;6,49;6,17;-0,152838023;172,6326530612245;555,897959183673;170,9787856851852;236,8148148148148;12,573782370370338
36;A;G.v.;Forbs;L;402,693877551020;44,0000000000000;200,67302462962962;222,4933046296296;6,50;5,91;-0,093204468;305,2040816326531;707,897959183673;222,4933046296296;266,5000000000000;21,820279999999997
38;A;P.l.;Forbs;L;561,734693877551;107,1296296296296;170,98799292592591;201,8894374074074;8,79;5,93;0,068415798;144,3265306122449;706,061224489796;201,8894374074074;309,0185185185185;30,901444481481491
39;A;C.n.;Forbs;L;454,285714285714;89,3333333333333;149,96122096296295;157,7831591296296;6,39;6,25;-0,078141162;128,1224489795918;582,387755102041;157,7831591296296;247,1296296296296;7,821938166666655
40;A;R.a.;Forbs;L;685,244897959184;129,2222222222222;117,03179012962963;128,3452821851852;6,89;6,13;0,100192286;146,5102040816327;831,755102040816;128,3452821851852;257,5740740740741;11,313492055555542
41;A;M.a.;Leg;L;428,551020408163;62,1111111111111;117,09183674074073;129,4271799629630;5,91;6,17;-0,090888312;156,6122448979592;585,163265306123;129,4271799629630;191,5370370370370;12,335343222222221
42;A;T.p.;Leg;L;435,673469387755;24,3148148148148;193,05258351851850;201,0752172222222;6,53;6,02;-0,261308642;368,1836734693878;803,857142857143;201,0752172222222;225,3888888888889;8,022633703703718
43;A;L.c.;Leg;L;612,265306122449;107,7037037037037;150,68914333333333;167,4872773518518;6,87;6,11;0,049090076;154,8979591836735;767,163265306123;167,4872773518518;275,1851851851852;16,798134018518510
44;A;M.s.;Leg;L;594,897959183673;85,4074074074074;115,01111111111111;136,5520749629630;6,08;5,77;0,007074506;145,3265306122449;740,204081632653;136,5520749629630;221,9629629629629;21,540963851851856
45;A;T.r.;Leg;L;558,387755102041;91,3148148148148;202,81778259259258;214,8001764814815;7,02;6,26;0,000544884;187,2040816326531;745,591836734694;214,8001764814815;306,1111111111111;11,982393888888907
46;A;NA;NA;T;269,510204081633;62,6296296296296;171,20451061111109;195,5168240740741;6,34;5,92;-0,030244009;386,4285714285714;655,938775510204;195,5168240740741;258,1481481481482;24,312313462962976
47;A;NA;NA;T;362,918367346939;112,3518518518518;173,99664022222223;183,7115564259259;5,49;6,04;0,012375309;164,6530612244898;527,571428571429;183,7115564259259;296,0555555555555;9,714916203703694
1;B;N.s.;Grass;P;810,938775510204;131,5370370370370;20,63322957407407;36,0524465000000;7,83;6,45;0,176730964;229,2448979591837;1040,183673469388;36,0524465000000;167,5925925925926;15,419216925925930
2;B;F.o.;Grass;P;493,897959183673;70,0740740740741;5,20844781481481;19,2949316851852;7,22;6,55;0,065455984;225,1632653061224;719,061224489796;19,2949316851852;89,3703703703704;14,086483870370369
3;B;A.o.;Grass;P;659,408163265306;108,4814814814815;4,52444444444444;20,8124444444444;13,94;6,63;0,095529120;221,6326530612245;881,040816326531;20,8124444444444;129,2777777777778;16,288000000000000
4;B;D.g.;Grass;P;718,122448979592;121,8333333333333;5,71233661481481;20,5177805000000;9,60;6,37;0,085111484;229,0000000000000;947,102040816327;20,5177805000000;142,3333333333333;14,805443885185182
5;B;H.l.;Grass;P;823,306122448980;123,1666666666667;4,61857782037037;17,5269107055556;10,33;6,55;0,096947501;144,0204081632653;967,326530612245;17,5269107055556;140,6851851851852;12,908332885185185
6;B;G.v.;Forbs;P;910,775510204082;140,1481481481482;6,11050684259259;19,8916499259259;7,39;6,31;0,088740161;155,2040816326531;1065,979591836735;19,8916499259259;160,0370370370370;13,781143083333333
7;B;C.r.;Forbs;P;671,346938775510;112,4629629629629;47,44865931481481;56,9383911666667;7,43;6,36;0,084761259;190,1632653061225;861,510204081633;56,9383911666667;169,4074074074074;9,489731851851857
8;B;P.l.;Forbs;P;702,387755102041;106,1851851851852;3,55457071481481;15,2502550037037;8,45;6,42;0,067119468;131,1224489795918;833,489795918367;15,2502550037037;121,4259259259259;11,695684288888888
