Numero;Bloc;Sp;L_scan_Dmass;R_scan_Dmass;L_scan_Fmass;R_scan_Fmass;R_arch_Fmass;R_arch_Dmass;R_resp_Dmass;R_Dmass_carottes;Shoot_Dmass;Root_Dmass;BiomasseTot
1;A;N.s.;0,021;0,063;0,0710;0,4770;0,7090;0,121;0,063;0,0630;1,2350;0,8750;2,1100
2;A;F.o.;0,078;0,094;0,3310;0,7291;4,5834;0,676;0,366;0,3660;7,1520;5,5230;12,6750
3;A;A.o.;0,244;0,038;1,0650;0,2962;3,4925;0,462;0,589;0,5890;9,0030;6,3390;15,3420
4;A;D.g.;0,258;0,023;1,3320;0,2098;2,2800;0,511;0,230;0,2300;6,1420;4,7360;10,8780
5;A;H.l.;0,142;0,036;0,6900;0,4017;1,8060;0,354;0,430;0,4300;7,3120;3,7160;11,0280
6;A;G.v.;0,024;0,084;0,1320;0,6392;0,7763;0,115;0,172;0,1720;4,0010;2,1410;6,1420
7;A;C.r.;0,078;0,039;0,4940;0,5207;0,5052;0,040;0,039;0,0390;1,9300;0,5480;2,4780
8;A;P.l.;0,700;0,100;5,2000;0,9280;1,0512;0,176;0,324;0,3240;13,0440;4,5190;17,5630
9;A;C.n.;1,112;0,145;6,7000;0,9964;3,4505;0,805;0,926;0,9260;8,1910;11,9590;20,1500
10;A;R.a.;1,385;0,116;12,9550;0,4735;7,3631;2,417;0,385;0,3850;10,9370;8,8040;19,7410
11;A;M.a.;0,192;0,144;1,1100;0,9801;2,2164;0,514;0,232;0,2320;4,9139;3,9910;8,9049
12;A;T.p.;0,403;0,116;1,9170;0,6965;2,0242;0,440;0,435;0,4350;10,9240;5,3420;16,2660
13;A;L.c.;0,078;0,102;0,4110;0,6979;3,0005;0,568;0,354;0,3540;10,1310;5,3060;15,4370
14;A;M.s.;0,136;0,228;0,6530;1,1123;2,9491;0,819;0,463;0,4630;12,2020;7,2440;19,4460
15;A;T.r.;0,156;0,104;0,9590;0,9265;1,3600;0,237;0,207;0,2070;8,2680;2,1880;10,4560
17;A;F.o.;0,065;0,113;0,2530;0,6056;2,9040;0,562;0,668;0,6680;6,6320;8,9980;15,6300
18;A;A.o.;0,277;0,068;1,2100;0,4465;7,6404;1,127;1,041;1,0410;12,8590;11,6580;24,5170
19;A;D.g.;0,393;0,078;1,7090;0,4713;4,8736;0,787;0,619;0,6190;10,9300;9,1140;20,0440
20;A;H.l.;0,187;0,073;0,8990;0,4326;2,8951;0,545;0,734;0,7340;15,0630;10,2690;25,3320
21;A;G.v.;0,030;0,044;0,1760;0,3455;1,7328;0,250;0,088;0,0880;3,6110;2,0040;5,6150
23;A;P.l.;0,279;0,050;2,5620;0,3414;1,9132;0,295;0,151;0,1510;10,9310;1,9290;12,8600
